FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-09 00:00:00.000000,0.00054592,0.00177849,0.00333273,13,43,82,4,16,32,0.00017071,0.00067562,0.00132313,0.64139651,0.92414739,1.27807903
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-10 00:00:00.000000,0.00083551,0.00218940,0.00398841,20,54,98,6,21,40,0.00026938,0.00086901,0.00165672,0.64139726,0.92414739,1.27804920
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-11 00:00:00.000000,0.00117064,0.00273156,0.00474513,28,67,117,10,27,50,0.00042283,0.00111461,0.00203322,0.64139955,0.92414738,1.27798416
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-12 00:00:00.000000,0.00151230,0.00335123,0.00571121,37,82,141,15,34,60,0.00061307,0.00137900,0.00246227,0.64140652,0.92414733,1.27784173
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-13 00:00:00.000000,0.00195096,0.00408799,0.00685836,48,100,169,20,42,73,0.00083922,0.00171348,0.00296783,0.64142771,0.92414715,1.27752895
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-14 00:00:00.000000,0.00246466,0.00500931,0.00821657,60,123,202,26,50,87,0.00108603,0.00206383,0.00355131,0.64149204,0.92414648,1.27684112
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-15 00:00:00.000000,0.00306474,0.00597660,0.00982451,75,147,242,33,64,108,0.00137450,0.00259119,0.00438766,0.64168641,0.92414393,1.27533074
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-16 00:00:00.000000,0.00365729,0.00719728,0.01164697,90,177,287,41,79,133,0.00168656,0.00320874,0.00540253,0.64226552,0.92413437,1.27203673
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-17 00:00:00.000000,0.00443236,0.00860708,0.01386015,109,212,342,51,96,158,0.00209782,0.00388829,0.00643550,0.64392134,0.92409839,1.26497989
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-18 00:00:00.000000,0.00520688,0.01023851,0.01656354,128,252,409,61,114,190,0.00248849,0.00461659,0.00772741,0.64815015,0.92396312,1.25045969
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-19 00:00:00.000000,0.00616180,0.01240364,0.01980604,152,306,489,72,134,228,0.00292216,0.00542864,0.00924592,0.65647864,0.92364398,1.24189840
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-20 00:00:00.000000,0.00726708,0.01500534,0.02372425,179,370,586,86,159,278,0.00348936,0.00647021,0.01125420,0.67467890,0.92158457,1.23991061
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-21 00:00:00.000000,0.00854232,0.01792405,0.02858705,211,442,706,104,192,343,0.00422557,0.00777713,0.01390295,0.71352951,0.91613881,1.18079137
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-22 00:00:00.000000,0.01002549,0.02096329,0.03414189,247,517,843,123,227,423,0.00500475,0.00922463,0.01715309,0.71758780,0.91086644,1.08876749
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-23 00:00:00.000000,0.01196190,0.02468850,0.04089830,295,609,1010,145,270,519,0.00587922,0.01093214,0.02104088,0.68086923,0.90787437,1.04413162
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-24 00:00:00.000000,0.01415417,0.02962156,0.04894894,349,731,1209,170,323,626,0.00691450,0.01309912,0.02536187,0.66597298,0.90497377,1.03918984
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-25 00:00:00.000000,0.01661617,0.03496186,0.05768945,410,863,1425,200,384,741,0.00812603,0.01556739,0.03000235,0.65794450,0.88039614,1.03009915
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-26 00:00:00.000000,0.01965557,0.04145471,0.06725350,485,1024,1661,235,458,869,0.00954216,0.01857651,0.03518732,0.66172560,0.86092341,1.02767726
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-27 00:00:00.000000,0.02314364,0.04830876,0.07811917,571,1193,1929,276,542,1012,0.01120736,0.02197643,0.04098241,0.63114684,0.83013048,1.02180539
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-28 00:00:00.000000,0.02709291,0.05766578,0.09037508,669,1424,2232,325,641,1169,0.01316833,0.02597010,0.04735772,0.61736498,0.81564509,1.01076142
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-29 00:00:00.000000,0.03203614,0.06834708,0.10704381,791,1688,2644,384,753,1382,0.01556622,0.03048596,0.05595476,0.60320346,0.80386642,0.99162114
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-30 00:00:00.000000,0.03839080,0.07965059,0.12224341,948,1967,3020,457,885,1618,0.01852009,0.03582239,0.06552441,0.60076323,0.79131688,0.96179915
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-03-31 00:00:00.000000,0.04595149,0.09184215,0.13860802,1135,2269,3424,546,1036,1843,0.02212302,0.04194170,0.07461676,0.57965611,0.75738144,0.96067015
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-01 00:00:00.000000,0.05378472,0.10503824,0.15910645,1328,2595,3930,631,1207,2080,0.02556141,0.04888847,0.08421913,0.54722885,0.71913680,0.92430934
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-02 00:00:00.000000,0.06116503,0.12002881,0.18208232,1511,2965,4498,719,1401,2334,0.02911778,0.05672196,0.09448032,0.50261313,0.69008322,0.90418276
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-03 00:00:00.000000,0.06946838,0.13658984,0.20739774,1716,3374,5123,818,1628,2656,0.03314070,0.06592445,0.10754551,0.44558494,0.66195833,0.87686301
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-04 00:00:00.000000,0.07877596,0.15498959,0.23901977,1946,3829,5905,930,1897,3041,0.03767922,0.07681097,0.12311117,0.42579153,0.62884024,0.80403607
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-05 00:00:00.000000,0.08919180,0.17171857,0.27125905,2203,4242,6701,1056,2158,3453,0.04278336,0.08738073,0.13979271,0.38889829,0.58866696,0.72390245
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-06 00:00:00.000000,0.10085787,0.18854360,0.29808742,2491,4658,7364,1198,2421,3865,0.04850969,0.09801842,0.15645769,0.36464122,0.54754619,0.69256379
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-07 00:00:00.000000,0.11391016,0.21019808,0.32163772,2814,5193,7946,1357,2733,4269,0.05492893,0.11063956,0.17282060,0.34064408,0.51627942,0.66274912
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-08 00:00:00.000000,0.12846942,0.23175029,0.34382626,3173,5725,8494,1534,3044,4676,0.06211824,0.12325085,0.18930695,0.32458911,0.48824361,0.64930032
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-09 00:00:00.000000,0.14457757,0.25339629,0.36723542,3571,6260,9072,1733,3388,5149,0.07015428,0.13716210,0.20842125,0.31391881,0.47005852,0.64383720
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-10 00:00:00.000000,0.15642183,0.27252918,0.40745341,3864,6732,10066,1953,3677,5766,0.07909141,0.14886700,0.23340193,0.29356008,0.43330219,0.58327177
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-11 00:00:00.000000,0.16469662,0.29253583,0.44878447,4068,7227,11087,2196,3994,6420,0.08892298,0.16169517,0.25987204,0.28318214,0.41001694,0.55484666
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-12 00:00:00.000000,0.18437761,0.31041029,0.48774732,4555,7668,12050,2459,4294,6820,0.09956393,0.17384611,0.27607141,0.27519006,0.38555321,0.54086176
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-13 00:00:00.000000,0.19930092,0.33080813,0.52153043,4923,8172,12884,2603,4624,7460,0.10536722,0.18719406,0.30198426,0.26841057,0.36336955,0.51761624
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-14 00:00:00.000000,0.20759757,0.35138205,0.54988962,5128,8681,13585,2938,4950,8102,0.11895887,0.20037159,0.32796548,0.26150846,0.35570201,0.48931518
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-15 00:00:00.000000,0.22322651,0.36744515,0.57546874,5514,9077,14217,3179,5188,8691,0.12871592,0.21000872,0.35180629,0.24885456,0.33467123,0.47357749
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-16 00:00:00.000000,0.23472529,0.37996354,0.60043717,5798,9387,14834,3343,5490,9229,0.13532624,0.22222497,0.37359830,0.23850429,0.31906412,0.43201610
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-17 00:00:00.000000,0.23719777,0.38997175,0.62979756,5860,9634,15559,3499,5697,9729,0.14165445,0.23061390,0.39381231,0.22888872,0.30870576,0.40651687
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-18 00:00:00.000000,0.23990036,0.40333943,0.67187111,5926,9964,16598,3665,5891,10203,0.14836056,0.23847862,0.41298564,0.22368150,0.29603138,0.40337631
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-19 00:00:00.000000,0.24536546,0.41144232,0.70916486,6061,10164,17520,3808,6108,10903,0.15416787,0.24724346,0.44134188,0.21968747,0.28262600,0.37624339
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-20 00:00:00.000000,0.25392387,0.41829253,0.73713008,6273,10334,18211,3922,6322,11645,0.15876783,0.25593412,0.47135569,0.21590328,0.26864473,0.33717787
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-21 00:00:00.000000,0.26260315,0.42426454,0.75657043,6487,10481,18691,4018,6509,12309,0.16266538,0.26349420,0.49823598,0.20489735,0.25982117,0.32373475
6065,0,USCaliforniaRiverside,California,Riverside,2020-10-17 03:42:23.397007,2020-04-22 00:00:00.000000,0.27129693,0.43242080,0.77157923,6702,10683,19062,4105,6605,12868,0.16619188,0.26738988,0.52086638,0.19370593,0.25329658,0.32012295
