FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-09 00:00:00.000000,0.00753446,0.03911517,0.15124172,0,2,8,0,1,5,0.00355612,0.02124203,0.09086536,0.40539182,0.53176868,0.73434966
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-10 00:00:00.000000,0.00849074,0.04364435,0.16316185,0,2,9,0,1,4,0.00389199,0.02054569,0.08296761,0.40539129,0.53176727,0.73434543
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-11 00:00:00.000000,0.00953143,0.04811589,0.17490387,0,2,9,0,1,4,0.00405348,0.02116371,0.08151063,0.40538939,0.52910890,0.73433846
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-12 00:00:00.000000,0.01067743,0.05286671,0.18670498,0,2,10,0,1,4,0.00454140,0.02294645,0.08373073,0.40538247,0.52853316,0.73432700
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-13 00:00:00.000000,0.01194688,0.05829889,0.19871968,0,3,11,0,1,4,0.00526533,0.02528820,0.08743584,0.40535670,0.52812674,0.73430818
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-14 00:00:00.000000,0.01335742,0.06322684,0.21093003,0,3,11,0,1,5,0.00610929,0.02788006,0.09208144,0.40525983,0.52661423,0.73427722
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-15 00:00:00.000000,0.01492740,0.06575203,0.22335207,0,3,12,0,1,5,0.00708482,0.03064177,0.09735071,0.40425977,0.52582454,0.73422580
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-16 00:00:00.000000,0.01641280,0.07159324,0.23572189,0,3,13,0,1,5,0.00820022,0.03360730,0.10421935,0.40056715,0.52485606,0.73413748
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-17 00:00:00.000000,0.01860547,0.07888227,0.24764927,1,4,13,0,2,6,0.00918155,0.03657000,0.11154035,0.39297069,0.52072591,0.73397099
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-18 00:00:00.000000,0.02074453,0.08653780,0.25756050,1,4,14,0,2,6,0.01021987,0.03910067,0.11549814,0.37966713,0.52007045,0.72989248
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-19 00:00:00.000000,0.02311898,0.09292719,0.26450920,1,5,14,0,2,6,0.01122946,0.04205309,0.12207619,0.36184514,0.50687349,0.71771645
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-20 00:00:00.000000,0.02533183,0.09931272,0.27650824,1,5,15,0,2,7,0.01231241,0.04538352,0.12869246,0.35193927,0.48671323,0.71223840
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-21 00:00:00.000000,0.02728275,0.10559733,0.28687828,1,5,15,0,2,7,0.01345642,0.04884706,0.13513347,0.33281917,0.47482557,0.71387273
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-22 00:00:00.000000,0.02938870,0.11176917,0.28992536,1,6,16,0,2,7,0.01463439,0.05212236,0.14120935,0.32629140,0.45827467,0.67137932
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-23 00:00:00.000000,0.03166283,0.11789532,0.29158065,1,6,16,0,3,8,0.01581502,0.05504966,0.14517861,0.32290332,0.43976863,0.62103438
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-24 00:00:00.000000,0.03412395,0.12378623,0.29519733,1,6,16,0,3,8,0.01698281,0.05809538,0.14659067,0.32114032,0.41017955,0.62037589
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-25 00:00:00.000000,0.03678890,0.12864250,0.30423456,2,7,16,1,3,8,0.01814293,0.06147646,0.14771531,0.31568328,0.39853644,0.58463442
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-26 00:00:00.000000,0.03905343,0.13277910,0.31543821,2,7,17,1,3,8,0.01931044,0.06455260,0.14889940,0.30236958,0.39642081,0.58507709
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-27 00:00:00.000000,0.03991152,0.13747188,0.33031636,2,7,18,1,3,8,0.02037285,0.06713916,0.15497185,0.26761568,0.38526748,0.58774676
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-28 00:00:00.000000,0.04071590,0.14179476,0.34643029,2,7,19,1,3,8,0.02101257,0.07000996,0.15976942,0.25236492,0.37409829,0.57203404
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-29 00:00:00.000000,0.04150506,0.14385839,0.36253775,2,8,20,1,3,9,0.02157714,0.07144290,0.16359664,0.23622452,0.35463882,0.55548742
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-30 00:00:00.000000,0.04403478,0.14503217,0.37257587,2,8,20,1,4,9,0.02209215,0.07362226,0.16675878,0.21716998,0.34220072,0.54382941
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-03-31 00:00:00.000000,0.04588332,0.14528449,0.38192855,2,8,21,1,4,9,0.02257531,0.07560783,0.16954605,0.21099953,0.33024102,0.54649055
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-01 00:00:00.000000,0.04668368,0.14827451,0.38864077,2,8,21,1,4,9,0.02303414,0.07734896,0.17801635,0.21042124,0.31580034,0.54566623
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-02 00:00:00.000000,0.04743016,0.14953918,0.39423564,2,8,21,1,4,10,0.02346019,0.07902876,0.18152602,0.20868040,0.30895741,0.53888246
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-03 00:00:00.000000,0.04812940,0.15089167,0.39892890,2,8,22,1,4,10,0.02417068,0.08090294,0.18172541,0.19761079,0.30056172,0.52016006
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-04 00:00:00.000000,0.04879480,0.14834923,0.40289672,2,8,22,1,4,10,0.02509021,0.08175578,0.18536903,0.19022792,0.29488267,0.48482128
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-05 00:00:00.000000,0.04943955,0.14776900,0.40636909,2,8,22,1,4,10,0.02559036,0.08224625,0.18872559,0.18348203,0.28979486,0.46638725
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-06 00:00:00.000000,0.05007270,0.15131804,0.40952558,2,8,22,1,4,10,0.02610266,0.08383078,0.19182639,0.17371155,0.28347821,0.43464442
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-07 00:00:00.000000,0.05069866,0.15062880,0.41248450,2,8,23,1,4,10,0.02662764,0.08344448,0.19459850,0.16628239,0.27284685,0.42486429
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-08 00:00:00.000000,0.05131562,0.15320986,0.41530892,2,8,23,1,4,10,0.02716418,0.08282286,0.19722323,0.15594830,0.26654071,0.42374319
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-09 00:00:00.000000,0.05191028,0.15197093,0.41802947,2,8,23,1,4,11,0.02754068,0.08305249,0.19975280,0.15011818,0.25822090,0.41874124
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-10 00:00:00.000000,0.04999210,0.15026426,0.41211408,2,8,22,1,4,11,0.02662338,0.08232035,0.20490293,0.14823497,0.25727779,0.41023859
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-11 00:00:00.000000,0.04781052,0.14878459,0.41829356,2,8,23,1,4,11,0.02565894,0.08192233,0.20970727,0.14654214,0.25381274,0.41177200
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-12 00:00:00.000000,0.04816154,0.14743620,0.42383590,2,8,23,1,4,11,0.02468927,0.08248602,0.21422652,0.14291807,0.24904045,0.41148736
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-13 00:00:00.000000,0.04967199,0.14579461,0.42645386,2,8,23,1,4,12,0.02559153,0.08202169,0.21848191,0.14148995,0.24415217,0.41085217
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-14 00:00:00.000000,0.04846682,0.14428849,0.42693579,2,8,23,1,4,12,0.02639335,0.08258432,0.22245375,0.14096632,0.23565876,0.40873454
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-15 00:00:00.000000,0.04727938,0.14247899,0.42697002,2,7,23,1,4,12,0.02580931,0.08280616,0.22608582,0.14079283,0.23435990,0.40392896
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-16 00:00:00.000000,0.04611171,0.14039113,0.42610519,2,7,23,1,4,12,0.02521955,0.08147820,0.22928970,0.13610641,0.22610159,0.39612821
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-17 00:00:00.000000,0.04497893,0.13796208,0.42370816,2,7,23,1,4,12,0.02462965,0.08002910,0.23196339,0.13199677,0.22184357,0.38615689
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-18 00:00:00.000000,0.04386423,0.13596512,0.41968799,2,7,23,1,4,13,0.02404312,0.07884327,0.23402087,0.12950096,0.21683556,0.37623221
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-19 00:00:00.000000,0.04276071,0.13680618,0.41460490,2,7,23,1,4,13,0.02346108,0.07721747,0.23542111,0.12509567,0.21160051,0.34486444
8011,0,USColoradoBent,Colorado,Bent,2020-11-09 14:46:10.314956,2020-04-20 00:00:00.000000,0.04166944,0.13057750,0.40991011,2,7,22,1,4,13,0.02288403,0.07511881,0.23617989,0.12037140,0.21175656,0.34482085
