FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-09 00:00:00.000000,0.00422168,0.02535762,0.10077547,0,2,8,0,1,4,0.00230751,0.01416530,0.05609805,0.42553699,0.57115726,0.75030180
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-10 00:00:00.000000,0.00487330,0.02772678,0.10996827,0,2,9,0,1,4,0.00237353,0.01355949,0.05438184,0.42551654,0.57112324,0.75029619
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-11 00:00:00.000000,0.00552541,0.03009882,0.11888408,0,2,9,0,1,4,0.00249042,0.01368852,0.05500367,0.42549008,0.57103953,0.75028364
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-12 00:00:00.000000,0.00619954,0.03212955,0.12758475,0,2,10,0,1,4,0.00270564,0.01405331,0.05699021,0.42545598,0.57083400,0.75025566
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-13 00:00:00.000000,0.00691067,0.03357190,0.13612390,0,2,11,0,1,4,0.00298471,0.01455495,0.05981476,0.42541227,0.57033213,0.75019366
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-14 00:00:00.000000,0.00767035,0.03626236,0.14453379,0,2,11,0,1,5,0.00331022,0.01542858,0.06319556,0.42535658,0.56928434,0.75005831
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-15 00:00:00.000000,0.00834237,0.03974007,0.15699051,0,3,12,0,1,5,0.00367433,0.01652252,0.06888253,0.42528607,0.56671675,0.74977219
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-16 00:00:00.000000,0.00899040,0.04332256,0.17585664,0,3,14,0,1,5,0.00407521,0.01748219,0.07289008,0.42519728,0.55871031,0.74040912
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-17 00:00:00.000000,0.00964833,0.04647662,0.19592164,0,3,16,0,1,6,0.00451237,0.01825969,0.07723892,0.42508594,0.55581554,0.72397946
8021,0,USColoradoConejos,Colorado,Conejos,2020-12-05 22:55:23.168613,2020-03-18 00:00:00.000000,0.01031006,0.04889191,0.20708697,0,4,16,0,1,6,0.00493961,0.01953244,0.08186153,0.40911972,0.53856184,0.71701948
