FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-09 00:00:00.000000,0.00461681,0.04276217,0.11294108,0,2,5,0,1,3,0.00234146,0.02227181,0.06855578,0.35269209,0.47595411,0.59779966
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-10 00:00:00.000000,0.00484347,0.04669096,0.12018301,0,2,6,0,1,3,0.00234831,0.02188396,0.06882792,0.35266458,0.47561110,0.59775889
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-11 00:00:00.000000,0.00511216,0.05032144,0.13006843,0,2,6,0,1,3,0.00240764,0.02343196,0.07114294,0.35260189,0.47529534,0.59767504
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-12 00:00:00.000000,0.00566143,0.05319058,0.14031988,0,2,7,0,1,3,0.00259006,0.02502666,0.07467595,0.35245920,0.47485485,0.59750251
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-13 00:00:00.000000,0.00623302,0.05655659,0.15112368,0,2,7,0,1,4,0.00289980,0.02677344,0.07898682,0.35213562,0.47484590,0.59714766
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-14 00:00:00.000000,0.00682747,0.06059329,0.16258306,0,3,8,0,1,4,0.00323364,0.02894801,0.08384446,0.35140812,0.47481700,0.59641921
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-15 00:00:00.000000,0.00744929,0.06358818,0.17473099,0,3,8,0,1,4,0.00358541,0.03055693,0.08912944,0.34980502,0.46897655,0.59493090
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-16 00:00:00.000000,0.02255359,0.08671931,0.20486195,1,4,10,0,1,4,0.00397147,0.03284911,0.09477825,0.34019735,0.45767595,0.59192132
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-17 00:00:00.000000,0.03473783,0.10797322,0.23516758,1,5,11,0,2,5,0.01043851,0.04123246,0.10460938,0.33365938,0.45526923,0.58596283
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-18 00:00:00.000000,0.04917321,0.13242515,0.26595195,2,6,13,0,2,5,0.01384442,0.05139090,0.11712506,0.30987180,0.45149813,0.57461137
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-19 00:00:00.000000,0.06410524,0.15856750,0.29723761,3,8,15,1,3,6,0.02019520,0.06336060,0.13218456,0.27709130,0.43530585,0.55461805
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-20 00:00:00.000000,0.07936961,0.18712933,0.32819482,4,9,16,1,3,7,0.02800907,0.07631349,0.14918340,0.25653440,0.41318058,0.54803080
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-21 00:00:00.000000,0.09505731,0.21699642,0.37571262,4,10,19,1,4,8,0.03640818,0.09060006,0.16677275,0.24537314,0.38551047,0.52474724
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-22 00:00:00.000000,0.11122357,0.24708763,0.39933092,5,12,20,2,5,9,0.04359668,0.10457201,0.18448493,0.24108304,0.35086334,0.52013431
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-23 00:00:00.000000,0.15302011,0.27144562,0.45259067,7,13,22,2,5,10,0.04942868,0.11513937,0.20337375,0.22707108,0.34083329,0.51108221
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-24 00:00:00.000000,0.16555460,0.29407295,0.51691716,8,14,26,3,6,11,0.06245781,0.12917694,0.23099195,0.21129543,0.32181576,0.46125002
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-25 00:00:00.000000,0.17821980,0.33171509,0.55999581,9,16,28,3,7,13,0.07593636,0.14569235,0.25858585,0.19760158,0.30574665,0.45977708
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-26 00:00:00.000000,0.20070160,0.35925882,0.59737167,10,18,30,4,8,14,0.08785025,0.15904855,0.28447665,0.18965975,0.29022257,0.45960133
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-27 00:00:00.000000,0.21657068,0.38391305,0.63289767,10,19,32,5,8,15,0.10264767,0.17609944,0.30780011,0.18534823,0.27806301,0.45078432
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-28 00:00:00.000000,0.23281017,0.40004110,0.66649360,11,20,33,5,9,16,0.11169655,0.19429986,0.32957343,0.17884982,0.26550616,0.41954714
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-29 00:00:00.000000,0.24768621,0.42843922,0.69749435,12,21,35,6,10,17,0.12008136,0.21070292,0.35019453,0.17664894,0.25450618,0.38409954
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-30 00:00:00.000000,0.24745936,0.43306241,0.69131833,12,21,35,6,11,18,0.12697596,0.22238324,0.37348669,0.17394925,0.24718691,0.32553489
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-03-31 00:00:00.000000,0.24711646,0.42551243,0.68199468,12,21,34,6,11,19,0.12893759,0.23129764,0.39262222,0.16769744,0.23522194,0.32457118
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-01 00:00:00.000000,0.24188201,0.42200376,0.66794371,12,21,33,6,11,20,0.13012632,0.23545215,0.40707930,0.15481186,0.22874624,0.32354588
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-02 00:00:00.000000,0.23429568,0.42148930,0.65666757,11,21,33,6,12,21,0.13086397,0.23773883,0.41663740,0.12568206,0.21759263,0.31583994
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-03 00:00:00.000000,0.22635484,0.41534466,0.65294187,11,21,33,6,12,20,0.13087314,0.23863932,0.41293988,0.11881290,0.20975465,0.30978128
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-04 00:00:00.000000,0.21832220,0.40422311,0.64621087,11,20,32,6,12,20,0.12556943,0.23721324,0.40790170,0.11697689,0.20078091,0.30748076
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-05 00:00:00.000000,0.21276730,0.39288225,0.63832521,10,19,32,5,12,20,0.11759978,0.23689825,0.40137401,0.11396076,0.19198673,0.30419551
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-06 00:00:00.000000,0.20029182,0.38951663,0.62992858,10,19,31,5,11,19,0.11002405,0.23266119,0.39435865,0.10820194,0.18477383,0.28769104
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-07 00:00:00.000000,0.18847762,0.38345405,0.62125317,9,19,31,5,11,20,0.10292663,0.22775256,0.39720472,0.10380425,0.17716584,0.26338330
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-08 00:00:00.000000,0.17737768,0.37161860,0.61235682,8,18,31,4,11,20,0.09646822,0.22443726,0.39762983,0.09939855,0.17127186,0.25911990
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-09 00:00:00.000000,0.16701821,0.36173761,0.59167414,8,18,29,4,11,20,0.09142583,0.22072516,0.39537721,0.09612997,0.16376246,0.25507010
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-10 00:00:00.000000,0.15671605,0.34958091,0.57009726,7,17,28,4,11,19,0.08651525,0.21832574,0.38222361,0.09460680,0.16232841,0.25116652
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-11 00:00:00.000000,0.14539402,0.33740220,0.56078673,7,17,28,4,10,18,0.08176766,0.20775417,0.36475510,0.09000531,0.15951482,0.23968237
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-12 00:00:00.000000,0.13417207,0.32610766,0.55141683,6,16,27,3,10,17,0.07719877,0.20035443,0.34721078,0.08144988,0.15811739,0.23224130
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-13 00:00:00.000000,0.12360022,0.31341216,0.54224294,6,15,27,3,9,17,0.07282467,0.19252888,0.33612865,0.07646724,0.15647571,0.22890754
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-14 00:00:00.000000,0.11610259,0.30111281,0.52869211,5,15,26,3,9,16,0.06865695,0.18632479,0.32783385,0.07435001,0.15428438,0.23947945
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-15 00:00:00.000000,0.10822144,0.28689848,0.51452664,5,14,26,3,9,16,0.06468465,0.18038120,0.31930400,0.07383575,0.14960886,0.23941844
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-16 00:00:00.000000,0.09959172,0.27408703,0.50064859,5,13,25,3,8,15,0.06084300,0.17340878,0.31084183,0.07429274,0.14700113,0.23747950
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-17 00:00:00.000000,0.09169880,0.26037486,0.48678045,4,13,24,2,8,15,0.05717589,0.16744244,0.30267632,0.07262885,0.14393639,0.23435863
8027,0,USColoradoCuster,Colorado,Custer,2020-11-01 04:26:08.919388,2020-04-18 00:00:00.000000,0.08447793,0.24748780,0.47463632,4,12,24,2,8,14,0.05369615,0.16032385,0.29491376,0.06916650,0.13787607,0.23279077
