FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-09 00:00:00.000000,0.01000123,0.01844011,0.03301113,58,107,192,24,50,78,0.00421684,0.00867205,0.01349866,0.69536467,0.84011540,1.08341160
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-10 00:00:00.000000,0.01260759,0.02251127,0.03738622,73,131,217,30,57,91,0.00515645,0.00977931,0.01563310,0.69535415,0.84011520,1.08240629
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-11 00:00:00.000000,0.01572033,0.02670894,0.04337279,91,155,252,37,66,108,0.00640621,0.01137714,0.01852974,0.69533710,0.84011450,1.08098569
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-12 00:00:00.000000,0.01946238,0.03167264,0.05049117,113,184,294,47,79,126,0.00821000,0.01359617,0.02172923,0.69530884,0.84011211,1.07899247
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-13 00:00:00.000000,0.02396692,0.03716387,0.05874880,139,216,342,61,93,147,0.01046889,0.01606448,0.02533392,0.69526069,0.84010388,1.07622359
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-14 00:00:00.000000,0.02941757,0.04354149,0.06831764,171,253,398,74,110,171,0.01281852,0.01897418,0.02940168,0.69517585,0.84007552,1.07242993
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-15 00:00:00.000000,0.03546823,0.05144952,0.07940118,206,299,462,90,131,198,0.01557701,0.02263894,0.03411315,0.69502076,0.83997798,1.06732918
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-16 00:00:00.000000,0.04290986,0.05994404,0.09130667,250,349,532,109,155,230,0.01882462,0.02671182,0.03957622,0.68153893,0.83964373,1.06064141
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-17 00:00:00.000000,0.05078328,0.06987086,0.10447988,296,407,608,131,183,268,0.02259944,0.03145240,0.04607162,0.67475532,0.83919722,1.05215460
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-18 00:00:00.000000,0.05982770,0.08260902,0.12151712,348,481,708,153,216,310,0.02637254,0.03708337,0.05321026,0.67480124,0.83795442,1.04181526
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-19 00:00:00.000000,0.07037189,0.09593214,0.13651921,410,559,795,178,256,362,0.03070568,0.04392271,0.06225411,0.67497306,0.83466300,1.02969239
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-20 00:00:00.000000,0.08267504,0.11199433,0.15788312,481,652,920,209,297,424,0.03587551,0.05101506,0.07275663,0.62305665,0.82221569,1.01614345
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-21 00:00:00.000000,0.09705643,0.13082652,0.18454986,565,762,1075,248,349,492,0.04263301,0.05993294,0.08457149,0.58862029,0.80219114,1.00173328
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-22 00:00:00.000000,0.10964253,0.14966071,0.21089701,639,872,1229,293,405,571,0.05033777,0.06962892,0.09801968,0.58023144,0.77146410,0.99114776
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-23 00:00:00.000000,0.12304064,0.17073635,0.24779138,717,995,1444,343,469,662,0.05900686,0.08061076,0.11369909,0.55950299,0.71975187,0.97756937
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-24 00:00:00.000000,0.14215349,0.19565517,0.29000723,828,1140,1690,394,541,777,0.06761615,0.09282826,0.13343181,0.54583621,0.68253161,0.87486983
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-25 00:00:00.000000,0.15974345,0.22280605,0.33245897,931,1298,1937,442,619,900,0.07588119,0.10632914,0.15447892,0.49553142,0.64599513,0.84598264
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-26 00:00:00.000000,0.17662837,0.24235819,0.36722438,1029,1412,2140,506,703,1019,0.08690865,0.12075460,0.17489527,0.44704934,0.61183331,0.82179369
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-27 00:00:00.000000,0.19518973,0.27111702,0.40104709,1137,1580,2337,565,794,1138,0.09701605,0.13630901,0.19523900,0.40319384,0.56571427,0.77816667
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-28 00:00:00.000000,0.21511805,0.29773275,0.44290922,1253,1735,2581,624,882,1302,0.10721473,0.15143720,0.22354000,0.36291688,0.52184832,0.69252414
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-29 00:00:00.000000,0.24037485,0.32201484,0.48708112,1401,1876,2839,689,982,1454,0.11823515,0.16861143,0.24955327,0.35225311,0.47928247,0.64670090
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-30 00:00:00.000000,0.26103540,0.34541303,0.52562708,1521,2013,3063,756,1067,1609,0.12977827,0.18310983,0.27614846,0.28642207,0.44199144,0.59233635
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-03-31 00:00:00.000000,0.27554360,0.36275878,0.56116515,1606,2114,3270,823,1149,1738,0.14121323,0.19721187,0.29828010,0.25629401,0.39896322,0.50697770
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-04-01 00:00:00.000000,0.28585537,0.38270273,0.59508141,1666,2230,3468,886,1224,1868,0.15212692,0.21002402,0.32052014,0.24107412,0.35855792,0.46744012
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-04-02 00:00:00.000000,0.29258892,0.40414737,0.62815176,1705,2355,3661,946,1304,2010,0.16243036,0.22386662,0.34495824,0.22586103,0.31914985,0.41962388
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-04-03 00:00:00.000000,0.29781079,0.41819750,0.66475918,1735,2437,3874,1002,1386,2147,0.17194059,0.23792368,0.36838277,0.22095684,0.29731220,0.40251147
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-04-04 00:00:00.000000,0.30240544,0.42853598,0.69899960,1762,2497,4074,1050,1464,2279,0.18025921,0.25121518,0.39104499,0.21706836,0.27655210,0.37763972
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-04-05 00:00:00.000000,0.30672729,0.44164460,0.72361178,1787,2574,4217,1090,1514,2407,0.18713247,0.25975292,0.41306420,0.20941545,0.26770076,0.35389673
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-04-06 00:00:00.000000,0.31073527,0.44820323,0.75318591,1811,2612,4390,1122,1547,2532,0.19262162,0.26553197,0.43445929,0.20433911,0.25577623,0.34359028
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-04-07 00:00:00.000000,0.31813760,0.45512947,0.77938066,1854,2652,4542,1148,1575,2651,0.19696492,0.27022046,0.45497615,0.20137114,0.25062593,0.33751834
8059,0,USColoradoJefferson,Colorado,Jefferson,2020-11-26 21:07:44.860551,2020-04-08 00:00:00.000000,0.32038449,0.45948748,0.79898364,1867,2678,4657,1164,1596,2763,0.19972660,0.27388683,0.47416054,0.19370317,0.24764604,0.32738487
