FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-09 00:00:00.000000,0.00354083,0.00900865,0.01612136,31,80,143,12,35,59,0.00135931,0.00398467,0.00668981,0.70661732,0.92497029,1.21752473
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-10 00:00:00.000000,0.00471234,0.01108508,0.01897718,42,98,169,16,42,73,0.00189284,0.00481346,0.00826639,0.70662547,0.92497031,1.21752469
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-11 00:00:00.000000,0.00608447,0.01347151,0.02225244,54,120,198,22,52,87,0.00254509,0.00591396,0.00981183,0.70664378,0.92497040,1.21752448
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-12 00:00:00.000000,0.00772506,0.01639010,0.02650824,68,146,236,29,63,102,0.00334971,0.00708294,0.01149364,0.70668398,0.92497068,1.21752335
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-13 00:00:00.000000,0.00970245,0.01974663,0.03189404,86,176,284,38,77,123,0.00432164,0.00864815,0.01379945,0.70677067,0.92497129,1.21751680
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-14 00:00:00.000000,0.01209488,0.02371474,0.03829825,107,211,341,47,92,149,0.00537090,0.01042668,0.01678868,0.70695505,0.92515065,1.21747848
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-15 00:00:00.000000,0.01499591,0.02841221,0.04591899,133,253,409,58,112,181,0.00650757,0.01263718,0.02034819,0.70748623,0.92662596,1.21725306
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-16 00:00:00.000000,0.01851713,0.03362785,0.05470786,165,299,487,70,135,219,0.00785975,0.01517316,0.02458181,0.70851801,0.92776370,1.21592954
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-17 00:00:00.000000,0.02279776,0.04011940,0.06522588,203,357,581,84,164,261,0.00953158,0.01842736,0.02938030,0.71582936,0.92791042,1.20934472
9003,0,USConnecticutHartford,Connecticut,Hartford,2020-11-26 20:39:43.891096,2020-03-18 00:00:00.000000,0.02780787,0.04878342,0.07776755,247,435,693,102,197,312,0.01154949,0.02217892,0.03499665,0.73489299,0.92524040,1.20914517
