FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-09 00:00:00.000000,0.00413647,0.00816136,0.01091744,7,14,19,1,2,6,0.00061651,0.00157679,0.00348181,0.54467021,0.77666042,1.02892257
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-10 00:00:00.000000,0.00715626,0.01285387,0.01541959,12,23,27,3,5,8,0.00167325,0.00300303,0.00450104,0.54497663,0.77666580,1.02892256
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-11 00:00:00.000000,0.01059520,0.01934036,0.02206956,19,34,39,5,9,12,0.00299918,0.00520505,0.00679380,0.54532908,0.77667599,1.02892256
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-12 00:00:00.000000,0.01425128,0.02633921,0.02967805,25,47,53,8,14,18,0.00466240,0.00791011,0.01048853,0.54598450,0.77669525,1.02892254
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-13 00:00:00.000000,0.01842837,0.03411566,0.03832680,33,61,69,12,20,26,0.00672896,0.01134816,0.01481440,0.54719437,0.77673177,1.02892251
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-14 00:00:00.000000,0.02328885,0.04308663,0.04898475,41,77,88,15,27,35,0.00843576,0.01511690,0.01974678,0.54966744,0.77680106,1.02892242
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-15 00:00:00.000000,0.02916483,0.05315352,0.06258700,52,95,112,19,34,45,0.01087294,0.01939747,0.02542270,0.55443160,0.77812361,1.02892213
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-16 00:00:00.000000,0.03568185,0.06076603,0.07353045,64,109,132,24,44,57,0.01369010,0.02454345,0.03187041,0.56069259,0.78058237,1.02892042
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-17 00:00:00.000000,0.04382103,0.07103911,0.08859962,79,128,159,30,53,67,0.01668712,0.02944339,0.03770246,0.57074175,0.78500361,1.02890243
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-18 00:00:00.000000,0.05202467,0.08224921,0.10427901,93,148,188,36,64,80,0.02005030,0.03549271,0.04451762,0.58621298,0.78373274,1.02867209
9005,0,USConnecticutLitchfield,Connecticut,Litchfield,2020-10-17 03:36:14.325791,2020-03-19 00:00:00.000000,0.06210665,0.09548819,0.12190403,111,172,219,44,77,96,0.02474419,0.04289607,0.05345871,0.60548679,0.78423789,1.02563304
