FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-09 00:00:00.000000,0.00158801,0.00460250,0.01049348,1,5,12,0,1,4,0.00024868,0.00145628,0.00387802,0.51480408,0.68763269,0.91965032
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-10 00:00:00.000000,0.00241737,0.00671435,0.01332757,2,7,15,0,2,5,0.00054331,0.00187954,0.00446511,0.51480402,0.68762745,0.91965024
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-11 00:00:00.000000,0.00333198,0.00901827,0.01641476,3,10,19,1,3,6,0.00098907,0.00271644,0.00574003,0.51480393,0.68761646,0.91965007
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-12 00:00:00.000000,0.00437371,0.01124674,0.02088951,5,13,24,1,4,8,0.00153267,0.00362035,0.00729378,0.51480381,0.68759337,0.91964962
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-13 00:00:00.000000,0.00557646,0.01406780,0.02595631,6,16,30,2,5,10,0.00209889,0.00465228,0.00939398,0.51480368,0.68754490,0.91964830
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-14 00:00:00.000000,0.00696521,0.01723884,0.03170852,8,20,37,3,7,14,0.00274856,0.00601520,0.01201156,0.51480365,0.68744324,0.91964386
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-15 00:00:00.000000,0.00837269,0.02027387,0.03824177,9,23,44,4,8,17,0.00351795,0.00754208,0.01494681,0.51480407,0.68723043,0.91962740
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-16 00:00:00.000000,0.01169152,0.02471483,0.04560802,13,28,53,5,10,21,0.00430155,0.00918297,0.01830746,0.51480611,0.68678717,0.91956516
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-17 00:00:00.000000,0.01478150,0.02891086,0.05342436,17,33,62,6,13,25,0.00516147,0.01137581,0.02210780,0.51432907,0.68587405,0.91935911
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-18 00:00:00.000000,0.01675135,0.03396021,0.06012259,19,39,70,7,16,30,0.00628066,0.01376539,0.02636567,0.50019575,0.68403614,0.91876260
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-19 00:00:00.000000,0.01935679,0.03913629,0.06906505,22,45,80,9,19,34,0.00784325,0.01633121,0.02985181,0.49760339,0.68050546,0.87172340
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-20 00:00:00.000000,0.02286189,0.04524913,0.07985175,26,52,93,11,22,39,0.00964090,0.01906464,0.03366711,0.50175097,0.66945638,0.86999473
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-21 00:00:00.000000,0.02637209,0.05240945,0.09174818,30,61,107,13,25,44,0.01168176,0.02213954,0.03787110,0.49799938,0.65179406,0.89052627
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-22 00:00:00.000000,0.03003276,0.05882323,0.10463134,35,68,122,15,29,49,0.01366360,0.02558620,0.04252426,0.47876187,0.63577185,0.89332679
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-23 00:00:00.000000,0.03475723,0.06755415,0.11627171,40,78,135,18,34,55,0.01553760,0.02941218,0.04776048,0.45514095,0.63573672,0.88280198
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-24 00:00:00.000000,0.03905477,0.07637413,0.12859610,45,89,150,20,39,65,0.01786504,0.03340182,0.05567628,0.44421575,0.62409391,0.86512554
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-25 00:00:00.000000,0.04373999,0.08635546,0.14817375,51,100,173,23,43,75,0.01994555,0.03745580,0.06488718,0.43416007,0.62402754,0.85712883
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-26 00:00:00.000000,0.05017156,0.09749442,0.16891776,58,113,197,25,50,87,0.02225846,0.04297435,0.07523389,0.43798996,0.60904352,0.86321058
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-27 00:00:00.000000,0.05764677,0.11082052,0.19136074,67,129,223,28,55,101,0.02479391,0.04762315,0.08658832,0.44378905,0.59637673,0.83847820
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-28 00:00:00.000000,0.06561357,0.12482957,0.21604804,76,145,252,32,63,115,0.02752792,0.05435659,0.09888454,0.43435008,0.56748351,0.79284297
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-29 00:00:00.000000,0.07359907,0.13898079,0.24320135,85,162,284,36,71,130,0.03136738,0.06120009,0.11210500,0.42071018,0.55149006,0.77369471
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-30 00:00:00.000000,0.08263628,0.15540375,0.26697540,96,181,311,41,77,147,0.03566576,0.06668960,0.12643192,0.42567373,0.53768912,0.73887494
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-03-31 00:00:00.000000,0.09188073,0.16861445,0.29290279,107,196,342,46,85,164,0.04011595,0.07353640,0.14095980,0.41912133,0.53176381,0.73353876
9015,0,USConnecticutWindham,Connecticut,Windham,2020-10-17 02:51:41.405853,2020-04-01 00:00:00.000000,0.10168790,0.18143836,0.31973346,118,211,373,52,95,182,0.04485442,0.08138700,0.15625222,0.40025170,0.52069998,0.72142181
