FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-09 00:00:00.000000,0.01255728,0.02275923,0.03655015,245,444,713,86,196,309,0.00444979,0.01004375,0.01582631,0.70866870,0.84729659,1.06816047
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-10 00:00:00.000000,0.01572609,0.02672399,0.04242606,307,521,828,114,229,367,0.00587414,0.01177056,0.01884437,0.70866862,0.84729616,1.06800022
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-11 00:00:00.000000,0.01872153,0.03106017,0.04891269,365,606,955,145,273,429,0.00744570,0.01402213,0.02201468,0.70866829,0.84729530,1.06774116
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-12 00:00:00.000000,0.02199120,0.03654441,0.05617256,429,713,1096,180,321,503,0.00921885,0.01646023,0.02579329,0.70866689,0.84729350,1.06732260
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-13 00:00:00.000000,0.02576329,0.04282478,0.06437270,503,836,1257,219,376,590,0.01124379,0.01930581,0.03026265,0.70866046,0.84728965,1.06664687
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-14 00:00:00.000000,0.03012501,0.05011230,0.07478162,588,978,1460,265,444,686,0.01357333,0.02274391,0.03515581,0.70862921,0.84709989,1.06555734
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-15 00:00:00.000000,0.03517687,0.05818694,0.08757278,686,1136,1710,317,521,783,0.01626638,0.02670931,0.04010925,0.70847172,0.84553845,1.06380399
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-16 00:00:00.000000,0.04110455,0.06835921,0.10262111,802,1334,2003,378,611,903,0.01939023,0.03131256,0.04624498,0.70489685,0.84319998,1.06077986
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-17 00:00:00.000000,0.04797277,0.07958704,0.12017861,936,1554,2346,448,716,1058,0.02296278,0.03668091,0.05421612,0.69661323,0.84320646,1.05579710
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-18 00:00:00.000000,0.05594536,0.09247019,0.14005081,1092,1805,2734,523,831,1240,0.02682738,0.04258308,0.06354455,0.68503260,0.83994382,1.04258755
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-19 00:00:00.000000,0.06556845,0.10786490,0.16391647,1280,2106,3200,609,971,1453,0.03120058,0.04974583,0.07442917,0.66961478,0.83395158,1.01080951
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-20 00:00:00.000000,0.07688305,0.12434227,0.18948869,1501,2428,3700,708,1116,1699,0.03626478,0.05718027,0.08700607,0.64528380,0.82567957,0.97523955
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-21 00:00:00.000000,0.09008175,0.14354558,0.21927797,1759,2803,4282,822,1280,1980,0.04212541,0.06555400,0.10141929,0.59799935,0.80814964,0.93886719
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-22 00:00:00.000000,0.10544409,0.16358748,0.25295853,2059,3194,4939,954,1490,2299,0.04889388,0.07633501,0.11777799,0.54671901,0.78203031,0.91982406
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-23 00:00:00.000000,0.12320108,0.18606110,0.28647381,2405,3633,5594,1107,1708,2693,0.05669816,0.08748737,0.13790683,0.53405496,0.74333360,0.90409271
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-24 00:00:00.000000,0.14346490,0.21087347,0.32855575,2801,4117,6415,1282,1973,3159,0.06568634,0.10105602,0.16181651,0.53341127,0.72583370,0.88292472
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-25 00:00:00.000000,0.16225144,0.23891790,0.37673334,3168,4665,7356,1485,2261,3622,0.07605693,0.11582852,0.18550854,0.48824860,0.70090591,0.87328820
12011,0,USFloridaBroward,Florida,Broward,2020-10-17 03:14:17.185897,2020-03-26 00:00:00.000000,0.18860768,0.26931575,0.43049026,3683,5259,8406,1718,2606,4075,0.08802570,0.13346332,0.20870140,0.43404541,0.65437122,0.86637682
