FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-09 00:00:00.000000,0.00309270,0.01964432,0.05483483,0,2,7,0,1,4,0.00149052,0.01053333,0.03300702,0.37581207,0.53994822,0.81851054
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-10 00:00:00.000000,0.00365266,0.02148395,0.05859734,0,3,8,0,1,4,0.00157481,0.01023961,0.03309198,0.37581182,0.53994572,0.81850789
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-11 00:00:00.000000,0.00419782,0.02337556,0.06230925,0,3,8,0,1,4,0.00176587,0.01100627,0.03374179,0.37581105,0.53993767,0.81850003
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-12 00:00:00.000000,0.00489704,0.02560193,0.06695882,0,3,9,0,1,4,0.00191534,0.01174671,0.03476102,0.37580789,0.53991175,0.81847679
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-13 00:00:00.000000,0.00545768,0.02830920,0.07151565,0,3,10,0,1,5,0.00222238,0.01273676,0.03581209,0.37579258,0.53982820,0.81840815
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-14 00:00:00.000000,0.00604902,0.03142524,0.07761021,0,4,10,0,1,5,0.00261373,0.01415444,0.03693053,0.37571111,0.53955921,0.81820665
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-15 00:00:00.000000,0.00670425,0.03478582,0.08405365,0,4,11,0,2,5,0.00305577,0.01568930,0.03907447,0.37526170,0.53530464,0.81762611
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-16 00:00:00.000000,0.01184239,0.04614034,0.09974640,1,6,14,0,2,5,0.00355341,0.01688841,0.04080490,0.37281033,0.53273617,0.81603957
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-17 00:00:00.000000,0.01701848,0.05742013,0.11339696,2,8,15,0,2,6,0.00579548,0.02013845,0.04500756,0.36478754,0.52345704,0.81424760
12013,0,USFloridaCalhoun,Florida,Calhoun,2020-10-28 01:29:07.326620,2020-03-18 00:00:00.000000,0.02275531,0.06856077,0.12636335,3,9,17,1,3,7,0.00754079,0.02454507,0.05200205,0.35904391,0.50877675,0.81257913
