FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-09 00:00:00.000000,0.00163227,0.01632086,0.06834394,0,2,11,0,1,7,0.00093336,0.00866021,0.04504610,0.40310664,0.54148198,0.81697417
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-10 00:00:00.000000,0.00176160,0.01797196,0.07173392,0,3,12,0,1,7,0.00097773,0.00913959,0.04274193,0.40310663,0.54148099,0.81697411
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-11 00:00:00.000000,0.00189723,0.01955043,0.07517846,0,3,12,0,1,7,0.00098610,0.00965716,0.04214987,0.40310662,0.54147752,0.81697395
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-12 00:00:00.000000,0.00204121,0.02107903,0.07870556,0,3,13,0,1,7,0.00102523,0.01023182,0.04262351,0.40310658,0.54146539,0.81697357
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-13 00:00:00.000000,0.00219499,0.02322710,0.08400338,0,3,14,0,1,7,0.00108349,0.01101223,0.04376644,0.40310649,0.54142296,0.81697261
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-14 00:00:00.000000,0.00235976,0.02532786,0.09164024,0,4,15,0,2,7,0.00115479,0.01207906,0.04533839,0.40310624,0.54127472,0.81697017
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-15 00:00:00.000000,0.00253656,0.02704067,0.09961855,0,4,16,0,2,7,0.00123607,0.01319567,0.04719525,0.40310555,0.54075841,0.81696345
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-16 00:00:00.000000,0.01036645,0.03785253,0.11673930,1,6,19,0,2,8,0.00132590,0.01407143,0.04925191,0.40310326,0.53839500,0.81694045
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-17 00:00:00.000000,0.01853894,0.04654391,0.13381228,3,7,22,0,2,9,0.00354192,0.01667418,0.05432970,0.39933908,0.53100363,0.81682389
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-18 00:00:00.000000,0.02299769,0.05665564,0.15098401,3,9,25,0,3,10,0.00570835,0.01924905,0.06139486,0.38190209,0.52381930,0.81597673
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-19 00:00:00.000000,0.02783264,0.06725303,0.16810550,4,11,28,1,4,11,0.00910692,0.02454618,0.06935999,0.36174545,0.50460696,0.80872905
12029,0,USFloridaDixie,Florida,Dixie,2020-11-09 14:14:23.824430,2020-03-20 00:00:00.000000,0.03377198,0.07794702,0.18517897,5,13,31,2,4,13,0.01241732,0.02917967,0.07791383,0.33550968,0.47821271,0.75694896
