FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-09 00:00:00.000000,0.00201114,0.02079188,0.07265568,0,2,8,0,1,5,0.00127503,0.01103815,0.04683807,0.36328289,0.49083053,0.71668877
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-10 00:00:00.000000,0.00220526,0.02249691,0.07506680,0,2,9,0,1,5,0.00131000,0.01162762,0.04583778,0.36277047,0.49077102,0.71668517
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-11 00:00:00.000000,0.00242329,0.02381767,0.07981105,0,2,9,0,1,5,0.00141371,0.01289921,0.04741673,0.36194550,0.49063979,0.71667993
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-12 00:00:00.000000,0.00267540,0.02636010,0.08501724,0,3,10,0,1,6,0.00155096,0.01440027,0.05013501,0.36062725,0.49035084,0.71667204
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-13 00:00:00.000000,0.00310435,0.02855349,0.09061099,0,3,10,0,1,6,0.00170925,0.01571353,0.05341413,0.35854584,0.48971730,0.71665811
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-14 00:00:00.000000,0.00359679,0.03132093,0.09657581,0,3,11,0,2,6,0.00188466,0.01720654,0.05703012,0.35532040,0.48834166,0.71661554
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-15 00:00:00.000000,0.00416291,0.03426103,0.10291559,0,4,12,0,2,7,0.00213850,0.01887199,0.06090410,0.35448806,0.48617501,0.71635287
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-16 00:00:00.000000,0.00995151,0.04621296,0.11904596,1,5,14,0,2,7,0.00248332,0.02044734,0.06501483,0.35274938,0.48521973,0.71418922
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-17 00:00:00.000000,0.01578666,0.05906201,0.13549560,1,7,16,0,3,8,0.00499780,0.02537786,0.07285431,0.34554720,0.46806475,0.69743813
12037,0,USFloridaFranklin,Florida,Franklin,2020-10-17 02:39:56.988013,2020-03-18 00:00:00.000000,0.02268482,0.07013068,0.15286838,2,8,18,1,3,10,0.00842346,0.03244707,0.08260872,0.32141723,0.45933976,0.68663729
