FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-09 00:00:00.000000,0.00958996,0.02485532,0.06464226,1,3,8,0,1,5,0.00481441,0.01329376,0.03794404,0.39741194,0.52805090,0.67289667
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-10 00:00:00.000000,0.01019109,0.02748073,0.07288210,1,3,10,0,1,5,0.00493834,0.01300166,0.03727444,0.39741180,0.52773888,0.67286829
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-11 00:00:00.000000,0.01082268,0.03030989,0.08112676,1,4,11,0,1,5,0.00521984,0.01364013,0.03754320,0.39741150,0.52714644,0.67278838
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-12 00:00:00.000000,0.01148570,0.03295490,0.08966973,1,4,12,0,2,5,0.00556585,0.01494782,0.03931667,0.39741088,0.52603877,0.67256375
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-13 00:00:00.000000,0.01218200,0.03568571,0.09872190,1,4,13,0,2,5,0.00593300,0.01646249,0.04208664,0.39606872,0.52402635,0.67193481
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-14 00:00:00.000000,0.01291384,0.03889206,0.10843814,1,5,14,0,2,6,0.00630258,0.01827672,0.04557650,0.39479474,0.52118951,0.67019335
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-15 00:00:00.000000,0.01368347,0.04162490,0.11894146,1,5,16,0,2,6,0.00666797,0.02001531,0.04973820,0.39449695,0.51273091,0.66824616
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-16 00:00:00.000000,0.02294187,0.05419886,0.13555502,3,7,18,0,2,7,0.00702810,0.02160038,0.05473815,0.39397876,0.50845005,0.66820062
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-17 00:00:00.000000,0.02670608,0.06816798,0.15310239,3,9,21,1,3,8,0.01021667,0.02560662,0.06134720,0.39304197,0.50768126,0.66807384
12043,0,USFloridaGlades,Florida,Glades,2020-10-28 01:16:52.422266,2020-03-18 00:00:00.000000,0.03211849,0.07756574,0.18540677,4,10,25,1,4,9,0.01313216,0.03178433,0.07105875,0.38308073,0.49546206,0.66773871
