FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-09 00:00:00.000000,0.00080487,0.00945316,0.02602428,0,3,10,0,2,5,0.00050173,0.00490404,0.01330900,0.36274258,0.54672373,0.77967987
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-10 00:00:00.000000,0.00088908,0.01041164,0.02751193,0,4,11,0,2,5,0.00046492,0.00484733,0.01291501,0.36253731,0.54672373,0.77962903
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-11 00:00:00.000000,0.00098973,0.01154841,0.02909975,0,4,12,0,2,5,0.00045717,0.00499876,0.01330749,0.36216184,0.54672372,0.77944468
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-12 00:00:00.000000,0.00109185,0.01293957,0.03136689,0,5,13,0,2,5,0.00048086,0.00527380,0.01424538,0.36147698,0.54672370,0.77877862
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-13 00:00:00.000000,0.00119711,0.01426370,0.03446830,0,5,14,0,2,6,0.00053509,0.00552270,0.01536966,0.36023425,0.54672365,0.77640313
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-14 00:00:00.000000,0.00130684,0.01563897,0.03781217,0,6,15,0,2,6,0.00059356,0.00610852,0.01654558,0.35800017,0.54672349,0.77560430
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-15 00:00:00.000000,0.00142218,0.01706050,0.04143296,0,7,17,0,2,7,0.00065522,0.00665848,0.01776387,0.35405066,0.54466774,0.77547142
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-16 00:00:00.000000,0.00357701,0.02094502,0.04655087,1,8,19,0,2,7,0.00071984,0.00717417,0.01902422,0.34727153,0.54157440,0.77506266
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-17 00:00:00.000000,0.00508645,0.02543106,0.05167445,2,10,21,0,3,8,0.00141505,0.00814734,0.02079856,0.34233098,0.54090131,0.77380936
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-18 00:00:00.000000,0.00667849,0.03043896,0.05732905,2,12,23,0,4,9,0.00196485,0.00988502,0.02292402,0.34096621,0.53800521,0.77005637
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-19 00:00:00.000000,0.00835674,0.03478964,0.06768199,3,14,28,1,4,10,0.00264790,0.01148905,0.02531222,0.31833482,0.52910207,0.72625274
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-20 00:00:00.000000,0.01035858,0.03863386,0.07845017,4,16,32,1,5,12,0.00353640,0.01329093,0.02958280,0.28368079,0.50569083,0.68129740
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-21 00:00:00.000000,0.01253838,0.04357771,0.08955246,5,18,37,1,6,14,0.00456264,0.01546418,0.03481456,0.26559597,0.48709208,0.67440754
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-22 00:00:00.000000,0.01488026,0.04824480,0.09882065,6,20,41,2,7,16,0.00549507,0.01762922,0.04036408,0.24553989,0.46255928,0.66380465
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-23 00:00:00.000000,0.02170750,0.05441112,0.10520375,9,22,43,2,8,19,0.00648370,0.01980291,0.04613767,0.23552873,0.43765934,0.65436000
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-24 00:00:00.000000,0.02439010,0.06021302,0.10927455,10,24,45,3,9,20,0.00851459,0.02229185,0.05057248,0.23105388,0.43120080,0.65042058
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-25 00:00:00.000000,0.02791350,0.06571954,0.11567107,11,27,48,4,10,22,0.01031057,0.02532571,0.05408039,0.22915523,0.41194206,0.63740838
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-26 00:00:00.000000,0.03126745,0.07248303,0.12987551,12,30,53,4,11,23,0.01174418,0.02855740,0.05695735,0.22828858,0.39775818,0.59587745
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-27 00:00:00.000000,0.03336858,0.07927889,0.14466129,13,32,60,5,13,26,0.01357322,0.03187088,0.06468203,0.22316077,0.38807412,0.58658722
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-28 00:00:00.000000,0.03539987,0.08657140,0.16007745,14,35,66,6,14,30,0.01549326,0.03510317,0.07285504,0.20995394,0.37959315,0.57293377
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-29 00:00:00.000000,0.03907199,0.09213640,0.17615904,16,38,73,7,15,33,0.01751907,0.03809681,0.08145177,0.19392739,0.36622720,0.56455512
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-30 00:00:00.000000,0.04442714,0.09838913,0.18639186,18,40,77,8,16,37,0.01964777,0.04065805,0.09046259,0.19297986,0.35412668,0.56421248
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-03-31 00:00:00.000000,0.04996528,0.10378134,0.19709186,20,43,81,9,18,40,0.02216563,0.04400345,0.09851867,0.17881885,0.34252801,0.56155749
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-01 00:00:00.000000,0.05575257,0.11023432,0.20807479,23,45,86,10,19,44,0.02477543,0.04729282,0.10604212,0.16983276,0.33027362,0.55107648
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-02 00:00:00.000000,0.06179174,0.11674089,0.21922101,25,48,90,11,21,47,0.02708275,0.05078578,0.11328754,0.16466414,0.32530073,0.53534195
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-03 00:00:00.000000,0.06602816,0.12408932,0.23029983,27,51,95,12,22,49,0.02995172,0.05421461,0.11961567,0.16224950,0.32133715,0.50964529
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-04 00:00:00.000000,0.07015108,0.12907510,0.24101406,29,53,100,12,23,51,0.03125711,0.05766142,0.12440202,0.15761774,0.31258069,0.46622405
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-05 00:00:00.000000,0.07426808,0.13584463,0.25109518,30,56,104,13,25,53,0.03359304,0.06124894,0.12912296,0.14748935,0.30114701,0.45496640
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-06 00:00:00.000000,0.07719477,0.14571344,0.26023580,32,60,108,14,26,55,0.03601563,0.06464271,0.13381379,0.15184344,0.29092142,0.44011873
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-07 00:00:00.000000,0.07900595,0.15094117,0.26860975,32,62,111,15,28,57,0.03707969,0.06855510,0.13925312,0.15174994,0.28882378,0.43496314
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-08 00:00:00.000000,0.08026907,0.15501546,0.27643140,33,64,114,15,29,59,0.03846603,0.07175291,0.14448551,0.15161862,0.28846784,0.42774726
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-09 00:00:00.000000,0.08179820,0.16064264,0.28388983,33,66,117,16,30,61,0.04008545,0.07445772,0.14922749,0.16162760,0.28437061,0.42727252
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-10 00:00:00.000000,0.08563422,0.16762047,0.29104811,35,69,120,17,32,63,0.04190147,0.07733030,0.15359791,0.16982247,0.28366613,0.42655493
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-11 00:00:00.000000,0.08750002,0.17274428,0.29801677,36,71,123,18,34,65,0.04385392,0.08204455,0.15769469,0.16935121,0.28066721,0.42465948
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-12 00:00:00.000000,0.08797653,0.17583270,0.30915622,36,72,128,18,36,67,0.04568730,0.08751178,0.16158436,0.16663034,0.27695251,0.41680017
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-13 00:00:00.000000,0.08787790,0.18466463,0.31435079,36,76,130,19,37,68,0.04680100,0.09026936,0.16530999,0.16272973,0.27829766,0.40586909
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-14 00:00:00.000000,0.08775304,0.18813839,0.31936503,36,78,132,19,38,70,0.04787787,0.09321595,0.16965898,0.16400239,0.27663481,0.39262110
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-15 00:00:00.000000,0.08754680,0.19380397,0.33110142,36,80,137,20,39,73,0.04896186,0.09515606,0.17666667,0.16505508,0.27167582,0.39049458
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-16 00:00:00.000000,0.08728111,0.19722744,0.34956104,36,81,145,20,40,76,0.04986705,0.09737644,0.18339003,0.16412614,0.26594128,0.38982236
12075,0,USFloridaLevy,Florida,Levy,2020-11-26 20:03:14.122713,2020-04-17 00:00:00.000000,0.08701166,0.20223784,0.36989922,36,83,153,20,41,78,0.05002196,0.10081400,0.18995497,0.16281562,0.26088959,0.38854254
