FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-09 00:00:00.000000,0.00168726,0.00426704,0.00819112,5,14,26,1,5,12,0.00032226,0.00157659,0.00392117,0.52516728,0.68903512,0.87178932
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-10 00:00:00.000000,0.00238258,0.00573759,0.00948732,7,18,31,1,6,13,0.00054648,0.00190740,0.00402903,0.52514085,0.68875885,0.87178870
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-11 00:00:00.000000,0.00320889,0.00719039,0.01229421,10,23,40,2,8,15,0.00088816,0.00247096,0.00480658,0.52508703,0.68836272,0.87178753
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-12 00:00:00.000000,0.00375527,0.00874160,0.01465182,12,28,48,4,10,18,0.00129930,0.00309492,0.00575729,0.52497757,0.68779740,0.87178532
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-13 00:00:00.000000,0.00437726,0.01030815,0.01673520,14,33,54,5,12,21,0.00165861,0.00383176,0.00657597,0.52475538,0.68699609,0.87178104
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-14 00:00:00.000000,0.00525078,0.01233060,0.02040664,17,40,66,6,15,25,0.00210332,0.00461931,0.00776989,0.52430626,0.68629396,0.87177264
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-15 00:00:00.000000,0.00623685,0.01444511,0.02451589,20,47,80,8,18,31,0.00248840,0.00550007,0.00953449,0.52340595,0.68547575,0.87175588
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-16 00:00:00.000000,0.00833343,0.01695849,0.02780435,27,55,91,9,21,37,0.00283863,0.00663280,0.01150675,0.52163110,0.68027877,0.87172177
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-17 00:00:00.000000,0.01077811,0.01997906,0.03163133,35,65,103,11,25,43,0.00336799,0.00789162,0.01336608,0.51824469,0.67384571,0.87165103
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-18 00:00:00.000000,0.01319598,0.02352153,0.03593549,43,77,117,14,30,50,0.00436611,0.00925014,0.01523722,0.51216853,0.67617275,0.87150144
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-19 00:00:00.000000,0.01555837,0.02722097,0.04052177,51,89,133,18,35,57,0.00558493,0.01090299,0.01741536,0.47168063,0.66664334,0.87117371
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-20 00:00:00.000000,0.01825666,0.03085973,0.04521867,59,101,148,23,41,66,0.00700850,0.01264818,0.02012695,0.44362936,0.65810111,0.87031672
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-21 00:00:00.000000,0.02128128,0.03501978,0.05175871,69,114,169,27,47,76,0.00835950,0.01457792,0.02342408,0.43096664,0.64063718,0.85588250
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-22 00:00:00.000000,0.02408124,0.03854373,0.05819493,79,126,191,31,55,89,0.00956916,0.01675796,0.02717384,0.41868406,0.61698069,0.82182403
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-23 00:00:00.000000,0.02739403,0.04414883,0.06721989,89,144,220,35,62,103,0.01095462,0.01893938,0.03142673,0.40757826,0.59097564,0.79242506
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-24 00:00:00.000000,0.03075996,0.04941668,0.07664697,100,162,251,41,69,118,0.01262457,0.02110025,0.03607429,0.40196073,0.57215773,0.76604134
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-25 00:00:00.000000,0.03436092,0.05544635,0.08667127,112,182,284,46,78,135,0.01430654,0.02389750,0.04112917,0.38699097,0.56731256,0.76119461
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-26 00:00:00.000000,0.03829673,0.06132908,0.09728627,125,201,319,52,88,153,0.01607504,0.02692841,0.04679457,0.37375918,0.56522951,0.74787026
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-27 00:00:00.000000,0.04262672,0.06771811,0.10806437,139,222,354,59,99,174,0.01812820,0.03039152,0.05311130,0.35921168,0.54232347,0.73466774
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-28 00:00:00.000000,0.04753808,0.07247220,0.11842734,156,237,388,67,110,197,0.02052817,0.03364404,0.06008604,0.33635383,0.50293665,0.71411144
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-29 00:00:00.000000,0.05116811,0.07906977,0.12795527,167,259,420,75,122,220,0.02309904,0.03744794,0.06719832,0.31448591,0.45666858,0.71233762
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-30 00:00:00.000000,0.05459468,0.08611891,0.13470951,179,282,442,84,135,242,0.02564943,0.04141145,0.07387575,0.29649190,0.42689158,0.68075984
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-03-31 00:00:00.000000,0.05827469,0.09219509,0.14006355,191,302,459,91,147,261,0.02784101,0.04501821,0.07964243,0.28830563,0.40595917,0.62852342
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-04-01 00:00:00.000000,0.06238836,0.09717632,0.14899728,204,319,489,98,158,278,0.03011991,0.04828701,0.08469616,0.28305242,0.39298407,0.61897323
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-04-02 00:00:00.000000,0.06624527,0.10181839,0.16007287,217,334,525,106,170,293,0.03251002,0.05186496,0.08928740,0.25511500,0.37628372,0.56773134
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-04-03 00:00:00.000000,0.06870385,0.10759709,0.17045123,225,353,559,113,179,309,0.03458895,0.05478461,0.09428041,0.23288071,0.35129951,0.52039901
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-04-04 00:00:00.000000,0.07088501,0.11155234,0.17849248,232,366,585,118,190,329,0.03616463,0.05790503,0.10041581,0.21040768,0.32259998,0.49306327
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-04-05 00:00:00.000000,0.07294441,0.11461489,0.18597893,239,376,610,123,197,348,0.03750877,0.06008399,0.10624786,0.18752030,0.29551353,0.44744560
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-04-06 00:00:00.000000,0.07377516,0.11760079,0.19409974,242,386,637,127,203,366,0.03887314,0.06186349,0.11172567,0.17484577,0.27665654,0.40658961
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-04-07 00:00:00.000000,0.07459943,0.11991088,0.20167183,244,393,662,130,208,383,0.03977471,0.06349738,0.11674196,0.14928415,0.26546844,0.37953958
12111,0,USFloridaSt.Lucie,Florida,St. Lucie,2020-11-01 04:37:43.715957,2020-04-08 00:00:00.000000,0.07538713,0.12217893,0.20663030,247,401,678,132,214,398,0.04045899,0.06538410,0.12133286,0.14633943,0.25608706,0.36702801
