FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-09 00:00:00.000000,0.00157242,0.00248220,0.00478008,4,7,13,0,2,5,0.00016360,0.00081433,0.00173295,0.54149744,0.69710072,0.91884804
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-10 00:00:00.000000,0.00225930,0.00364564,0.00736874,6,10,21,1,2,5,0.00038417,0.00102996,0.00204774,0.54149764,0.69709786,0.91883758
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-11 00:00:00.000000,0.00290061,0.00497137,0.00981586,8,14,28,2,4,7,0.00071936,0.00148078,0.00273063,0.54149765,0.69709139,0.91881507
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-12 00:00:00.000000,0.00354930,0.00649581,0.01239859,10,18,35,3,5,11,0.00118501,0.00207073,0.00388961,0.54149686,0.69707616,0.91876664
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-13 00:00:00.000000,0.00434077,0.00821995,0.01519625,12,23,43,4,7,15,0.00166313,0.00271732,0.00525570,0.54149310,0.69703751,0.91866269
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-14 00:00:00.000000,0.00512278,0.01015715,0.01840325,14,29,53,6,10,19,0.00209964,0.00347405,0.00682322,0.54147799,0.69692685,0.91844045
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-15 00:00:00.000000,0.00589593,0.01226661,0.02207642,17,35,63,7,12,24,0.00257395,0.00436067,0.00858717,0.54141775,0.69655796,0.91796956
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-16 00:00:00.000000,0.00917219,0.01492505,0.02660803,26,43,77,8,15,30,0.00306068,0.00546709,0.01056041,0.54117157,0.69514955,0.91699027
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-17 00:00:00.000000,0.01130883,0.01794506,0.03053626,32,51,88,11,19,36,0.00406307,0.00682598,0.01276376,0.53682906,0.68948642,0.91503051
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-18 00:00:00.000000,0.01384913,0.02125284,0.03493714,40,61,101,14,24,43,0.00511846,0.00845396,0.01489356,0.52255077,0.68208534,0.91139266
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-19 00:00:00.000000,0.01646886,0.02500911,0.04018220,47,72,116,17,29,49,0.00608784,0.01028412,0.01721830,0.50477350,0.67418707,0.88087088
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-20 00:00:00.000000,0.01900870,0.02925051,0.04703610,55,84,136,20,34,58,0.00709473,0.01202803,0.02016916,0.48503568,0.65912646,0.87903253
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-21 00:00:00.000000,0.02256393,0.03347174,0.05493796,65,96,159,23,41,69,0.00821938,0.01419482,0.02411014,0.47073558,0.64893204,0.87369170
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-22 00:00:00.000000,0.02536495,0.03813130,0.06380553,73,110,184,27,47,82,0.00950623,0.01639163,0.02860601,0.46026864,0.63168342,0.84946637
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-23 00:00:00.000000,0.02947694,0.04324085,0.07382751,85,125,213,31,55,97,0.01099078,0.01916005,0.03374784,0.45453016,0.61688296,0.81148098
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-24 00:00:00.000000,0.03253086,0.04896818,0.08484134,94,141,245,36,63,114,0.01272908,0.02194765,0.03946334,0.44151904,0.59492766,0.82047827
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-25 00:00:00.000000,0.03536510,0.05530767,0.09530367,102,160,275,41,71,132,0.01445008,0.02484903,0.04578231,0.43632304,0.57414863,0.82567926
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-26 00:00:00.000000,0.03963043,0.06169288,0.10558087,114,178,305,47,80,151,0.01637019,0.02796250,0.05235320,0.42483928,0.55259610,0.82601910
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-27 00:00:00.000000,0.04423112,0.06870551,0.11673940,128,198,337,53,89,168,0.01846249,0.03101455,0.05828923,0.39912490,0.53805940,0.81897202
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-28 00:00:00.000000,0.04874174,0.07551268,0.12898769,141,218,373,59,101,186,0.02071103,0.03503579,0.06443247,0.37341035,0.51546010,0.79240887
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-29 00:00:00.000000,0.05306075,0.08259970,0.14245112,153,239,412,66,113,204,0.02307052,0.03912220,0.07079151,0.34972928,0.48118781,0.71827671
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-30 00:00:00.000000,0.05822949,0.08959684,0.15528160,168,259,449,73,125,228,0.02533163,0.04337509,0.07899227,0.33645651,0.45853536,0.67930940
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-03-31 00:00:00.000000,0.06377639,0.09665159,0.17012085,184,279,492,80,137,250,0.02769120,0.04736986,0.08643283,0.32374655,0.43508511,0.57947356
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-04-01 00:00:00.000000,0.06830910,0.10288985,0.18326571,197,297,530,87,147,275,0.03008736,0.05079646,0.09507420,0.29507408,0.41927256,0.55802313
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-04-02 00:00:00.000000,0.07244286,0.10959977,0.19593379,209,317,567,93,157,298,0.03233850,0.05458647,0.10322412,0.27935192,0.38561560,0.52115162
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-04-03 00:00:00.000000,0.07486368,0.11568504,0.20867389,216,334,603,100,169,322,0.03459924,0.05845793,0.11139853,0.25537783,0.36513402,0.49999217
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-04-04 00:00:00.000000,0.07883086,0.12098876,0.22185190,228,350,642,106,180,346,0.03690008,0.06236755,0.11964037,0.23514851,0.35642801,0.47252341
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-04-05 00:00:00.000000,0.08125980,0.12853681,0.23564424,235,372,682,113,191,368,0.03925804,0.06617030,0.12747504,0.21987210,0.34263898,0.45941628
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-04-06 00:00:00.000000,0.08352523,0.13571510,0.25018965,241,392,724,120,202,390,0.04169375,0.07010253,0.13491492,0.19998897,0.33310654,0.43123105
13051,0,USGeorgiaChatham,Georgia,Chatham,2020-12-05 21:09:30.622097,2020-04-07 00:00:00.000000,0.08532984,0.14046803,0.26537405,246,406,768,128,213,410,0.04425505,0.07384296,0.14199770,0.18679904,0.32379039,0.41961837
