FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-09 00:00:00.000000,0.00379736,0.03506246,0.09473630,1,9,25,0,5,11,0.00174588,0.01939534,0.04522982,0.54509298,0.70017391,0.86638938
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-10 00:00:00.000000,0.00452359,0.04064229,0.10533768,1,10,27,0,5,12,0.00205276,0.01983141,0.04759549,0.54509021,0.70017329,0.86639623
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-11 00:00:00.000000,0.00532725,0.04708298,0.11651666,1,12,30,0,5,13,0.00243297,0.02148368,0.05115789,0.54508507,0.70017211,0.86641501
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-12 00:00:00.000000,0.00622613,0.05322920,0.12849345,1,14,33,0,6,14,0.00287246,0.02405158,0.05584237,0.54507548,0.70016985,0.86646647
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-13 00:00:00.000000,0.00723727,0.05999977,0.14144578,1,15,37,0,7,16,0.00337062,0.02656303,0.06308898,0.54505756,0.70016546,0.86660736
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-14 00:00:00.000000,0.00837743,0.06870320,0.15552853,2,18,41,1,7,18,0.00393276,0.02969869,0.07171756,0.54502394,0.70015680,0.86699234
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-15 00:00:00.000000,0.00966175,0.07717320,0.17088413,2,20,45,1,8,21,0.00456688,0.03393823,0.08157243,0.54496061,0.70013905,0.86803857
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-16 00:00:00.000000,0.02482812,0.10011397,0.21193947,6,26,55,1,10,24,0.00528176,0.03808464,0.09280472,0.54484005,0.69758919,0.87083744
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-17 00:00:00.000000,0.04015019,0.12003911,0.25451438,10,31,67,2,12,28,0.01019021,0.04682133,0.10790906,0.54460346,0.69635393,0.87314517
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-18 00:00:00.000000,0.05291225,0.14515465,0.30009233,13,38,79,4,14,33,0.01601298,0.05580504,0.12613942,0.54144891,0.68906656,0.86260817
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-19 00:00:00.000000,0.06593590,0.17015112,0.34907543,17,44,92,5,17,38,0.02237755,0.06720736,0.14732926,0.51692950,0.67572986,0.86144312
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-20 00:00:00.000000,0.07944961,0.19116705,0.40165003,20,50,106,8,21,48,0.03086709,0.08110109,0.18363019,0.50532010,0.67006734,0.85781686
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-21 00:00:00.000000,0.09291856,0.22214588,0.45891653,24,58,121,9,24,54,0.03770626,0.09397936,0.20823130,0.49290625,0.65611197,0.84706842
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-22 00:00:00.000000,0.11150321,0.25399109,0.51807236,29,67,136,11,29,61,0.04399305,0.11003555,0.23401028,0.48287758,0.63556992,0.84533971
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-23 00:00:00.000000,0.13039621,0.29732079,0.57509879,34,78,151,13,33,69,0.05061595,0.12871584,0.26184956,0.46115373,0.62092674,0.83712047
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-24 00:00:00.000000,0.15886189,0.33411389,0.64066835,41,88,169,15,39,79,0.05909552,0.14853804,0.29983606,0.44082927,0.60775917,0.81881486
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-25 00:00:00.000000,0.18322579,0.38024861,0.71060199,48,100,187,18,44,89,0.06992488,0.16927173,0.34053103,0.42722732,0.60336065,0.83629368
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-26 00:00:00.000000,0.20435268,0.42700303,0.77677693,53,112,205,21,50,101,0.08291809,0.18998149,0.38387185,0.41508025,0.59102944,0.83645980
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-27 00:00:00.000000,0.22668610,0.47241836,0.84985613,59,124,224,25,56,113,0.09768883,0.21374896,0.42962011,0.39968808,0.57755355,0.82993311
13087,0,USGeorgiaDecatur,Georgia,Decatur,2020-10-17 02:59:22.814300,2020-03-28 00:00:00.000000,0.25154976,0.52429821,0.91497627,66,138,241,29,63,125,0.11236800,0.23920224,0.47567399,0.38907519,0.56046652,0.81031259
