FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-09 00:00:00.000000,0.00383376,0.00878063,0.01579394,4,10,18,0,2,6,0.00055602,0.00233105,0.00528613,0.48905519,0.69296875,0.95785155
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-10 00:00:00.000000,0.00602630,0.01322150,0.02265429,6,15,25,1,4,7,0.00137290,0.00363065,0.00667411,0.48905518,0.69296572,0.95777386
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-11 00:00:00.000000,0.00781446,0.01786642,0.03271826,8,20,37,2,6,11,0.00244895,0.00530866,0.01002081,0.48905513,0.69295930,0.95756934
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-12 00:00:00.000000,0.00985082,0.02316342,0.04393070,11,26,50,3,8,17,0.00322822,0.00734224,0.01491204,0.48905493,0.69294567,0.95703017
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-13 00:00:00.000000,0.01207502,0.02901692,0.05590876,13,33,63,4,11,23,0.00413185,0.00982980,0.02039400,0.48905401,0.69291662,0.95561373
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-14 00:00:00.000000,0.01444105,0.03514910,0.07053078,16,40,80,5,14,30,0.00510027,0.01275528,0.02666287,0.48904940,0.69285435,0.95194235
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-15 00:00:00.000000,0.01706955,0.04239769,0.08729322,19,48,99,7,18,38,0.00620307,0.01600911,0.03375391,0.48902440,0.69271951,0.94277000
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-16 00:00:00.000000,0.02285152,0.05053710,0.10010791,26,57,114,8,22,47,0.00761462,0.01983977,0.04180745,0.48888375,0.69157766,0.92809206
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-17 00:00:00.000000,0.02607190,0.05919953,0.11632559,29,67,133,11,27,57,0.00997501,0.02378218,0.05044293,0.48808563,0.69142540,0.92761223
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-18 00:00:00.000000,0.02959010,0.06844451,0.13552696,33,78,155,15,31,68,0.01314145,0.02756904,0.05964411,0.48735379,0.69021978,0.92464007
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-19 00:00:00.000000,0.03345774,0.07853716,0.15727147,38,89,179,17,36,79,0.01500573,0.03211267,0.06976340,0.48691843,0.67608909,0.90712296
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-20 00:00:00.000000,0.03771591,0.08896473,0.18180259,43,101,208,19,43,92,0.01703870,0.03783302,0.08100583,0.45721316,0.65551183,0.89546061
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-21 00:00:00.000000,0.04239132,0.10233388,0.20814790,48,117,238,22,50,107,0.01926766,0.04394375,0.09352794,0.43040739,0.65030703,0.86392632
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-22 00:00:00.000000,0.04750008,0.11321555,0.23333781,54,129,266,24,56,122,0.02171386,0.04948619,0.10737142,0.40724418,0.62603097,0.85108962
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-23 00:00:00.000000,0.05554858,0.12471115,0.25730470,63,142,294,27,64,140,0.02439244,0.05621559,0.12245409,0.39754213,0.59192726,0.81688080
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-24 00:00:00.000000,0.06395827,0.13972239,0.28380784,73,159,324,32,73,153,0.02800002,0.06400786,0.13452113,0.39139456,0.56707480,0.79623104
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-25 00:00:00.000000,0.07565202,0.15419257,0.31423596,86,176,359,36,81,171,0.03221843,0.07164145,0.14997427,0.37844650,0.54887969,0.77185375
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-26 00:00:00.000000,0.08876624,0.16753974,0.34699427,101,191,397,42,90,191,0.03683434,0.07891248,0.16721419,0.36026025,0.53046805,0.73876357
13113,0,USGeorgiaFayette,Georgia,Fayette,2020-10-17 02:23:38.066804,2020-03-27 00:00:00.000000,0.10264818,0.18519838,0.38148221,117,211,436,49,100,212,0.04365447,0.08817383,0.18550085,0.34097115,0.49182683,0.69439724
