FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-09 00:00:00.000000,0.00321006,0.01248330,0.04414342,0,3,11,0,1,6,0.00171799,0.00701094,0.02585624,0.41404291,0.56987593,0.70082596
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-10 00:00:00.000000,0.00377909,0.01406475,0.04825418,0,3,12,0,1,6,0.00172273,0.00711799,0.02434617,0.41404282,0.56987567,0.70082596
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-11 00:00:00.000000,0.00412988,0.01558714,0.05135750,1,4,13,0,1,6,0.00170992,0.00734753,0.02357379,0.41404288,0.56987499,0.70082595
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-12 00:00:00.000000,0.00447951,0.01695288,0.05514621,1,4,14,0,2,6,0.00175562,0.00767154,0.02338766,0.41404401,0.56987319,0.70082591
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-13 00:00:00.000000,0.00483158,0.01862261,0.05905525,1,4,15,0,2,6,0.00183802,0.00821050,0.02359421,0.41405029,0.56986848,0.70082569
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-14 00:00:00.000000,0.00518911,0.02019143,0.06312989,1,5,16,0,2,6,0.00194408,0.00879150,0.02487375,0.41407841,0.56985611,0.70082414
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-15 00:00:00.000000,0.00555466,0.02184257,0.06740599,1,5,17,0,2,6,0.00206609,0.00955312,0.02633221,0.41419333,0.56982359,0.70080966
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-16 00:00:00.000000,0.00931837,0.03035157,0.07484845,2,7,19,0,2,7,0.00219962,0.01048065,0.02791987,0.41463470,0.56448997,0.70065730
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-17 00:00:00.000000,0.01138942,0.03745456,0.08253728,2,9,21,0,3,8,0.00286257,0.01222022,0.03094943,0.40128918,0.56270840,0.69898494
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-18 00:00:00.000000,0.01368484,0.04454667,0.09056467,3,11,23,1,3,9,0.00383150,0.01469488,0.03490230,0.38194530,0.55558174,0.68184768
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-19 00:00:00.000000,0.01588141,0.05313058,0.10699265,4,13,28,1,4,10,0.00450799,0.01779490,0.03907721,0.38133405,0.53893439,0.66789249
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-20 00:00:00.000000,0.01806303,0.06147758,0.12538576,4,16,32,1,5,11,0.00578956,0.02106638,0.04264332,0.34179783,0.51722992,0.66005602
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-21 00:00:00.000000,0.02030194,0.07069673,0.14447212,5,18,37,1,6,12,0.00722936,0.02459474,0.04783508,0.30879533,0.47697024,0.63497791
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-22 00:00:00.000000,0.02260537,0.07982132,0.16335934,5,20,42,2,7,14,0.00825677,0.02866515,0.05517601,0.29647602,0.44629295,0.62515566
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-23 00:00:00.000000,0.02961346,0.09097430,0.17722956,7,23,46,2,8,15,0.00933077,0.03352316,0.06096868,0.28880489,0.42643241,0.61119508
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-24 00:00:00.000000,0.03671262,0.09870383,0.19046687,9,25,49,2,10,18,0.01122051,0.03847266,0.06888805,0.27611842,0.41368913,0.58673409
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-25 00:00:00.000000,0.04406062,0.10818657,0.20348076,11,28,53,3,11,20,0.01365306,0.04285373,0.07977123,0.26950006,0.40547662,0.57778927
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-26 00:00:00.000000,0.05107377,0.11810862,0.21659202,13,30,56,4,12,22,0.01647022,0.04587340,0.08672272,0.26495725,0.39945386,0.56733141
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-27 00:00:00.000000,0.05725162,0.12730731,0.22967689,15,33,60,5,13,24,0.01943280,0.04986730,0.09343874,0.24972252,0.39181019,0.55469325
13147,0,USGeorgiaHart,Georgia,Hart,2020-11-01 02:48:51.754860,2020-03-28 00:00:00.000000,0.06504995,0.13392120,0.24419963,17,35,63,5,14,26,0.02139361,0.05433900,0.10004473,0.23400123,0.37887937,0.54025447
