FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-09 00:00:00.000000,0.00891659,0.02434481,0.05737867,3,9,23,0,4,10,0.00212733,0.01039971,0.02711270,0.44235490,0.59005127,0.78860366
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-10 00:00:00.000000,0.01352354,0.03170948,0.06803452,5,12,27,1,4,11,0.00280000,0.01132840,0.02853098,0.44234017,0.59005124,0.78860130
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-11 00:00:00.000000,0.01829234,0.03936823,0.07905981,7,15,31,1,5,12,0.00446157,0.01383123,0.03172781,0.44231249,0.59005119,0.78859708
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-12 00:00:00.000000,0.02173306,0.04808761,0.09052172,8,19,36,2,6,14,0.00698458,0.01658112,0.03711741,0.44226058,0.59005109,0.78858951
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-13 00:00:00.000000,0.02541043,0.05535569,0.10291422,10,22,41,3,7,17,0.00850880,0.01974442,0.04365715,0.44216335,0.59005089,0.78857600
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-14 00:00:00.000000,0.02943224,0.06306788,0.12451988,11,25,50,4,9,19,0.01035005,0.02345223,0.04901034,0.44198203,0.59004988,0.78855188
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-15 00:00:00.000000,0.03362509,0.07229331,0.14326111,13,29,57,5,11,22,0.01302588,0.02797932,0.05503317,0.44164648,0.58526087,0.78850889
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-16 00:00:00.000000,0.04004657,0.08537128,0.16537494,16,34,66,6,13,26,0.01577080,0.03241189,0.06685659,0.44103463,0.58409177,0.78843230
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-17 00:00:00.000000,0.04700644,0.09750264,0.18735457,18,39,75,7,15,31,0.01893664,0.03857928,0.07727566,0.43994869,0.57271687,0.78829540
13219,0,USGeorgiaOconee,Georgia,Oconee,2020-11-09 14:21:37.505969,2020-03-18 00:00:00.000000,0.05459965,0.11257460,0.21045235,21,45,84,8,17,34,0.02191986,0.04395720,0.08636655,0.43479540,0.55817300,0.78804617
