FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-09 00:00:00.000000,0.00416629,0.05578737,0.15911301,0,6,17,0,3,9,0.00221890,0.02984360,0.08410874,0.45486317,0.60150135,0.80416647
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-10 00:00:00.000000,0.00487550,0.06214632,0.16857556,0,6,18,0,3,8,0.00217685,0.03029411,0.08005092,0.45486291,0.60150027,0.80414946
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-11 00:00:00.000000,0.00557648,0.06904334,0.18147895,0,7,20,0,3,9,0.00225818,0.03174765,0.08419886,0.45486234,0.60149825,0.80410663
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-12 00:00:00.000000,0.00630189,0.07592762,0.20240585,0,8,22,0,3,10,0.00243375,0.03387081,0.09234236,0.45486114,0.60149418,0.80399906
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-13 00:00:00.000000,0.00707448,0.08419736,0.22569973,0,9,25,0,4,11,0.00267564,0.03719329,0.10208084,0.45485855,0.60148454,0.80373012
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-14 00:00:00.000000,0.00791127,0.09225097,0.25166008,0,10,28,0,4,12,0.00296927,0.04105713,0.11330298,0.45485299,0.59988807,0.80306547
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-15 00:00:00.000000,0.00882478,0.10183600,0.28055003,0,11,31,0,5,14,0.00330786,0.04605140,0.12602128,0.45484113,0.59980126,0.80146839
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-16 00:00:00.000000,0.02069305,0.12802854,0.33236755,2,14,37,0,5,15,0.00368911,0.05141477,0.14030844,0.45481588,0.59947020,0.79787134
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-17 00:00:00.000000,0.02835824,0.15752699,0.38700302,3,17,43,0,6,17,0.00760282,0.05906829,0.16092491,0.44589025,0.59494411,0.79245913
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-18 00:00:00.000000,0.03792147,0.18542207,0.44390883,4,20,49,1,8,20,0.01135586,0.07186958,0.18606772,0.42008811,0.58738849,0.78702112
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-19 00:00:00.000000,0.04852956,0.22090970,0.49394791,5,24,55,1,9,23,0.01500800,0.08529209,0.21458872,0.41140407,0.56624442,0.77267535
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-20 00:00:00.000000,0.06032454,0.25874416,0.55739230,6,28,62,2,10,27,0.01923435,0.09806584,0.24342668,0.38323147,0.54728622,0.75843890
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-21 00:00:00.000000,0.07334575,0.28940511,0.62548136,8,32,69,2,12,30,0.02394503,0.11573183,0.27055847,0.38344027,0.52551792,0.75318536
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-22 00:00:00.000000,0.08742106,0.32035075,0.68811247,9,35,76,3,14,34,0.02910817,0.13444180,0.31109180,0.35256562,0.50253829,0.75142264
13235,0,USGeorgiaPulaski,Georgia,Pulaski,2020-10-17 02:27:55.645164,2020-03-23 00:00:00.000000,0.11886268,0.36320133,0.76056629,13,40,84,3,16,38,0.03474258,0.14895254,0.34566213,0.33501380,0.48340997,0.75478859
