FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-09 00:00:00.000000,0.00120820,0.02281088,0.09076519,0,3,12,0,1,7,0.00064612,0.01196881,0.05112055,0.40525370,0.56405021,0.76277608
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-10 00:00:00.000000,0.00151153,0.02582207,0.09820260,0,3,13,0,1,6,0.00063665,0.01170371,0.04915812,0.40525267,0.56404051,0.76275178
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-11 00:00:00.000000,0.00180104,0.02846521,0.10605355,0,3,14,0,1,7,0.00067040,0.01224485,0.05154870,0.40525045,0.56402079,0.76270324
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-12 00:00:00.000000,0.00208704,0.03137173,0.11437040,0,4,15,0,1,7,0.00073488,0.01278556,0.05546010,0.40524569,0.56397705,0.76260635
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-13 00:00:00.000000,0.00237720,0.03438351,0.12319596,0,4,17,0,1,8,0.00082208,0.01361907,0.05972785,0.40523553,0.56387236,0.76241330
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-14 00:00:00.000000,0.00267740,0.03768296,0.13253850,0,5,18,0,2,8,0.00092692,0.01491105,0.06432469,0.40521404,0.56360689,0.76203007
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-15 00:00:00.000000,0.00299212,0.04142514,0.14225334,0,5,19,0,2,9,0.00104636,0.01630853,0.06854223,0.40516942,0.56291035,0.76127469
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-16 00:00:00.000000,0.01170431,0.05338901,0.15989810,1,7,22,0,2,10,0.00117870,0.01788951,0.07234730,0.40395794,0.55124564,0.75980643
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-17 00:00:00.000000,0.01784463,0.06539718,0.17570383,2,9,24,0,3,10,0.00349664,0.02205156,0.07768936,0.38872070,0.54377110,0.75702724
13251,0,USGeorgiaScreven,Georgia,Screven,2020-10-17 01:52:40.893938,2020-03-18 00:00:00.000000,0.02240942,0.07793395,0.18975612,3,10,26,0,3,11,0.00602373,0.02659254,0.08418679,0.37005732,0.53089122,0.75200985
