FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-09 00:00:00.000000,0.02016319,0.08593916,0.31965425,1,6,25,0,3,12,0.01028345,0.04498284,0.15926351,0.48637073,0.62525636,0.81716587
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-10 00:00:00.000000,0.02326197,0.09838553,0.34687976,1,7,28,0,3,12,0.01118110,0.04617656,0.16015951,0.48635134,0.62525604,0.81716584
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-11 00:00:00.000000,0.02658172,0.11074596,0.37485698,2,8,30,1,4,13,0.01253903,0.04990981,0.16924945,0.48631444,0.62525527,0.81716575
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-12 00:00:00.000000,0.03010197,0.12119152,0.40355319,2,9,32,1,4,14,0.01419883,0.05476552,0.17968532,0.48624243,0.62525308,0.81716551
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-13 00:00:00.000000,0.03391423,0.13407293,0.43436188,2,10,35,1,4,15,0.01609259,0.05980698,0.19379445,0.48609771,0.62524583,0.81716490
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-14 00:00:00.000000,0.03808103,0.14664380,0.46744497,3,11,37,1,5,17,0.01819882,0.06510188,0.21016238,0.48579703,0.62521929,0.81716331
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-15 00:00:00.000000,0.04263966,0.15998068,0.50294007,3,12,40,1,5,18,0.02051989,0.07147492,0.22809358,0.48514957,0.62395989,0.81715915
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-16 00:00:00.000000,0.07110290,0.21734413,0.55423238,5,17,44,1,6,19,0.02307405,0.07873954,0.24714181,0.48261847,0.62387188,0.81714815
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-17 00:00:00.000000,0.10022632,0.27229018,0.60804406,8,22,49,2,7,21,0.03219112,0.09575078,0.26877981,0.45962157,0.61809141,0.81632034
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-11-01 03:44:51.699976,2020-03-18 00:00:00.000000,0.13179334,0.33166770,0.66497442,10,26,53,3,9,23,0.04446951,0.12062604,0.29333918,0.44164386,0.61049271,0.80134335
