FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-09 00:00:00.000000,0.04077318,0.13704694,0.26747701,3,11,22,0,2,7,0.00444300,0.03429244,0.09212423,0.63284544,0.84251894,1.08055788
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-10 00:00:00.000000,0.07974060,0.20881458,0.35304714,6,17,30,1,5,10,0.02147972,0.05877722,0.12018467,0.63284571,0.84251309,1.08055710
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-11 00:00:00.000000,0.12899234,0.28594881,0.47461398,11,24,40,4,8,14,0.04758280,0.09626109,0.16746377,0.63284660,0.84250370,1.08055530
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-12 00:00:00.000000,0.18518731,0.38396423,0.63910080,15,32,54,5,12,21,0.06893422,0.14068547,0.24967337,0.63284956,0.84248886,1.08055089
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-13 00:00:00.000000,0.22773563,0.47941368,0.82194595,19,40,70,8,15,29,0.09385917,0.18569223,0.34813949,0.63285935,0.84246667,1.08053967
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-14 00:00:00.000000,0.27681236,0.59866716,1.02484303,23,51,87,10,20,39,0.12261297,0.24359236,0.45791939,0.63289163,0.84244048,1.08051011
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-15 00:00:00.000000,0.33345126,0.73738690,1.25543464,28,62,107,13,26,49,0.15245844,0.31436931,0.57975101,0.63299789,0.84244942,1.08043031
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-16 00:00:00.000000,0.42746842,0.88693009,1.43443509,36,75,122,15,32,60,0.18463365,0.38263068,0.71493410,0.63334590,0.84244484,1.08021117
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-17 00:00:00.000000,0.53195999,1.04789057,1.74627478,45,89,148,19,40,71,0.23335316,0.47053574,0.83350961,0.63446791,0.84152347,1.07960283
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-18 00:00:00.000000,0.68079843,1.26917386,2.11334800,58,108,180,24,48,81,0.29054822,0.57006407,0.95388508,0.63791164,0.83727708,1.07790593
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-19 00:00:00.000000,0.80508277,1.49575835,2.54472136,68,127,217,30,59,95,0.35876411,0.69182365,1.11703444,0.64724536,0.83633552,1.07319235
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-20 00:00:00.000000,0.97274371,1.74036309,3.03671840,82,148,259,37,70,115,0.43968564,0.83026474,1.35259470,0.66002727,0.83606099,1.06040188
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-21 00:00:00.000000,1.17239434,2.07031289,3.58425684,100,176,305,45,83,139,0.53513950,0.97380530,1.63000460,0.65129195,0.83470715,1.06976148
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-22 00:00:00.000000,1.40496301,2.41904909,4.26317828,119,206,363,55,97,166,0.64693304,1.14217556,1.95282974,0.65520678,0.83415788,1.08542452
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-23 00:00:00.000000,1.65805242,2.82758654,5.02065096,141,241,428,66,113,198,0.77768009,1.33096539,2.32496300,0.65138390,0.82576446,1.09750817
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-24 00:00:00.000000,1.95140969,3.25534831,5.85134895,166,277,499,78,131,231,0.92266989,1.53801543,2.71511873,0.63974990,0.80585429,1.09898526
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-25 00:00:00.000000,2.24473238,3.78560740,6.69629926,191,322,571,91,154,272,1.06751751,1.81108845,3.19800606,0.62362450,0.79555983,1.09581159
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-26 00:00:00.000000,2.59125245,4.27907647,7.55138117,221,365,644,103,178,317,1.21134048,2.09561386,3.72352559,0.59642634,0.77153669,1.09692290
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-27 00:00:00.000000,3.03287361,4.80469487,8.39400057,258,409,716,121,205,363,1.42951974,2.40986162,4.25588062,0.56539912,0.73544690,1.05203000
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-28 00:00:00.000000,3.42364355,5.38759713,9.20872376,292,459,785,140,231,409,1.64544649,2.71925483,4.79940798,0.52391555,0.69447553,0.97115898
13273,0,USGeorgiaTerrell,Georgia,Terrell,2020-12-05 19:36:28.074985,2020-03-29 00:00:00.000000,3.82255359,5.95254435,9.98248156,326,507,851,157,263,455,1.85003851,3.08549239,5.34172882,0.49441167,0.64608018,0.95921067
