FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-09 00:00:00.000000,0.01293396,0.08716469,0.32158414,0,4,16,0,2,8,0.00762262,0.04662937,0.16552606,0.38815334,0.53310298,0.77093449
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-10 00:00:00.000000,0.01394280,0.09883213,0.34416371,0,5,18,0,2,8,0.00723345,0.04633863,0.16113843,0.38815334,0.53298322,0.77053522
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-11 00:00:00.000000,0.01494508,0.11068200,0.36638018,0,5,19,0,2,8,0.00706437,0.04769726,0.16184762,0.38815334,0.53282914,0.76984036
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-12 00:00:00.000000,0.01595586,0.12152814,0.38852424,0,6,20,0,2,8,0.00719088,0.05027374,0.16415980,0.38815334,0.53263934,0.76863511
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-13 00:00:00.000000,0.01698567,0.13153651,0.41092646,0,6,21,0,2,9,0.00748933,0.05329142,0.17142957,0.38815334,0.53225530,0.76655820
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-14 00:00:00.000000,0.01804085,0.14372156,0.43181862,0,7,22,0,2,9,0.00788996,0.05659081,0.17933525,0.38815330,0.53148450,0.76302170
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-15 00:00:00.000000,0.01912221,0.15882371,0.45710347,1,8,24,0,3,9,0.00835369,0.06170241,0.18954567,0.38585828,0.53116579,0.75712422
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-16 00:00:00.000000,0.04675774,0.19245420,0.51487281,2,10,27,0,3,10,0.00885821,0.06827242,0.20138420,0.38281619,0.52758466,0.74762912
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-17 00:00:00.000000,0.06927587,0.22955071,0.57402700,3,12,30,0,4,11,0.01525900,0.08052520,0.22627738,0.38246706,0.52325792,0.73318232
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-18 00:00:00.000000,0.09405276,0.28188065,0.63527729,4,14,33,1,5,13,0.02259994,0.09634069,0.25280318,0.38160840,0.50986570,0.71390052
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-19 00:00:00.000000,0.12024404,0.32960108,0.69595680,6,17,36,1,6,14,0.03199876,0.11579138,0.28044706,0.33491742,0.50020077,0.71320977
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-20 00:00:00.000000,0.14805022,0.37075647,0.75841757,7,19,39,2,7,16,0.04303774,0.13770404,0.30992978,0.31772744,0.47444440,0.71040604
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-21 00:00:00.000000,0.17538680,0.40722414,0.82629123,9,21,43,2,8,17,0.05547232,0.16191423,0.33986736,0.30952180,0.44666587,0.69499110
13301,0,USGeorgiaWarren,Georgia,Warren,2020-11-01 02:54:42.182462,2020-03-22 00:00:00.000000,0.19448178,0.44839977,0.91701115,10,23,48,3,9,19,0.06915937,0.18855784,0.37406452,0.28743182,0.42363339,0.66661064
