FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-09 00:00:00.000000,0.00480666,0.03821735,0.10618719,0,3,10,0,1,6,0.00252931,0.02042904,0.06539615,0.39269579,0.55338344,0.73374980
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-10 00:00:00.000000,0.00536848,0.04260246,0.11710392,0,4,11,0,2,6,0.00272596,0.02102162,0.06537708,0.39269281,0.55302083,0.73336162
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-11 00:00:00.000000,0.00596741,0.04770137,0.12689790,0,4,12,0,2,6,0.00301721,0.02210580,0.06705968,0.39268339,0.55269986,0.73285021
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-12 00:00:00.000000,0.00661523,0.05160023,0.13708621,0,5,13,0,2,6,0.00335929,0.02381589,0.06980083,0.39265338,0.55244370,0.73217273
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-13 00:00:00.000000,0.00732135,0.05601883,0.14769921,0,5,14,0,2,7,0.00357327,0.02567490,0.07325043,0.39255752,0.55180874,0.73127088
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-14 00:00:00.000000,0.00809425,0.06175838,0.15876987,0,6,15,0,2,7,0.00383653,0.02833306,0.07722052,0.39225192,0.55091583,0.73006542
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-15 00:00:00.000000,0.00894208,0.06794148,0.17030934,0,6,16,0,3,8,0.00413016,0.03129097,0.08282666,0.39128833,0.55077906,0.72844862
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-16 00:00:00.000000,0.02156284,0.08741833,0.19838713,2,8,19,0,3,8,0.00444424,0.03488742,0.09191151,0.38836023,0.55061733,0.72627179
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-17 00:00:00.000000,0.03313149,0.10706465,0.23182942,3,10,22,0,4,10,0.00779693,0.04189568,0.10616662,0.38038657,0.54723795,0.72331565
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-18 00:00:00.000000,0.04488496,0.13228442,0.26703211,4,12,26,1,4,12,0.01306575,0.05109231,0.12305810,0.36308127,0.52457820,0.71919391
13317,0,USGeorgiaWilkes,Georgia,Wilkes,2020-11-16 00:57:02.126957,2020-03-19 00:00:00.000000,0.05732811,0.15983702,0.31046790,5,15,30,1,5,13,0.01969432,0.06111254,0.14079034,0.34206215,0.51691182,0.70944072
