FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-09 00:00:00.000000,0.00569568,0.02307184,0.05908184,1,4,12,0,2,6,0.00339923,0.01209058,0.03026751,0.40737020,0.54298339,0.69414772
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-10 00:00:00.000000,0.00671849,0.02526251,0.06567550,1,5,14,0,2,7,0.00328480,0.01225159,0.03362416,0.40736797,0.54298338,0.69414446
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-11 00:00:00.000000,0.00719583,0.02752172,0.07260881,1,5,15,0,2,7,0.00337738,0.01300893,0.03691055,0.40736206,0.54298334,0.69413562
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-12 00:00:00.000000,0.00748882,0.02954245,0.08006376,1,6,17,0,2,8,0.00354213,0.01363546,0.04020237,0.40734637,0.54298316,0.69411169
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-13 00:00:00.000000,0.00780337,0.03178206,0.08817129,1,6,18,0,3,9,0.00360318,0.01434661,0.04355804,0.40730468,0.54298062,0.69402774
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-14 00:00:00.000000,0.00813609,0.03397130,0.09247976,1,7,19,0,3,10,0.00390673,0.01567500,0.04702401,0.40719403,0.54110503,0.69374825
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-15 00:00:00.000000,0.00858334,0.03652727,0.09854931,1,7,21,0,3,10,0.00427424,0.01640464,0.05061874,0.40690096,0.53496832,0.69306595
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-16 00:00:00.000000,0.01693660,0.04936309,0.11689700,3,10,24,0,3,11,0.00467401,0.01723612,0.05433671,0.37552174,0.52223839,0.68924433
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-17 00:00:00.000000,0.02213277,0.05890063,0.13615860,4,12,29,1,4,12,0.00658750,0.02021827,0.05887956,0.37502639,0.51592680,0.68805234
17051,0,USIllinoisFayette,Illinois,Fayette,2020-10-17 01:26:31.119992,2020-03-18 00:00:00.000000,0.02774784,0.06921978,0.15687806,5,14,33,2,5,13,0.00950371,0.02377865,0.06406655,0.35005936,0.50202490,0.67907937
