FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-09 00:00:00.000000,0.00163323,0.00715704,0.02284504,0,2,8,0,1,5,0.00093221,0.00418726,0.01422329,0.36254025,0.49138067,0.66868252
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-10 00:00:00.000000,0.00184918,0.00802564,0.02445757,0,3,9,0,1,5,0.00093992,0.00417922,0.01454097,0.36253917,0.49109501,0.66868053
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-11 00:00:00.000000,0.00207144,0.00885790,0.02655742,0,3,10,0,1,5,0.00101175,0.00441469,0.01522071,0.36253627,0.49061248,0.66867479
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-12 00:00:00.000000,0.00230849,0.00948440,0.02891921,0,3,11,0,1,6,0.00112032,0.00466933,0.01611819,0.36252819,0.49056134,0.66865775
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-13 00:00:00.000000,0.00255146,0.01018772,0.03165804,0,3,12,0,1,6,0.00125270,0.00500793,0.01716151,0.36250508,0.49051916,0.66860609
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-14 00:00:00.000000,0.00272578,0.01097067,0.03537958,1,4,13,0,2,7,0.00140329,0.00539699,0.01841290,0.36243720,0.49043237,0.66844752
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-15 00:00:00.000000,0.00290713,0.01179977,0.03952276,1,4,15,0,2,7,0.00157034,0.00598413,0.02023803,0.36223472,0.48910320,0.66795775
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-16 00:00:00.000000,0.00632281,0.01639061,0.04583104,2,6,17,0,2,8,0.00172109,0.00660645,0.02203405,0.36163353,0.48303055,0.66645024
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-17 00:00:00.000000,0.00937267,0.01985282,0.05373324,3,7,20,1,3,9,0.00262712,0.00823321,0.02570721,0.32173949,0.46521296,0.65407692
17055,0,USIllinoisFranklin,Illinois,Franklin,2020-10-17 01:29:14.684243,2020-03-18 00:00:00.000000,0.01221517,0.02401986,0.06247262,4,9,24,1,3,11,0.00397630,0.01025093,0.03052369,0.29417486,0.45287197,0.63699457
