FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-09 00:00:00.000000,0.00114750,0.00836328,0.02538833,0,4,12,0,2,7,0.00060978,0.00477874,0.01475248,0.41448067,0.56622538,0.75125861
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-10 00:00:00.000000,0.00124541,0.00971547,0.02793800,0,4,14,0,2,7,0.00059795,0.00472133,0.01460212,0.41447979,0.56622505,0.75125713
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-11 00:00:00.000000,0.00134577,0.01121573,0.03006437,0,5,15,0,2,7,0.00060637,0.00497931,0.01520352,0.41447670,0.56622421,0.75124980
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-12 00:00:00.000000,0.00145069,0.01255695,0.03337743,0,6,17,0,2,8,0.00062846,0.00547222,0.01625810,0.41446576,0.56622199,0.75121335
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-13 00:00:00.000000,0.00156163,0.01393415,0.03692213,0,7,18,0,3,8,0.00066051,0.00619607,0.01761866,0.41442693,0.56621615,0.75103218
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-14 00:00:00.000000,0.00167959,0.01544226,0.04075975,0,7,20,0,3,9,0.00070040,0.00700221,0.01932675,0.41428904,0.56620080,0.75013585
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-15 00:00:00.000000,0.00180501,0.01714543,0.04494030,0,8,22,0,3,10,0.00074657,0.00782249,0.02133417,0.41380009,0.56616051,0.74580385
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-16 00:00:00.000000,0.00519726,0.02178508,0.05755278,2,11,29,0,4,12,0.00079819,0.00867711,0.02361677,0.41207957,0.56573813,0.72702599
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-17 00:00:00.000000,0.00672226,0.02709934,0.06634684,3,13,33,0,5,13,0.00159640,0.00993448,0.02642487,0.40182089,0.56378393,0.71223546
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-18 00:00:00.000000,0.00793909,0.03238549,0.07463444,4,16,38,1,5,15,0.00251416,0.01158340,0.02968473,0.38543787,0.55939541,0.71335683
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-19 00:00:00.000000,0.00922654,0.03948694,0.08346254,4,20,42,1,7,17,0.00355711,0.01499398,0.03337652,0.34265367,0.54650469,0.73698161
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-20 00:00:00.000000,0.01075302,0.04583243,0.09209254,5,23,47,2,9,19,0.00455055,0.01892569,0.03751957,0.29711457,0.52952548,0.72221745
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-21 00:00:00.000000,0.01243799,0.05367600,0.09956931,6,27,50,2,11,22,0.00538760,0.02192881,0.04348596,0.26877208,0.50368479,0.70136327
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-22 00:00:00.000000,0.01425499,0.05922620,0.10947260,7,30,55,3,13,25,0.00631146,0.02554520,0.04978312,0.25532993,0.47540826,0.70396894
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-23 00:00:00.000000,0.01686050,0.06675857,0.12692889,8,34,64,3,14,28,0.00732141,0.02926789,0.05640214,0.24975796,0.46602555,0.71502422
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-24 00:00:00.000000,0.02029802,0.07482738,0.14519610,10,38,74,4,16,32,0.00855621,0.03309496,0.06455830,0.24756962,0.45356382,0.70346527
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-25 00:00:00.000000,0.02391546,0.08240802,0.15909000,12,42,81,5,19,36,0.00996821,0.03761632,0.07217922,0.24670330,0.43862683,0.67991331
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-26 00:00:00.000000,0.02773992,0.08954072,0.17117243,14,45,87,5,21,39,0.01151594,0.04211522,0.07825811,0.24626805,0.42200592,0.64061243
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-27 00:00:00.000000,0.03179735,0.09630315,0.18923825,16,49,96,6,23,43,0.01312529,0.04588691,0.08610279,0.24571778,0.41135065,0.58328582
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-28 00:00:00.000000,0.03612131,0.10530397,0.20908376,18,53,106,7,25,49,0.01472666,0.05004298,0.09681595,0.24069635,0.39819693,0.56899149
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-29 00:00:00.000000,0.04075332,0.11437496,0.22967670,20,58,117,8,28,55,0.01668093,0.05491158,0.10801839,0.23590724,0.39456317,0.55404474
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-30 00:00:00.000000,0.04808052,0.12353883,0.24016907,24,63,122,9,30,61,0.01907113,0.05962948,0.11969574,0.22861741,0.38875227,0.55481777
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-03-31 00:00:00.000000,0.05590352,0.13365316,0.25143845,28,68,128,11,33,66,0.02204251,0.06543662,0.12941449,0.22305858,0.38289905,0.57060243
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-01 00:00:00.000000,0.06477657,0.14374610,0.26272613,33,73,134,13,36,70,0.02550830,0.07098463,0.13801324,0.22018318,0.37680346,0.57202719
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-02 00:00:00.000000,0.07790251,0.15420425,0.27855346,39,78,142,15,39,74,0.02949033,0.07681801,0.14678210,0.21842512,0.35835299,0.56575146
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-03 00:00:00.000000,0.09206974,0.16368917,0.29902876,47,83,152,17,42,81,0.03391159,0.08358059,0.15988503,0.21656522,0.34779184,0.54428456
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-04 00:00:00.000000,0.10211904,0.17486441,0.31166399,52,89,159,20,45,88,0.04013588,0.08862799,0.17366126,0.21334812,0.33688065,0.51377633
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-05 00:00:00.000000,0.11004567,0.18647095,0.33330245,56,95,170,24,48,92,0.04777040,0.09461850,0.18193790,0.21131524,0.32692284,0.46875596
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-06 00:00:00.000000,0.12424941,0.19605763,0.34901391,63,100,178,28,50,95,0.05570804,0.09911275,0.18782356,0.21082626,0.31789310,0.45063251
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-07 00:00:00.000000,0.13101308,0.20763955,0.37653426,66,106,192,31,53,98,0.06134031,0.10565862,0.19387710,0.20563519,0.31463015,0.43636214
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-08 00:00:00.000000,0.13724721,0.21659675,0.39968053,70,110,204,33,56,103,0.06547677,0.11123068,0.20308993,0.20159368,0.30786589,0.42194066
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-09 00:00:00.000000,0.14390289,0.22480998,0.41324972,73,114,210,35,60,110,0.06935183,0.11839800,0.21667090,0.20280122,0.30092277,0.41468775
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-10 00:00:00.000000,0.14859124,0.23510302,0.42395539,75,120,216,38,63,113,0.07468854,0.12499625,0.22268184,0.20196943,0.28631220,0.41460574
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-11 00:00:00.000000,0.15192748,0.24314979,0.43443339,77,124,221,39,66,118,0.07803693,0.13055635,0.23247923,0.19687639,0.27826928,0.41061730
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-12 00:00:00.000000,0.15652909,0.25117717,0.45045513,79,128,229,40,68,125,0.08029362,0.13462967,0.24566588,0.19343549,0.27849841,0.40368857
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-13 00:00:00.000000,0.16026219,0.25985438,0.46455910,81,132,237,42,71,132,0.08278195,0.14042971,0.25856155,0.18957487,0.27624633,0.40006967
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-14 00:00:00.000000,0.16548594,0.27366498,0.49151125,84,139,250,43,75,138,0.08498032,0.14746492,0.27170030,0.18896051,0.26989739,0.38846334
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-15 00:00:00.000000,0.17078588,0.28886152,0.52162525,87,147,266,44,78,145,0.08745400,0.15288972,0.28514340,0.19639796,0.26252019,0.40192295
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-16 00:00:00.000000,0.17582527,0.29876906,0.54929794,89,152,280,46,80,151,0.09010690,0.15781664,0.29622806,0.19638487,0.25968533,0.40138911
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-17 00:00:00.000000,0.17953694,0.31198380,0.56955522,91,159,290,47,83,154,0.09286902,0.16270432,0.30165537,0.19633362,0.26017238,0.37627667
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-18 00:00:00.000000,0.18324317,0.32288439,0.58584186,93,164,299,48,87,158,0.09568008,0.17041405,0.31090403,0.18858753,0.25493714,0.37983043
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-19 00:00:00.000000,0.18690035,0.33059458,0.59877954,95,168,305,50,90,163,0.09819251,0.17659770,0.31984165,0.18438873,0.25328320,0.38201229
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-20 00:00:00.000000,0.19057220,0.34281405,0.60495641,97,175,308,51,93,170,0.10032349,0.18246471,0.33415352,0.18212012,0.25234149,0.38315903
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-21 00:00:00.000000,0.19293211,0.36008061,0.61109828,98,183,311,52,95,177,0.10269975,0.18750510,0.34825331,0.18096824,0.24964770,0.38369642
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-22 00:00:00.000000,0.19350900,0.37921447,0.61714224,98,193,315,53,100,184,0.10441131,0.19676067,0.36183579,0.18043952,0.25115494,0.38382229
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-23 00:00:00.000000,0.19417226,0.39327370,0.62312503,99,200,318,53,106,188,0.10534118,0.20772750,0.36936966,0.17204356,0.24962218,0.38280028
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-24 00:00:00.000000,0.19764986,0.40823282,0.64248077,100,208,328,55,110,191,0.10801914,0.21659050,0.37594054,0.16282561,0.24820961,0.37335197
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-25 00:00:00.000000,0.20182021,0.42322625,0.65159662,103,216,332,58,115,195,0.11360857,0.22547411,0.38196549,0.15834703,0.24788503,0.36446787
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-26 00:00:00.000000,0.20578693,0.43671395,0.66013883,105,222,337,58,118,195,0.11534668,0.23172124,0.38358292,0.15941680,0.24810005,0.36497758
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-27 00:00:00.000000,0.20989160,0.45068138,0.67366788,107,230,343,59,122,196,0.11636238,0.23927489,0.38408086,0.16614639,0.24772073,0.36490359
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-28 00:00:00.000000,0.21390494,0.46018920,0.69354822,109,234,354,60,128,196,0.11795799,0.25134536,0.38428875,0.18330223,0.24698097,0.36396146
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-29 00:00:00.000000,0.21790692,0.47462437,0.71844805,111,242,366,60,134,200,0.11943575,0.26311091,0.39365426,0.18679742,0.24576550,0.35812308
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-04-30 00:00:00.000000,0.22209471,0.48510633,0.73314318,113,247,374,61,136,205,0.12033590,0.26825181,0.40242736,0.18448483,0.24866428,0.35597933
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-05-01 00:00:00.000000,0.22665066,0.49289105,0.75708376,115,251,386,61,140,208,0.12122297,0.27543494,0.40926931,0.18319474,0.24474038,0.34921149
17063,0,USIllinoisGrundy,Illinois,Grundy,2020-12-05 18:03:44.043583,2020-05-02 00:00:00.000000,0.23178780,0.50629581,0.77028739,118,258,393,62,145,213,0.12219134,0.28510134,0.41822609,0.17951305,0.24693261,0.34466799
