FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-09 00:00:00.000000,0.00126796,0.01089525,0.02555632,0,5,12,0,2,6,0.00070472,0.00524740,0.01313919,0.43311855,0.59144507,0.78918484
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-10 00:00:00.000000,0.00142240,0.01248901,0.02808140,0,6,13,0,2,6,0.00070305,0.00559543,0.01368589,0.43311784,0.59144450,0.78917075
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-11 00:00:00.000000,0.00155597,0.01370752,0.03120234,0,6,15,0,3,7,0.00070981,0.00604105,0.01417751,0.43311632,0.59144399,0.78914754
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-12 00:00:00.000000,0.00169721,0.01482239,0.03419651,0,7,16,0,3,7,0.00073621,0.00657608,0.01534711,0.43311315,0.59144427,0.78910865
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-13 00:00:00.000000,0.00184917,0.01609840,0.03732046,0,8,18,0,3,8,0.00078850,0.00728617,0.01674410,0.43310651,0.59144486,0.78904097
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-14 00:00:00.000000,0.00201359,0.01765679,0.04094632,1,8,20,0,4,9,0.00084969,0.00807370,0.01828042,0.43309278,0.59143931,0.78891419
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-15 00:00:00.000000,0.00219203,0.01935008,0.04545119,1,9,22,0,4,9,0.00091908,0.00891118,0.02001187,0.43306516,0.59017703,0.78637944
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-16 00:00:00.000000,0.00485455,0.02519090,0.05672331,2,12,28,0,4,10,0.00099641,0.00996615,0.02212471,0.43301192,0.58727614,0.77865179
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-17 00:00:00.000000,0.00762090,0.03121729,0.06784414,3,15,33,0,5,12,0.00168734,0.01190540,0.02513483,0.42642785,0.58948811,0.77855843
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-18 00:00:00.000000,0.00976421,0.03549256,0.08013238,4,17,39,1,6,15,0.00272799,0.01402407,0.03027029,0.41516049,0.58795282,0.77829216
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-19 00:00:00.000000,0.01193179,0.04150136,0.09191913,5,20,45,1,8,18,0.00376908,0.01611344,0.03698664,0.41328897,0.57729883,0.76830196
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-20 00:00:00.000000,0.01475778,0.04874710,0.10402010,7,24,51,2,9,22,0.00498022,0.01929563,0.04436594,0.41293931,0.55525032,0.74686001
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-21 00:00:00.000000,0.01791264,0.05693753,0.11634737,8,28,57,3,11,25,0.00635560,0.02281692,0.05059872,0.40874675,0.53924191,0.72847212
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-22 00:00:00.000000,0.02144706,0.06293739,0.12893421,10,31,64,3,13,28,0.00790945,0.02660539,0.05723417,0.38260614,0.51406545,0.71165067
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-23 00:00:00.000000,0.02576243,0.07146661,0.14295898,12,35,71,4,15,31,0.00965819,0.03087851,0.06418270,0.36004638,0.48946896,0.70250388
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-24 00:00:00.000000,0.03035324,0.08230768,0.15749153,15,40,78,5,16,35,0.01169589,0.03417214,0.07163015,0.33460069,0.48181958,0.69267971
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-25 00:00:00.000000,0.03500241,0.09447850,0.17234335,17,46,85,6,19,39,0.01401966,0.03896588,0.07951482,0.33047041,0.47683802,0.69121343
17095,0,USIllinoisKnox,Illinois,Knox,2020-11-09 12:40:47.025135,2020-03-26 00:00:00.000000,0.04114716,0.10402261,0.18716109,20,51,93,8,21,43,0.01659056,0.04336969,0.08775031,0.33184951,0.47397075,0.67524094
