FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-09 00:00:00.000000,0.00952229,0.03634974,0.14146333,1,4,17,0,2,9,0.00481809,0.02059320,0.07676676,0.38969917,0.53954525,0.70071628
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-10 00:00:00.000000,0.01082485,0.03984674,0.14809998,1,4,18,0,2,8,0.00492690,0.01952149,0.07202578,0.38969689,0.53954525,0.70071623
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-11 00:00:00.000000,0.01211188,0.04310091,0.15114942,1,5,18,0,2,8,0.00522287,0.01977065,0.07028061,0.38969131,0.53954522,0.70071611
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-12 00:00:00.000000,0.01340444,0.04631769,0.15879948,1,5,19,0,2,8,0.00564082,0.02043498,0.07063349,0.38967721,0.53954511,0.70071585
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-13 00:00:00.000000,0.01471834,0.04981244,0.17038784,1,6,20,0,2,8,0.00614122,0.02197532,0.07247517,0.38964064,0.53954455,0.70071525
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-14 00:00:00.000000,0.01606507,0.05362248,0.17871907,1,6,21,0,2,9,0.00670057,0.02393706,0.07539443,0.38954363,0.53954160,0.70071385
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-15 00:00:00.000000,0.01745156,0.05773431,0.18749061,2,7,22,0,3,9,0.00730527,0.02597066,0.07911608,0.38928191,0.53763969,0.70071065
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-16 00:00:00.000000,0.03039689,0.07359808,0.20647065,3,8,25,0,3,10,0.00794743,0.02810536,0.08421303,0.38423282,0.53545855,0.70070325
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-17 00:00:00.000000,0.03829320,0.09123798,0.22594199,4,11,27,1,4,11,0.01058567,0.03284589,0.09427923,0.37217604,0.52295461,0.70068615
17129,0,USIllinoisMenard,Illinois,Menard,2020-11-09 12:23:05.159739,2020-03-18 00:00:00.000000,0.04989063,0.10921839,0.25240665,6,13,30,1,4,12,0.01462079,0.03905740,0.10622841,0.36142951,0.50802703,0.70064654
