FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-09 00:00:00.000000,0.00095195,0.00259973,0.00539619,1,5,10,0,1,4,0.00018410,0.00090385,0.00254184,0.48521734,0.66144547,0.86309892
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-10 00:00:00.000000,0.00141860,0.00345307,0.00708715,2,6,13,0,2,5,0.00036480,0.00117884,0.00263117,0.48521736,0.66162910,0.86309524
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-11 00:00:00.000000,0.00182625,0.00439402,0.00977839,3,8,19,1,2,6,0.00051726,0.00151731,0.00321920,0.48521741,0.66192060,0.86308501
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-12 00:00:00.000000,0.00225466,0.00563512,0.01282824,4,10,24,1,3,8,0.00070846,0.00200411,0.00427341,0.48521756,0.66238048,0.86305653
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-13 00:00:00.000000,0.00278150,0.00704562,0.01629882,5,13,31,1,5,10,0.00093262,0.00268459,0.00559456,0.48521800,0.66309933,0.86297702
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-14 00:00:00.000000,0.00336660,0.00853410,0.01975561,6,16,38,2,6,13,0.00118687,0.00331040,0.00717343,0.48521939,0.66420752,0.86275511
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-15 00:00:00.000000,0.00401758,0.01014499,0.02338787,7,19,45,2,8,17,0.00147006,0.00419229,0.00881882,0.48522383,0.66587973,0.86213876
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-16 00:00:00.000000,0.00530625,0.01201226,0.02760936,10,23,53,3,9,20,0.00176517,0.00500985,0.01048772,0.48523842,0.66469052,0.86045598
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-17 00:00:00.000000,0.00666826,0.01437685,0.03228400,12,27,62,4,11,23,0.00229051,0.00610927,0.01227911,0.48528720,0.65496818,0.85608162
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-18 00:00:00.000000,0.00815783,0.01701346,0.03747170,15,33,72,5,13,28,0.00296791,0.00717256,0.01450504,0.48545243,0.64420836,0.84604660
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-19 00:00:00.000000,0.01004713,0.01988391,0.04321111,19,38,84,7,16,33,0.00375042,0.00836842,0.01699079,0.48678504,0.64208525,0.84125324
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-20 00:00:00.000000,0.01204946,0.02235353,0.04818125,23,43,93,9,18,38,0.00462588,0.00973726,0.01996118,0.49017831,0.63627565,0.83661428
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-21 00:00:00.000000,0.01373340,0.02519333,0.05297545,26,49,103,10,21,45,0.00546582,0.01127679,0.02353058,0.49385394,0.62690877,0.83474449
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-22 00:00:00.000000,0.01560735,0.02828661,0.05811171,30,55,113,12,25,53,0.00635267,0.01292410,0.02747941,0.49429796,0.61779685,0.83309272
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-23 00:00:00.000000,0.01812648,0.03239290,0.06398976,35,63,124,14,28,61,0.00763162,0.01463883,0.03149137,0.48781579,0.60884938,0.81471670
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-24 00:00:00.000000,0.02076577,0.03663139,0.07032188,40,71,136,17,32,67,0.00894647,0.01686514,0.03471935,0.49243844,0.60404537,0.81798272
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-25 00:00:00.000000,0.02369638,0.04074164,0.07716330,46,79,150,19,36,74,0.01015717,0.01898965,0.03840371,0.47343110,0.60275937,0.82155406
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-26 00:00:00.000000,0.02694939,0.04523181,0.08454740,52,88,164,22,41,83,0.01179131,0.02146115,0.04312103,0.47291640,0.59905948,0.82330707
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-27 00:00:00.000000,0.02967022,0.05067290,0.09673725,57,98,188,25,47,93,0.01295347,0.02422664,0.04803497,0.47196974,0.58765825,0.82625492
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-28 00:00:00.000000,0.03226771,0.05706611,0.11186501,62,111,217,27,52,103,0.01420275,0.02689418,0.05318309,0.44453020,0.58757717,0.82565006
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-29 00:00:00.000000,0.03554730,0.06389754,0.12715381,69,124,247,30,58,114,0.01555349,0.03012282,0.05863796,0.43018420,0.58811443,0.82971289
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-30 00:00:00.000000,0.03851705,0.07217611,0.13753941,74,140,267,34,65,127,0.01751575,0.03366326,0.06524568,0.41616815,0.58337741,0.83468863
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-03-31 00:00:00.000000,0.04192100,0.08038442,0.14834316,81,156,288,38,73,138,0.01979434,0.03754965,0.07114752,0.38745227,0.57866528,0.83254927
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-04-01 00:00:00.000000,0.04579825,0.09185267,0.15960953,89,178,310,43,80,150,0.02227977,0.04153471,0.07736299,0.37160912,0.57491213,0.82629573
17167,0,USIllinoisSangamon,Illinois,Sangamon,2020-11-16 01:45:40.077571,2020-04-02 00:00:00.000000,0.05025378,0.10240735,0.17125568,97,199,333,47,92,161,0.02432057,0.04761811,0.08307166,0.36790997,0.57705794,0.84918271
