FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-09 00:00:00.000000,0.00654043,0.03939946,0.15618894,0,2,8,0,1,4,0.00361549,0.01930625,0.09145924,0.37650335,0.51502488,0.74033969
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-10 00:00:00.000000,0.00709180,0.04374019,0.17047533,0,2,9,0,1,5,0.00377706,0.01988281,0.09371145,0.37649459,0.51502437,0.74033795
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-11 00:00:00.000000,0.00766319,0.04842784,0.18502685,0,2,9,0,1,5,0.00394683,0.02154260,0.09872219,0.37647096,0.51502255,0.74033415
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-12 00:00:00.000000,0.00826714,0.05364421,0.20048331,0,2,10,0,1,5,0.00419263,0.02351824,0.10556184,0.37640711,0.51501566,0.74032573
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-13 00:00:00.000000,0.00919006,0.05937674,0.21703052,0,3,11,0,1,6,0.00448658,0.02615203,0.11372531,0.37623486,0.51498836,0.74030697
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-14 00:00:00.000000,0.01019781,0.06567557,0.23482420,0,3,12,0,1,6,0.00481666,0.02850902,0.12295234,0.37577436,0.51487763,0.74026494
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-15 00:00:00.000000,0.01130128,0.07164344,0.25400555,0,3,13,0,1,6,0.00532460,0.03169116,0.13055802,0.37457441,0.51442442,0.74017042
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-16 00:00:00.000000,0.01216390,0.07450778,0.27122309,0,3,14,0,1,7,0.00557940,0.03471737,0.13397048,0.37164978,0.51388323,0.73995733
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-17 00:00:00.000000,0.01274639,0.07697577,0.28327230,0,4,15,0,2,7,0.00595778,0.03751128,0.13781711,0.36554898,0.49491853,0.73947671
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-18 00:00:00.000000,0.01335524,0.08070746,0.29844912,0,4,15,0,2,7,0.00638697,0.04069210,0.14199769,0.35102360,0.48379902,0.73839466
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-19 00:00:00.000000,0.01400600,0.08511002,0.31033783,0,4,16,0,2,8,0.00684108,0.04429544,0.15189009,0.33286643,0.46085362,0.73597428
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-20 00:00:00.000000,0.01476002,0.09247733,0.32040565,0,4,17,0,2,8,0.00731942,0.04820920,0.16348964,0.30518611,0.44113405,0.73064318
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-21 00:00:00.000000,0.01572207,0.10018661,0.32966171,0,5,17,0,2,9,0.00782089,0.05108933,0.17519172,0.27067939,0.42584960,0.71927337
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-22 00:00:00.000000,0.01686331,0.10598738,0.33871485,0,5,18,0,2,9,0.00834427,0.05406305,0.18656858,0.25046390,0.40725580,0.69529510
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-23 00:00:00.000000,0.03042512,0.12328364,0.36302747,1,6,19,0,3,10,0.00888786,0.05682924,0.19731905,0.24225144,0.39155871,0.65781217
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-24 00:00:00.000000,0.03830891,0.14724976,0.39924120,2,7,21,0,3,11,0.01130929,0.06320173,0.21269454,0.24076905,0.38093444,0.59808195
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-25 00:00:00.000000,0.04683109,0.16961908,0.44910853,2,9,23,0,3,12,0.01706968,0.07120508,0.23038716,0.22832084,0.36164560,0.59671554
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-26 00:00:00.000000,0.05586758,0.19739597,0.49850449,2,10,26,1,4,13,0.02270634,0.08212146,0.24911727,0.22655858,0.35557878,0.56743896
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-27 00:00:00.000000,0.06475152,0.23488225,0.54632799,3,12,29,1,5,14,0.02749929,0.09839734,0.26803051,0.20934315,0.34085950,0.56406228
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-28 00:00:00.000000,0.07328643,0.26885117,0.59317849,3,14,31,1,6,15,0.03258198,0.11609222,0.28646782,0.19213923,0.32906563,0.48512061
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-29 00:00:00.000000,0.08199149,0.29741416,0.63922233,4,15,34,2,7,16,0.03774716,0.13700428,0.30396989,0.18040874,0.30918508,0.46560963
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-30 00:00:00.000000,0.10030281,0.32816856,0.66549075,5,17,35,2,8,17,0.04299275,0.15432895,0.32009428,0.17195203,0.30030772,0.45902577
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-03-31 00:00:00.000000,0.12013820,0.36306291,0.69125333,6,19,36,2,9,18,0.05064923,0.17459472,0.33707217,0.16550361,0.29054092,0.44133951
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-04-01 00:00:00.000000,0.14105561,0.38837765,0.71592516,7,20,38,3,10,18,0.05988376,0.19201440,0.35441156,0.16291120,0.27702385,0.42400695
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-04-02 00:00:00.000000,0.16193425,0.40388357,0.74760886,8,21,39,3,10,19,0.07016693,0.20513052,0.37435491,0.14864339,0.25991081,0.42128341
17175,0,USIllinoisStark,Illinois,Stark,2020-11-16 00:15:34.668183,2020-04-03 00:00:00.000000,0.18267981,0.41912914,0.79417193,9,22,42,4,11,21,0.08112020,0.21571222,0.40069763,0.13671185,0.25420445,0.41176166
