FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-09 00:00:00.000000,0.00945425,0.03671422,0.10043905,1,5,13,0,2,6,0.00263497,0.01630353,0.04618061,0.36988103,0.51902180,0.70822853
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-10 00:00:00.000000,0.01348807,0.04711828,0.11389344,1,6,15,0,2,6,0.00417199,0.01723014,0.04668575,0.36901247,0.51901992,0.70822488
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-11 00:00:00.000000,0.01839165,0.05952205,0.13968574,2,8,19,0,2,7,0.00591789,0.01968183,0.05046783,0.36755727,0.51901621,0.70821535
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-12 00:00:00.000000,0.02459334,0.07015753,0.15182660,3,9,21,1,3,7,0.00737720,0.02331228,0.05685350,0.36580613,0.51900856,0.70819041
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-13 00:00:00.000000,0.03148414,0.08097210,0.16474368,4,11,22,1,3,9,0.01037702,0.02749658,0.06588605,0.36485992,0.51899178,0.70812528
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-14 00:00:00.000000,0.03913505,0.09547231,0.18272819,5,13,25,1,4,10,0.01387760,0.03216947,0.07667241,0.36335322,0.51610074,0.70723376
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-15 00:00:00.000000,0.04755821,0.10803368,0.21386641,6,15,29,2,5,11,0.01782190,0.03706020,0.08357761,0.36099852,0.51572603,0.69677722
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-16 00:00:00.000000,0.04992484,0.11514007,0.22294804,6,15,30,2,5,12,0.02148382,0.04301342,0.09124829,0.35742181,0.51269974,0.69662807
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-17 00:00:00.000000,0.05012923,0.12375687,0.23112662,6,17,32,3,6,14,0.02373446,0.04890467,0.10345609,0.34872121,0.51080073,0.69624571
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-18 00:00:00.000000,0.05004080,0.13107688,0.24742529,6,18,34,3,7,15,0.02465249,0.05319703,0.11384900,0.32374987,0.49656616,0.68124239
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-19 00:00:00.000000,0.05143547,0.14140865,0.27422607,7,19,38,3,8,16,0.02575226,0.05775174,0.12039041,0.29853271,0.48828324,0.68052292
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-20 00:00:00.000000,0.05394335,0.15029974,0.30401547,7,20,42,3,8,17,0.02759347,0.06273573,0.12703331,0.26341450,0.46911083,0.67647328
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-21 00:00:00.000000,0.05644774,0.15751450,0.32360407,7,21,44,4,9,19,0.02931412,0.06621196,0.14085368,0.24960636,0.45350245,0.65244806
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-22 00:00:00.000000,0.05898591,0.16238604,0.32302772,8,22,44,4,9,20,0.03095768,0.06939210,0.14924660,0.23956433,0.43622321,0.63916271
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-23 00:00:00.000000,0.07137597,0.17879343,0.32649534,9,24,45,4,10,21,0.03255982,0.07270891,0.15704500,0.23397079,0.40940570,0.61771947
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-24 00:00:00.000000,0.09432593,0.19539866,0.33713182,13,27,46,4,10,22,0.03594204,0.07781263,0.16554768,0.23057141,0.38978925,0.59326397
17189,0,USIllinoisWashington,Illinois,Washington,2020-10-17 01:04:36.809600,2020-03-25 00:00:00.000000,0.11243153,0.21396901,0.35710913,15,29,49,5,11,24,0.04052748,0.08483745,0.17402592,0.23044913,0.37628653,0.53689473
