FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-09 00:00:00.000000,0.00305437,0.01336747,0.04191619,1,6,20,0,3,9,0.00156235,0.00630639,0.01854211,0.62027207,0.79378760,1.08978986
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-10 00:00:00.000000,0.00354152,0.01543207,0.04797409,1,7,23,0,3,9,0.00171039,0.00748392,0.01985140,0.62027230,0.79370591,1.08978752
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-11 00:00:00.000000,0.00426387,0.01768084,0.05494730,2,8,27,0,4,11,0.00199450,0.00869710,0.02280288,0.62027276,0.79351246,1.08978034
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-12 00:00:00.000000,0.00502461,0.02035530,0.06258105,2,10,30,1,4,12,0.00229617,0.00980774,0.02602860,0.62027369,0.79305937,1.08975837
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-13 00:00:00.000000,0.00586696,0.02382772,0.07028741,2,11,34,1,5,14,0.00276642,0.01096754,0.02950612,0.62027557,0.79301545,1.08969131
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-14 00:00:00.000000,0.00669319,0.02802340,0.07882810,3,13,38,1,6,16,0.00319396,0.01305678,0.03329906,0.62027934,0.79302674,1.08948726
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-15 00:00:00.000000,0.00751053,0.03235333,0.08831751,3,16,43,1,7,19,0.00368594,0.01505630,0.03873263,0.62028694,0.79305873,1.08887062
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-16 00:00:00.000000,0.01579621,0.04180819,0.10998920,7,20,54,2,8,22,0.00425238,0.01741328,0.04551730,0.62030225,0.79477583,1.08703689
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-17 00:00:00.000000,0.02092998,0.05349747,0.12415512,10,26,61,3,10,28,0.00801308,0.02216041,0.05666380,0.62033387,0.80069136,1.08179828
18029,0,USIndianaDearborn,Indiana,Dearborn,2020-11-26 18:10:09.892917,2020-03-18 00:00:00.000000,0.02711382,0.06460502,0.13982990,13,31,69,6,13,31,0.01238476,0.02809265,0.06382414,0.62040839,0.80919882,1.06744171
