FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-09 00:00:00.000000,0.00658780,0.02278653,0.07536748,1,4,15,0,2,8,0.00336665,0.01202030,0.04047671,0.40378099,0.59594108,0.87555013
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-10 00:00:00.000000,0.00720581,0.02548917,0.08357184,1,5,16,0,2,8,0.00329387,0.01185567,0.04115153,0.40378073,0.59601340,0.87555007
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-11 00:00:00.000000,0.00821528,0.02915018,0.08982209,1,5,17,0,2,8,0.00338495,0.01253835,0.04310900,0.40378031,0.59611445,0.87554993
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-12 00:00:00.000000,0.00925907,0.03184329,0.09315907,1,6,18,0,2,8,0.00362954,0.01343241,0.04438908,0.40378000,0.59625418,0.87554951
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-13 00:00:00.000000,0.01038104,0.03493728,0.09658304,2,6,19,0,3,9,0.00405637,0.01531920,0.04587377,0.40378176,0.58997721,0.87554834
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-14 00:00:00.000000,0.01134078,0.03808146,0.10006890,2,7,19,0,3,9,0.00434532,0.01700470,0.04743859,0.40379635,0.58995841,0.87554498
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-15 00:00:00.000000,0.01232473,0.04160867,0.10367322,2,8,20,0,3,9,0.00465364,0.01822741,0.04910329,0.40387643,0.58991049,0.87553526
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-16 00:00:00.000000,0.01938538,0.05322489,0.11323736,3,10,22,0,3,10,0.00497851,0.01977593,0.05085081,0.40426725,0.58978390,0.87550693
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-17 00:00:00.000000,0.02840734,0.06436733,0.14165641,5,12,28,1,4,10,0.00719703,0.02311160,0.05392931,0.40603415,0.58809497,0.87542426
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-18 00:00:00.000000,0.03490062,0.07656111,0.18465043,6,15,36,2,5,11,0.01055341,0.02772357,0.05784340,0.40383799,0.57957005,0.87494703
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-19 00:00:00.000000,0.04136258,0.08904279,0.21278475,8,17,42,2,6,15,0.01464086,0.03350663,0.07601880,0.38649651,0.56519241,0.87374382
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-20 00:00:00.000000,0.04819596,0.10158301,0.23630164,9,20,47,3,7,19,0.01703145,0.03993890,0.09787090,0.37948231,0.55345246,0.84405556
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-21 00:00:00.000000,0.05708401,0.11665688,0.25972948,11,23,51,3,9,22,0.01951794,0.04607123,0.11056761,0.36683363,0.54119433,0.78095658
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-22 00:00:00.000000,0.06709619,0.13102924,0.28887241,13,26,57,4,10,24,0.02221065,0.05249799,0.12293972,0.35296651,0.52547818,0.74882223
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-23 00:00:00.000000,0.07870126,0.15174111,0.31810733,15,30,63,5,11,27,0.02510078,0.05939656,0.13635912,0.33701101,0.50386861,0.76713164
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-24 00:00:00.000000,0.08766083,0.16695050,0.34693963,17,33,69,5,13,30,0.02914939,0.06670189,0.15388898,0.32767084,0.48849082,0.78187364
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-25 00:00:00.000000,0.09674153,0.18663683,0.37321944,19,37,74,6,15,34,0.03471993,0.07512050,0.17054825,0.32194248,0.46951820,0.78789850
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-26 00:00:00.000000,0.10599973,0.20073263,0.39336161,21,40,78,8,16,37,0.04036119,0.08318508,0.18628925,0.31920474,0.46447226,0.76322890
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-27 00:00:00.000000,0.11554259,0.22290363,0.41350978,23,44,82,8,18,40,0.04452342,0.09268984,0.20094643,0.32075803,0.45719090,0.72406177
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-28 00:00:00.000000,0.12548373,0.23960031,0.43349916,25,47,86,9,19,42,0.04896454,0.09990218,0.21447714,0.31317181,0.44217133,0.70393505
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-29 00:00:00.000000,0.13575315,0.25600721,0.45377988,27,51,90,10,21,45,0.05372444,0.10666558,0.22701256,0.26404076,0.44049695,0.67728459
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-30 00:00:00.000000,0.15686539,0.28248586,0.47264613,31,56,94,11,23,47,0.05882614,0.11576376,0.23878654,0.26078514,0.43707665,0.66437613
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-03-31 00:00:00.000000,0.16354934,0.30672400,0.48847808,32,61,97,13,25,49,0.06565348,0.12541480,0.24847418,0.26064087,0.42440971,0.65927789
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-01 00:00:00.000000,0.17554110,0.33197277,0.51010476,35,66,101,14,27,51,0.07109966,0.13730086,0.25694595,0.25531305,0.41108502,0.65734421
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-02 00:00:00.000000,0.19412200,0.34730401,0.54618003,38,69,109,15,29,53,0.07713409,0.14660145,0.26911475,0.25836430,0.40442082,0.63373294
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-03 00:00:00.000000,0.20260256,0.37272964,0.60721851,40,74,121,16,31,58,0.08390078,0.15650174,0.29308725,0.26023724,0.39937740,0.61365690
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-04 00:00:00.000000,0.20262727,0.39195158,0.64013847,40,78,127,18,33,63,0.09096991,0.16735526,0.31648049,0.25982806,0.38733352,0.58051976
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-05 00:00:00.000000,0.20238642,0.41115569,0.68362448,40,82,136,19,36,67,0.09831208,0.18301816,0.33551361,0.25911342,0.38284463,0.57283584
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-06 00:00:00.000000,0.21230891,0.44416824,0.72753433,42,88,145,21,39,68,0.10582978,0.19735574,0.34499252,0.25806895,0.37984442,0.56594188
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-07 00:00:00.000000,0.23219286,0.47508867,0.77940210,46,94,155,21,41,74,0.10578385,0.21020292,0.37511272,0.25693052,0.37309658,0.56635895
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-08 00:00:00.000000,0.25207288,0.49958286,0.83352987,50,99,166,20,44,80,0.10488937,0.22410927,0.40090009,0.25161656,0.37199132,0.57206722
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-09 00:00:00.000000,0.27155289,0.53794180,0.88581761,54,107,176,20,46,84,0.10459099,0.23371511,0.42354615,0.24405157,0.37022577,0.55306190
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-10 00:00:00.000000,0.29029160,0.57816717,0.91531040,57,115,182,22,48,88,0.11272665,0.24402134,0.44388794,0.23643758,0.36862178,0.53907446
18049,0,USIndianaFulton,Indiana,Fulton,2020-11-01 02:34:37.578065,2020-04-11 00:00:00.000000,0.30798586,0.60950487,0.94403643,61,121,188,24,52,92,0.12110360,0.26070422,0.46256542,0.22925256,0.36418182,0.52884750
