FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-09 00:00:00.000000,0.00501542,0.01905565,0.05102510,1,6,17,0,3,9,0.00223532,0.01018509,0.02806122,0.48005731,0.62008991,0.79848249
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-10 00:00:00.000000,0.00561913,0.02158144,0.05770670,1,7,19,0,3,9,0.00245265,0.01033350,0.02697538,0.48005514,0.61997635,0.79847991
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-11 00:00:00.000000,0.00614791,0.02354196,0.06438230,2,7,21,0,3,9,0.00285516,0.01082144,0.02689049,0.48005043,0.61980355,0.79847573
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-12 00:00:00.000000,0.00672868,0.02584803,0.07147260,2,8,23,1,3,9,0.00311311,0.01160673,0.02848545,0.48004008,0.61954125,0.79846899
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-13 00:00:00.000000,0.00736774,0.02860302,0.07903394,2,9,26,1,4,10,0.00338533,0.01281590,0.03111951,0.48001680,0.61919084,0.79845806
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-14 00:00:00.000000,0.00807505,0.03186778,0.08718997,2,10,29,1,4,11,0.00369525,0.01427704,0.03417720,0.47996294,0.61918234,0.79844008
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-15 00:00:00.000000,0.00885346,0.03552573,0.09598113,2,11,32,1,5,12,0.00404205,0.01563217,0.03761342,0.47982946,0.61915430,0.79840856
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-16 00:00:00.000000,0.01803676,0.04656253,0.11968224,6,15,40,1,5,13,0.00442681,0.01731129,0.04140618,0.47878866,0.61654595,0.79833923
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-17 00:00:00.000000,0.02230775,0.05744261,0.14485609,7,19,48,2,6,16,0.00752417,0.02039422,0.04894755,0.45652272,0.61082788,0.79809037
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-18 00:00:00.000000,0.02655621,0.06772822,0.17092531,8,22,57,3,8,20,0.01009914,0.02498357,0.06010589,0.44410146,0.60415638,0.79642832
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-19 00:00:00.000000,0.03103714,0.08001658,0.19814639,10,26,66,4,9,22,0.01216707,0.02976946,0.06802972,0.42056194,0.59536131,0.79272453
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-20 00:00:00.000000,0.03581212,0.09142705,0.22630150,12,30,75,4,11,26,0.01438386,0.03534538,0.07867477,0.39667443,0.58099609,0.79609815
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-21 00:00:00.000000,0.04185951,0.10410659,0.25504010,14,34,85,5,13,30,0.01679718,0.04132184,0.09226520,0.37446194,0.56443433,0.79471578
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-22 00:00:00.000000,0.04938519,0.11769807,0.28410725,16,39,95,6,16,36,0.01937818,0.04825203,0.10975293,0.35321079,0.53669376,0.77879072
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-23 00:00:00.000000,0.06261407,0.13512642,0.30691327,21,45,103,7,18,43,0.02192173,0.05498944,0.12898895,0.33901795,0.52621837,0.75973855
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-24 00:00:00.000000,0.07223750,0.15067377,0.34431687,24,50,115,8,21,49,0.02576674,0.06301995,0.14857876,0.33580752,0.51688556,0.73065902
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-25 00:00:00.000000,0.08049814,0.16750959,0.38486862,27,56,129,10,23,56,0.02982273,0.07103640,0.16914641,0.33421524,0.50387064,0.72938190
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-26 00:00:00.000000,0.08937581,0.18993067,0.42747518,29,63,143,11,26,64,0.03489768,0.07936902,0.19102592,0.33024206,0.50002916,0.70864928
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-27 00:00:00.000000,0.09916792,0.20741212,0.46970920,33,69,157,13,29,71,0.04041521,0.08728615,0.21419153,0.30856832,0.48499450,0.70189067
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-28 00:00:00.000000,0.10997853,0.22793520,0.50877607,36,76,170,15,32,79,0.04635928,0.09643438,0.23575978,0.29421580,0.47018529,0.69385418
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-29 00:00:00.000000,0.12169350,0.24867362,0.54398167,40,83,182,17,35,86,0.05158691,0.10550872,0.25681222,0.27944515,0.45903690,0.67513445
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-30 00:00:00.000000,0.13545579,0.27004924,0.57615469,45,90,193,19,38,93,0.05762134,0.11615897,0.27896372,0.26862422,0.45241885,0.65811125
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-03-31 00:00:00.000000,0.14729742,0.29295538,0.60717377,49,98,203,21,42,101,0.06415045,0.12709877,0.30173660,0.24599244,0.43725032,0.65201895
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-01 00:00:00.000000,0.15915154,0.31904530,0.63770631,53,107,214,23,46,108,0.07090165,0.13788353,0.32460888,0.23983725,0.42603110,0.64660054
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-02 00:00:00.000000,0.17132369,0.34158161,0.66799428,57,114,224,26,50,116,0.07805008,0.14927171,0.34580927,0.23846820,0.41634720,0.60360643
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-03 00:00:00.000000,0.18622026,0.36505023,0.70655216,62,122,237,28,53,122,0.08560761,0.15946459,0.36481812,0.23812563,0.40351454,0.59733496
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-04 00:00:00.000000,0.20236714,0.38868476,0.74649446,67,130,250,31,58,128,0.09289878,0.17536869,0.38343270,0.23795579,0.38909161,0.56872112
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-05 00:00:00.000000,0.21790578,0.41214884,0.78545839,73,138,263,33,63,134,0.09920321,0.18909394,0.40173746,0.23778879,0.38149544,0.54881014
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-06 00:00:00.000000,0.23506532,0.43664006,0.82535368,78,146,277,35,68,140,0.10598035,0.20439207,0.41977849,0.23619823,0.36889228,0.55814799
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-07 00:00:00.000000,0.25138029,0.45982318,0.86558586,84,154,290,37,73,148,0.11233612,0.21788322,0.44347228,0.23249259,0.36772080,0.58494061
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-08 00:00:00.000000,0.26594021,0.48659262,0.90622857,89,163,304,39,77,156,0.11850437,0.23110176,0.46715225,0.21584191,0.36434942,0.58154149
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-09 00:00:00.000000,0.27882850,0.50599261,0.93816065,93,169,314,41,81,164,0.12458666,0.24432135,0.49087500,0.20341817,0.36194806,0.55811633
18073,0,USIndianaJasper,Indiana,Jasper,2020-10-27 23:57:16.531353,2020-04-10 00:00:00.000000,0.29210504,0.52972638,0.96700931,98,177,324,43,86,172,0.13066844,0.25751707,0.51273756,0.21380023,0.35533515,0.52527209
