FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-09 00:00:00.000000,0.00417359,0.00756523,0.01282050,6,11,20,1,3,7,0.00073081,0.00196860,0.00494773,0.59823003,0.82404122,1.02404053
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-10 00:00:00.000000,0.00634626,0.01144675,0.01811425,10,18,28,2,4,9,0.00156992,0.00306803,0.00630007,0.59820300,0.82397854,1.02404050
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-11 00:00:00.000000,0.00851861,0.01565887,0.02509436,13,24,39,4,7,12,0.00267751,0.00494334,0.00787168,0.59813975,0.82387664,1.02404046
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-12 00:00:00.000000,0.01103943,0.02068844,0.03402545,17,32,53,6,11,18,0.00396182,0.00728393,0.01166050,0.59799196,0.82371164,1.02404033
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-13 00:00:00.000000,0.01382296,0.02605150,0.04443565,21,41,70,8,15,26,0.00537756,0.01002494,0.01677498,0.59764764,0.82344612,1.02403992
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-14 00:00:00.000000,0.01733816,0.03259650,0.05695570,27,51,90,10,20,35,0.00686887,0.01292930,0.02248745,0.59685091,0.82302311,1.02403840
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-15 00:00:00.000000,0.02120769,0.04001783,0.07052915,33,63,111,13,25,45,0.00861327,0.01611429,0.02901170,0.59503610,0.82235986,1.02403246
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-16 00:00:00.000000,0.02547729,0.04696918,0.08250819,40,74,130,16,31,57,0.01064813,0.02000231,0.03651002,0.59104627,0.81495115,1.02400791
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-17 00:00:00.000000,0.03208298,0.05516692,0.09751358,50,87,154,20,38,68,0.01299779,0.02436766,0.04326574,0.58292013,0.81016454,1.02390371
18081,0,USIndianaJohnson,Indiana,Johnson,2020-12-05 16:48:07.745532,2020-03-18 00:00:00.000000,0.03896592,0.06652760,0.11499443,61,105,181,25,46,79,0.01619933,0.02908649,0.05013267,0.57562353,0.80536465,1.02345513
