FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-09 00:00:00.000000,0.00119191,0.00295513,0.00576983,3,8,15,0,2,6,0.00016051,0.00082949,0.00224445,0.54821538,0.77650115,1.08735744
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-10 00:00:00.000000,0.00190963,0.00442182,0.00873167,5,12,23,1,3,7,0.00045434,0.00127442,0.00285843,0.54818606,0.77650769,1.08735159
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-11 00:00:00.000000,0.00264244,0.00623552,0.01243509,7,16,33,2,5,10,0.00074328,0.00201559,0.00369021,0.54818160,0.77652878,1.08733638
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-12 00:00:00.000000,0.00354736,0.00788467,0.01673600,9,21,45,3,7,13,0.00113693,0.00287910,0.00494170,0.54826118,0.77659628,1.08729680
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-13 00:00:00.000000,0.00449560,0.00975729,0.02144004,12,26,58,4,10,18,0.00161645,0.00386970,0.00682949,0.54857932,0.77680971,1.08719388
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-14 00:00:00.000000,0.00550747,0.01190021,0.02672572,14,32,72,5,13,25,0.00218382,0.00502388,0.00920965,0.54952171,0.77746290,1.08692644
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-15 00:00:00.000000,0.00684141,0.01452273,0.03268322,18,39,88,7,17,31,0.00280943,0.00631177,0.01152244,0.55073786,0.77880749,1.08623296
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-16 00:00:00.000000,0.00884384,0.01795934,0.03635461,24,48,98,9,20,39,0.00356942,0.00770919,0.01453432,0.55172761,0.77970267,1.08444459
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-17 00:00:00.000000,0.01077538,0.02190808,0.04068236,29,59,110,12,25,47,0.00450995,0.00954660,0.01747531,0.55606204,0.77190821,1.07989738
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-18 00:00:00.000000,0.01338514,0.02597058,0.04640702,36,70,126,15,31,55,0.00554760,0.01159798,0.02045170,0.56461518,0.77149357,1.06873958
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-19 00:00:00.000000,0.01652189,0.03062305,0.05473640,44,83,148,18,36,64,0.00686468,0.01354856,0.02390291,0.54615501,0.77756766,1.04385557
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-20 00:00:00.000000,0.02013979,0.03552998,0.06403065,54,96,174,23,43,75,0.00848921,0.01588150,0.02764102,0.54495632,0.76717837,1.03099381
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-21 00:00:00.000000,0.02422735,0.04112019,0.07339706,65,111,199,28,51,87,0.01033907,0.01898883,0.03211514,0.53773216,0.75222983,1.01569077
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-22 00:00:00.000000,0.02865416,0.04788409,0.08484759,77,130,230,33,59,104,0.01241772,0.02206749,0.03833543,0.53147781,0.74811380,1.04924518
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-23 00:00:00.000000,0.03294028,0.05568236,0.09864779,89,151,268,40,69,120,0.01472552,0.02556716,0.04426796,0.52802850,0.74110649,1.02299423
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-24 00:00:00.000000,0.03780615,0.06371938,0.11465848,102,173,311,46,82,138,0.01715890,0.03031356,0.05113005,0.52737065,0.73818370,1.03924711
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-25 00:00:00.000000,0.04333328,0.07337863,0.13322149,117,199,362,53,96,164,0.01978801,0.03542092,0.06046339,0.53333608,0.73716571,1.05342370
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-26 00:00:00.000000,0.04960432,0.08530938,0.15322933,134,231,416,62,109,198,0.02305960,0.04033528,0.07316469,0.53505630,0.73445215,1.05821731
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-27 00:00:00.000000,0.05671303,0.09959288,0.17743493,154,270,482,73,128,237,0.02698128,0.04732314,0.08751449,0.53301287,0.72120128,1.05252472
18141,0,USIndianaSt.Joseph,Indiana,St. Joseph,2020-11-26 18:20:56.832659,2020-03-28 00:00:00.000000,0.06410814,0.11551807,0.20870304,174,314,567,84,150,279,0.03109084,0.05534914,0.10277427,0.51300462,0.71352483,1.04052134
