FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-09 00:00:00.000000,0.00757548,0.06276247,0.17597712,0,3,9,0,1,6,0.00382468,0.03561720,0.11365705,0.36994144,0.50689082,0.67646689
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-10 00:00:00.000000,0.00854673,0.06888598,0.18840768,0,3,10,0,1,5,0.00376076,0.03399953,0.10499584,0.36993428,0.50687613,0.67637698
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-11 00:00:00.000000,0.00946805,0.07486418,0.20278943,0,4,11,0,1,5,0.00389462,0.03480443,0.10684110,0.36991857,0.50685418,0.67622962
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-12 00:00:00.000000,0.01035959,0.07963562,0.21323971,0,4,11,0,2,6,0.00414891,0.03669914,0.10969422,0.36988437,0.50682104,0.67598726
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-13 00:00:00.000000,0.01123654,0.08535605,0.22986217,0,4,12,0,2,6,0.00447632,0.03912103,0.11628677,0.36981050,0.50676995,0.67558726
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-14 00:00:00.000000,0.01211059,0.09283373,0.25050464,0,5,13,0,2,6,0.00484840,0.04225125,0.12336089,0.36965207,0.50668861,0.67492457
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-15 00:00:00.000000,0.01299053,0.09849598,0.27233617,0,5,14,0,2,7,0.00524859,0.04596563,0.13062492,0.36931544,0.50655257,0.67382106
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-16 00:00:00.000000,0.03625406,0.13113978,0.30403400,1,7,16,0,2,7,0.00566758,0.04962138,0.13801581,0.36861109,0.50388150,0.67196545
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-17 00:00:00.000000,0.05381666,0.15932599,0.33717614,2,8,18,0,3,8,0.01042580,0.05919283,0.15060884,0.36717926,0.50362270,0.66877158
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-18 00:00:00.000000,0.06595339,0.18679586,0.38565563,3,10,21,0,3,9,0.01716093,0.06879933,0.16981084,0.36401413,0.49660448,0.65255009
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-19 00:00:00.000000,0.07868179,0.21845238,0.43443336,4,12,23,1,4,10,0.02329710,0.08418303,0.19655195,0.34742706,0.48726186,0.65183239
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-20 00:00:00.000000,0.09203046,0.25067437,0.48650169,5,13,26,1,5,12,0.02836236,0.09590579,0.22321253,0.30152443,0.44958399,0.64282653
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-21 00:00:00.000000,0.10599297,0.28170712,0.57210004,5,15,31,1,6,13,0.03390434,0.11054434,0.25070357,0.26223400,0.41455623,0.64031402
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-22 00:00:00.000000,0.12045630,0.31686832,0.67904552,6,17,37,2,7,15,0.03985201,0.12862329,0.27554302,0.24960575,0.38312049,0.63171202
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-23 00:00:00.000000,0.14883162,0.35579143,0.72502448,8,19,39,2,7,17,0.04766546,0.14483527,0.30948078,0.24535156,0.36320484,0.58158662
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-24 00:00:00.000000,0.17711457,0.39209464,0.79484227,9,21,43,3,9,19,0.05742106,0.16465888,0.35102741,0.24357372,0.35594004,0.53039267
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-25 00:00:00.000000,0.19855777,0.42335126,0.84711250,10,23,46,3,10,21,0.07077455,0.18540719,0.39088036,0.24043087,0.34824120,0.49856865
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-26 00:00:00.000000,0.21983713,0.45776160,0.88881920,12,25,48,4,11,23,0.08156437,0.20216024,0.42857790,0.23345731,0.32961192,0.47549853
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-27 00:00:00.000000,0.24066966,0.48950008,0.91823777,13,26,50,5,12,24,0.09583366,0.21923714,0.44910245,0.22678375,0.31130194,0.46885194
19009,0,USIowaAudubon,Iowa,Audubon,2020-11-09 11:28:56.801276,2020-03-28 00:00:00.000000,0.26752542,0.52648697,0.94824672,14,28,52,6,13,25,0.11163767,0.23847485,0.46299790,0.21375626,0.28999439,0.45833400
