FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-09 00:00:00.000000,0.00998045,0.03217020,0.06834601,2,8,17,1,4,10,0.00549386,0.01800689,0.04152090,0.41636144,0.54569464,0.74589316
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-10 00:00:00.000000,0.01165806,0.03501757,0.07518927,2,8,19,1,4,10,0.00521219,0.01802440,0.04186402,0.41635475,0.54567547,0.74561111
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-11 00:00:00.000000,0.01332988,0.03747672,0.08250968,3,9,21,1,4,11,0.00532401,0.01836210,0.04382029,0.41634188,0.54563274,0.74502023
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-12 00:00:00.000000,0.01504098,0.04043525,0.09048251,3,10,23,1,4,12,0.00591823,0.01918189,0.04683596,0.41631713,0.54532003,0.74387145
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-13 00:00:00.000000,0.01680100,0.04362183,0.09958010,4,11,25,1,5,13,0.00660827,0.02025324,0.05082661,0.41626948,0.54428688,0.74165570
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-14 00:00:00.000000,0.01863022,0.04743599,0.11005520,4,12,28,1,5,14,0.00723677,0.02159351,0.05639675,0.41617773,0.54200664,0.73744720
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-15 00:00:00.000000,0.02054647,0.05162921,0.12138459,5,13,31,1,6,15,0.00751354,0.02348816,0.06109061,0.41600098,0.53783504,0.72968238
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-16 00:00:00.000000,0.02591339,0.06820974,0.15144220,6,17,38,2,6,16,0.00784790,0.02584987,0.06547737,0.41566070,0.53252643,0.71608867
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-17 00:00:00.000000,0.02983527,0.08556318,0.18150443,7,21,46,2,7,18,0.00914756,0.03027885,0.07291729,0.40805120,0.52655081,0.69430983
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-18 00:00:00.000000,0.03382594,0.10280338,0.21174712,8,26,54,2,8,20,0.01107121,0.03443476,0.08182429,0.38501760,0.51500070,0.66386066
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-19 00:00:00.000000,0.03791215,0.11965649,0.23323529,9,30,59,3,10,23,0.01340489,0.04121993,0.09196771,0.34008682,0.50852555,0.62946757
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-20 00:00:00.000000,0.04212853,0.13500558,0.25389387,10,34,65,4,12,26,0.01606266,0.04933101,0.10313138,0.31345429,0.48715614,0.61962057
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-21 00:00:00.000000,0.04644731,0.15080151,0.27358090,11,38,70,4,14,31,0.01897626,0.05790463,0.12090614,0.29693532,0.46011582,0.60853470
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-22 00:00:00.000000,0.05227391,0.16730420,0.29905577,13,42,76,5,17,36,0.02210467,0.06697744,0.14087685,0.29324516,0.44042705,0.58586180
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-23 00:00:00.000000,0.07324560,0.18842398,0.32138205,18,48,82,6,19,41,0.02542388,0.07571833,0.16105300,0.28973246,0.41891729,0.56571453
19011,0,USIowaBenton,Iowa,Benton,2020-10-17 01:27:40.619585,2020-03-24 00:00:00.000000,0.08755677,0.20368569,0.35032577,22,52,89,7,21,45,0.02970457,0.08517059,0.17630767,0.28625852,0.39657335,0.54334961
