FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-09 00:00:00.000000,0.00139173,0.01943698,0.05975820,0,4,12,0,2,7,0.00061843,0.01028889,0.03433494,0.37431735,0.58126054,0.79011023
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-10 00:00:00.000000,0.00153306,0.02266737,0.06580974,0,4,13,0,2,6,0.00061185,0.01012516,0.03286829,0.37431472,0.58125430,0.79011019
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-11 00:00:00.000000,0.00168028,0.02496678,0.07202588,0,5,15,0,2,7,0.00062926,0.01105870,0.03482844,0.37430988,0.58123956,0.79011009
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-12 00:00:00.000000,0.00183701,0.02838816,0.07928254,0,6,16,0,2,7,0.00066629,0.01241498,0.03774373,0.37430084,0.58120463,0.79010981
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-13 00:00:00.000000,0.00200593,0.03182788,0.08788896,0,6,18,0,2,8,0.00071332,0.01366754,0.04138092,0.37428584,0.58112160,0.79010897
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-14 00:00:00.000000,0.00218921,0.03566759,0.09714191,0,7,20,0,3,9,0.00076651,0.01529853,0.04559923,0.37427200,0.58092357,0.79010596
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-15 00:00:00.000000,0.00238874,0.03961817,0.10716397,0,8,22,0,3,10,0.00082818,0.01723142,0.05035119,0.37419451,0.57517138,0.79009336
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-16 00:00:00.000000,0.01204177,0.04862533,0.12224444,2,10,25,0,3,11,0.00089993,0.01876471,0.05561928,0.37371843,0.57321219,0.79003267
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-17 00:00:00.000000,0.02042145,0.06178573,0.14163439,4,13,29,0,4,13,0.00236351,0.02134736,0.06220472,0.37092022,0.56285096,0.78363193
19019,0,USIowaBuchanan,Iowa,Buchanan,2020-10-17 00:36:16.126269,2020-03-18 00:00:00.000000,0.02391045,0.07157390,0.17100774,5,15,36,1,5,14,0.00478373,0.02468940,0.06991784,0.35991122,0.55367825,0.77361814
