FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-09 00:00:00.000000,0.00300041,0.01603942,0.04684071,0,2,6,0,1,3,0.00144760,0.00955913,0.02635417,0.35763520,0.50369920,0.69881376
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-10 00:00:00.000000,0.00342004,0.01803319,0.05221246,0,2,7,0,1,4,0.00164205,0.00941750,0.02778315,0.35763514,0.50318808,0.69881361
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-11 00:00:00.000000,0.00377689,0.01986050,0.05638352,0,2,8,0,1,4,0.00184246,0.00953828,0.02973053,0.35763495,0.50312192,0.69881335
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-12 00:00:00.000000,0.00416113,0.02171126,0.06084264,0,3,8,0,1,4,0.00207945,0.01017326,0.03256869,0.35763430,0.50252479,0.69881285
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-13 00:00:00.000000,0.00457696,0.02316692,0.06561490,0,3,9,0,1,5,0.00233611,0.01098926,0.03522053,0.35763208,0.50138946,0.69881175
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-14 00:00:00.000000,0.00502851,0.02446961,0.07320534,0,3,10,0,1,5,0.00259935,0.01190140,0.03805120,0.35762444,0.50007119,0.69880892
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-15 00:00:00.000000,0.00551998,0.02590779,0.08206410,0,3,11,0,1,5,0.00288095,0.01278414,0.04107577,0.35759822,0.49961657,0.69880059
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-16 00:00:00.000000,0.01308013,0.03660841,0.09634262,1,5,13,0,1,6,0.00318346,0.01358298,0.04431048,0.35750969,0.49213441,0.69877353
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-17 00:00:00.000000,0.01815925,0.04735270,0.11046684,2,6,15,0,2,7,0.00552944,0.01708214,0.04983090,0.35722896,0.48616169,0.69868053
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-18 00:00:00.000000,0.02362241,0.05818513,0.11955365,3,8,17,1,3,8,0.00854341,0.02219688,0.05766863,0.35646334,0.47837823,0.69238164
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-19 00:00:00.000000,0.02875119,0.06894887,0.12962610,4,9,18,1,3,9,0.01143097,0.02766250,0.06286227,0.33678299,0.45652743,0.68313696
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-20 00:00:00.000000,0.03315135,0.07995636,0.14392829,4,11,20,2,4,10,0.01465459,0.03316073,0.07275759,0.28736719,0.43812693,0.65280579
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-21 00:00:00.000000,0.03772177,0.09101365,0.16526528,5,13,23,2,5,11,0.01814076,0.03869262,0.08232623,0.26299510,0.41199576,0.64487861
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-22 00:00:00.000000,0.04229387,0.10347428,0.18950871,6,14,27,3,6,13,0.02157389,0.04534401,0.09132793,0.25156131,0.38997677,0.65270540
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-23 00:00:00.000000,0.04427649,0.10925841,0.19757274,6,15,28,3,7,14,0.02445452,0.05207453,0.09990513,0.24261861,0.37110746,0.61229598
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-24 00:00:00.000000,0.04771573,0.11662585,0.20195061,6,16,29,3,8,15,0.02657197,0.05759415,0.10860553,0.23789793,0.34667039,0.54753940
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-25 00:00:00.000000,0.05171289,0.12160671,0.20626197,7,17,29,4,8,16,0.02814124,0.06067706,0.11289306,0.23212474,0.33451789,0.53821255
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-26 00:00:00.000000,0.05582290,0.12754018,0.21052445,8,18,30,4,9,16,0.02944085,0.06661995,0.11634355,0.21546983,0.31744712,0.52387595
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-27 00:00:00.000000,0.05980618,0.13033252,0.21472028,8,18,31,4,10,17,0.03202198,0.07137084,0.12026258,0.21185322,0.30699729,0.47162521
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-28 00:00:00.000000,0.06515130,0.13556650,0.21869164,9,19,31,4,10,17,0.03454428,0.07568137,0.12367527,0.19892551,0.29569306,0.44205493
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-29 00:00:00.000000,0.06775427,0.14085010,0.22217951,9,20,32,5,11,18,0.03713867,0.08127108,0.12760190,0.18920794,0.28424611,0.44081557
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-30 00:00:00.000000,0.06737862,0.14400716,0.23185729,9,20,33,5,11,18,0.03900278,0.08309544,0.13094925,0.18414979,0.27835070,0.44017693
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-03-31 00:00:00.000000,0.06525953,0.14463746,0.24036430,9,20,34,5,12,19,0.04043377,0.08585260,0.13373002,0.18239656,0.26989461,0.43947536
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-01 00:00:00.000000,0.06452401,0.14593150,0.24740464,9,21,35,5,12,20,0.04154248,0.08730799,0.13905935,0.17118391,0.26409394,0.43592412
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-02 00:00:00.000000,0.06393455,0.14617252,0.25302022,9,21,36,5,12,20,0.04025501,0.08941355,0.14467841,0.16047898,0.25281503,0.40815868
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-03 00:00:00.000000,0.06334170,0.14443155,0.25740691,9,20,37,5,12,21,0.03884256,0.08981809,0.15002841,0.14636727,0.24046328,0.40185857
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-04 00:00:00.000000,0.06275574,0.14504543,0.26409225,9,20,38,5,13,22,0.03768058,0.09099713,0.15706487,0.13599746,0.23310475,0.40386174
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-05 00:00:00.000000,0.06219967,0.14695587,0.27437972,8,21,39,5,13,23,0.03734213,0.09089282,0.16422421,0.12695116,0.23088801,0.40468183
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-06 00:00:00.000000,0.08196480,0.16071231,0.28419624,11,23,41,5,13,24,0.03700880,0.09049200,0.17125126,0.11915523,0.22799490,0.40421568
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-07 00:00:00.000000,0.08632727,0.17787931,0.29323543,12,25,42,6,13,25,0.04294004,0.09337541,0.17961885,0.11834693,0.22028752,0.39889050
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-08 00:00:00.000000,0.09398755,0.19283898,0.31540374,13,27,45,7,14,26,0.05070646,0.10321676,0.18222417,0.11832345,0.21938187,0.39058574
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-09 00:00:00.000000,0.09758316,0.20670436,0.32877763,14,29,47,7,15,26,0.05214483,0.10918582,0.18508480,0.11685974,0.21809504,0.38559166
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-10 00:00:00.000000,0.10096310,0.21820305,0.35431531,14,31,51,8,16,28,0.05599801,0.11559601,0.19657624,0.11414089,0.20623937,0.36920024
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-11 00:00:00.000000,0.10351981,0.23130046,0.38057930,14,33,54,8,17,30,0.05827135,0.12253265,0.21337376,0.11357199,0.19855469,0.35345604
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-12 00:00:00.000000,0.10586105,0.24339074,0.40696180,15,35,58,8,18,31,0.06026985,0.13061872,0.22158634,0.11349020,0.18990115,0.34298042
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-13 00:00:00.000000,0.10960101,0.25439062,0.42556364,15,36,61,8,19,34,0.06209109,0.13318669,0.23579797,0.11343258,0.18543061,0.33762094
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-14 00:00:00.000000,0.13259865,0.26792158,0.44433798,19,38,64,9,20,36,0.06469379,0.14056266,0.25094395,0.11332131,0.17888394,0.31778849
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-15 00:00:00.000000,0.13724628,0.27737472,0.46957994,19,40,67,10,21,38,0.07106813,0.15197884,0.26512964,0.11281337,0.17756449,0.30072253
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-16 00:00:00.000000,0.14183057,0.28745895,0.48232072,20,41,69,11,22,40,0.07844721,0.15844068,0.28230855,0.11246575,0.17356031,0.28417323
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-17 00:00:00.000000,0.14631297,0.29704316,0.48859681,21,42,70,12,24,43,0.08648732,0.16632274,0.30235495,0.10530065,0.16381598,0.27848085
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-18 00:00:00.000000,0.15067622,0.30370204,0.48646071,21,43,70,13,24,44,0.09079253,0.17064375,0.30513073,0.10064117,0.16244212,0.27856470
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-19 00:00:00.000000,0.15491777,0.31424006,0.50918844,22,45,73,13,25,44,0.09361546,0.17464462,0.30663853,0.09987347,0.15813498,0.27815134
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-20 00:00:00.000000,0.17244698,0.32438450,0.53099689,24,46,76,13,25,44,0.09638594,0.17989098,0.30745976,0.09922209,0.15115906,0.26845140
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-21 00:00:00.000000,0.18035894,0.33595927,0.55236246,26,48,79,14,27,46,0.10312447,0.18826761,0.31942047,0.09903285,0.14987539,0.27411487
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-22 00:00:00.000000,0.18389955,0.34789607,0.57246174,26,50,82,16,28,48,0.11179186,0.19560893,0.33368854,0.09906452,0.14973906,0.28364293
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-23 00:00:00.000000,0.18358013,0.35731871,0.59213612,26,51,85,16,29,50,0.11225215,0.20299738,0.34729458,0.09752436,0.14890297,0.28414241
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-24 00:00:00.000000,0.18301802,0.36743463,0.61213929,26,53,88,16,30,52,0.11239134,0.21188288,0.36035170,0.09648046,0.14745615,0.27640951
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-25 00:00:00.000000,0.18234316,0.37340066,0.63212887,26,53,91,16,31,53,0.11229270,0.21764549,0.37305673,0.09284951,0.14703642,0.27624318
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-26 00:00:00.000000,0.18162725,0.38115721,0.65202180,26,55,94,16,32,55,0.11203940,0.22236881,0.38417377,0.09287049,0.14905018,0.27591173
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-27 00:00:00.000000,0.18287691,0.38953805,0.67098137,26,56,96,16,32,56,0.11169592,0.22616222,0.39346191,0.08963755,0.14766316,0.28074030
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-28 00:00:00.000000,0.18689540,0.39775897,0.68757912,26,57,99,16,33,56,0.11171007,0.23027914,0.39285936,0.08993113,0.14627885,0.28483329
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-29 00:00:00.000000,0.19083328,0.40233965,0.70270308,27,58,101,16,34,57,0.11413231,0.23608578,0.39856236,0.09047742,0.14585400,0.28381762
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-04-30 00:00:00.000000,0.19452748,0.40909082,0.71615286,28,59,103,16,35,58,0.11661753,0.24534715,0.40526293,0.09156451,0.14253655,0.27783930
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-01 00:00:00.000000,0.19728228,0.40638303,0.71742616,28,58,103,17,35,59,0.11916674,0.24660348,0.40988663,0.09286714,0.14284861,0.27245047
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-02 00:00:00.000000,0.19610664,0.41074911,0.71800086,28,59,103,17,35,59,0.12211110,0.24650552,0.41302885,0.09154884,0.14228010,0.26966398
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-03 00:00:00.000000,0.19500318,0.41292049,0.73902046,28,59,106,17,35,59,0.12428590,0.24708921,0.41510254,0.09035031,0.14271619,0.26490767
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-04 00:00:00.000000,0.20087397,0.41386707,0.74105650,29,59,107,18,35,60,0.12706723,0.24677592,0.41640243,0.08964526,0.14237897,0.26245934
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-05 00:00:00.000000,0.20684336,0.41469489,0.73448671,29,59,106,18,35,60,0.12889167,0.24616149,0.41665572,0.09002456,0.14074144,0.25944642
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-06 00:00:00.000000,0.21080597,0.41843267,0.74965109,30,60,108,18,36,60,0.12914375,0.25347126,0.41626917,0.09068625,0.14167726,0.25476262
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-07 00:00:00.000000,0.21043466,0.42613461,0.76451323,30,61,110,18,37,60,0.12911038,0.25774373,0.41745778,0.08842437,0.14277734,0.24747532
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-08 00:00:00.000000,0.21033461,0.43114844,0.77832720,30,62,112,18,37,60,0.12893542,0.26060653,0.42022424,0.08558006,0.14299509,0.23734781
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-09 00:00:00.000000,0.21031888,0.43002927,0.79098590,30,62,114,18,38,61,0.12869841,0.26456077,0.42303260,0.08461081,0.14078517,0.23459146
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-10 00:00:00.000000,0.21086963,0.42658337,0.80250146,30,61,115,18,38,61,0.12857182,0.26526288,0.42585880,0.08281518,0.13979073,0.23216995
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-11 00:00:00.000000,0.20958102,0.42818737,0.81187660,30,61,117,18,38,61,0.12862995,0.26505354,0.42868711,0.08158649,0.14134352,0.24081836
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-12 00:00:00.000000,0.20842349,0.43217703,0.81300712,30,62,117,18,38,62,0.12817919,0.26375977,0.43235845,0.07867240,0.14041742,0.23731038
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-13 00:00:00.000000,0.20913813,0.43733808,0.81314635,30,63,117,18,38,62,0.12779530,0.26599025,0.43453827,0.07807693,0.14037187,0.23386494
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-14 00:00:00.000000,0.20948219,0.43360341,0.82745996,30,62,119,18,38,63,0.12779537,0.26930251,0.44194669,0.07797685,0.14419572,0.22949278
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-15 00:00:00.000000,0.20266168,0.43625857,0.83067198,29,62,119,18,38,64,0.12812063,0.26757589,0.44764635,0.07797376,0.14672992,0.22360991
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-16 00:00:00.000000,0.19851423,0.43512187,0.82008888,28,62,118,18,38,65,0.12865046,0.26841378,0.45359195,0.07800783,0.15022624,0.22357922
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-17 00:00:00.000000,0.19593139,0.43341041,0.81021665,28,62,116,18,38,66,0.12929740,0.26834250,0.45972701,0.07810420,0.15442477,0.22156409
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-18 00:00:00.000000,0.19827431,0.44135383,0.80560703,28,63,116,18,38,67,0.12756578,0.26730905,0.46559890,0.07836085,0.15744013,0.21921509
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-19 00:00:00.000000,0.20059936,0.44660415,0.80101605,28,64,115,18,38,67,0.12749877,0.26688680,0.47065226,0.07893921,0.16019325,0.22040652
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-20 00:00:00.000000,0.20305504,0.44998315,0.79640426,29,64,114,18,39,68,0.12929887,0.27280277,0.47544581,0.07980017,0.16094855,0.22178718
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-21 00:00:00.000000,0.20578412,0.45465449,0.79184922,29,65,114,18,39,69,0.12684173,0.27493573,0.48015065,0.08067875,0.16853202,0.22769278
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-22 00:00:00.000000,0.20681719,0.45579812,0.78743678,29,65,113,18,40,69,0.12483895,0.28128273,0.48376173,0.08116799,0.17050731,0.23961333
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-23 00:00:00.000000,0.20722269,0.46352191,0.78325644,29,66,113,18,41,68,0.12642870,0.28662373,0.47291433,0.08319639,0.17377145,0.24617101
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-24 00:00:00.000000,0.20774331,0.47085106,0.78609026,29,67,113,18,41,67,0.12687839,0.28957646,0.46461163,0.08569800,0.17535867,0.25734771
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-25 00:00:00.000000,0.21255022,0.48459529,0.81001990,30,69,116,18,42,67,0.12701509,0.29409064,0.46833159,0.09007286,0.17801999,0.27192410
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-26 00:00:00.000000,0.21325333,0.49616000,0.82144464,30,71,118,19,43,68,0.13258061,0.30166632,0.47325645,0.09499927,0.17965228,0.27906115
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-27 00:00:00.000000,0.22228028,0.50906583,0.82789354,32,73,119,19,43,69,0.13309890,0.30384211,0.47993405,0.10101188,0.18213838,0.28606249
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-28 00:00:00.000000,0.23742488,0.52379465,0.83486343,34,75,120,19,44,70,0.13644904,0.30500037,0.48676906,0.10808072,0.18620547,0.29367535
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-29 00:00:00.000000,0.24547153,0.53034941,0.85609114,35,76,123,20,44,71,0.14521359,0.30891293,0.49383708,0.12379538,0.18943335,0.30010242
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-30 00:00:00.000000,0.24721185,0.54306237,0.89910326,35,78,129,21,45,72,0.14999640,0.31748335,0.50116244,0.12890188,0.19238403,0.30421287
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-05-31 00:00:00.000000,0.24947545,0.56309926,0.96865091,36,81,139,22,47,74,0.15538819,0.32896053,0.51454816,0.13253052,0.19612869,0.30638708
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-01 00:00:00.000000,0.28264490,0.57818748,1.01549661,40,83,146,23,48,77,0.16029290,0.33451624,0.53896914,0.13530918,0.20011595,0.30741907
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-02 00:00:00.000000,0.30822038,0.60696157,1.04150644,44,87,150,24,48,83,0.16961140,0.33760995,0.57570220,0.13633237,0.20379026,0.30802237
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-03 00:00:00.000000,0.32675897,0.62914787,1.06831118,47,90,154,25,49,88,0.17909788,0.34580511,0.61341558,0.13750668,0.20826468,0.32575937
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-04 00:00:00.000000,0.34578859,0.65176345,1.09618218,49,94,158,26,51,93,0.18067100,0.35668742,0.65086565,0.13771162,0.21115678,0.32526984
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-05 00:00:00.000000,0.34818674,0.67455460,1.12534020,50,97,162,26,52,99,0.18156005,0.36549775,0.68830962,0.14019316,0.21212332,0.32234708
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-06 00:00:00.000000,0.35171395,0.69086279,1.15590609,50,99,166,26,55,102,0.18260643,0.38316207,0.70685034,0.14211451,0.21530857,0.33140800
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-07 00:00:00.000000,0.35688705,0.69858001,1.18784428,51,100,171,26,58,104,0.18638135,0.40280024,0.72592777,0.14285004,0.22607215,0.34695978
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-08 00:00:00.000000,0.39640282,0.73777135,1.21156195,57,106,174,28,61,107,0.19519802,0.42521868,0.74569340,0.14420341,0.22916752,0.35464507
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-09 00:00:00.000000,0.41358946,0.78049900,1.23637843,59,112,178,30,63,110,0.20998900,0.43788056,0.76413929,0.14542990,0.23117758,0.35472317
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-10 00:00:00.000000,0.45763849,0.81657313,1.26190707,66,117,182,32,65,112,0.22816242,0.45069239,0.78190934,0.14196311,0.23656600,0.36123740
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-11 00:00:00.000000,0.51800674,0.85840130,1.28793924,74,123,185,35,67,115,0.24733368,0.46839685,0.79935075,0.13980278,0.23801964,0.36274918
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-12 00:00:00.000000,0.56762514,0.90411192,1.31384665,81,130,189,38,72,117,0.26665837,0.50041593,0.81679502,0.13715394,0.23891418,0.37182804
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-13 00:00:00.000000,0.60057091,0.94651049,1.36363829,86,136,196,41,76,120,0.28581154,0.52697633,0.83414288,0.13789039,0.23887225,0.38205540
19023,0,USIowaButler,Iowa,Butler,2020-12-05 15:49:24.148028,2020-06-14 00:00:00.000000,0.61112141,0.99494838,1.45863220,88,143,210,43,80,122,0.30470737,0.55523617,0.85090373,0.14083096,0.23884343,0.37972300
