FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-09 00:00:00.000000,0.00293960,0.01811839,0.06533777,0,2,8,0,1,4,0.00158048,0.00996118,0.03453198,0.37895285,0.55993866,0.70973705
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-10 00:00:00.000000,0.00364172,0.02018770,0.07441512,0,2,9,0,1,4,0.00157946,0.00949658,0.03442103,0.37894662,0.55993783,0.70971308
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-11 00:00:00.000000,0.00435553,0.02248149,0.08199770,0,2,10,0,1,4,0.00174730,0.00981741,0.03595541,0.37893463,0.55993563,0.70967440
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-12 00:00:00.000000,0.00511596,0.02446444,0.08617934,0,3,11,0,1,4,0.00199631,0.01032287,0.03656978,0.37891084,0.55989168,0.70961280
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-13 00:00:00.000000,0.00594658,0.02655067,0.09054831,0,3,11,0,1,5,0.00230982,0.01113493,0.04025302,0.37887037,0.55890655,0.70951670
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-14 00:00:00.000000,0.00686245,0.02876396,0.09506225,0,3,12,0,1,5,0.00268071,0.01187758,0.04437170,0.37886777,0.55768763,0.70937121
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-15 00:00:00.000000,0.00786990,0.03112290,0.09959549,1,3,12,0,1,6,0.00307696,0.01276954,0.04881185,0.37886214,0.55683581,0.70588641
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-16 00:00:00.000000,0.00857250,0.03364196,0.10508367,1,4,13,0,1,6,0.00327426,0.01386395,0.05352529,0.37884966,0.55533117,0.70412736
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-17 00:00:00.000000,0.00929074,0.03699132,0.11458799,1,4,14,0,1,7,0.00349906,0.01528528,0.05850084,0.37882156,0.54858290,0.70411483
19029,0,USIowaCass,Iowa,Cass,2020-10-17 00:32:23.639165,2020-03-18 00:00:00.000000,0.01004917,0.03976791,0.12363113,1,5,15,0,2,8,0.00374927,0.01663884,0.06370015,0.37368836,0.54213680,0.68470448
