FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-09 00:00:00.000000,0.00303149,0.02728998,0.09380310,0,5,17,0,3,9,0.00165678,0.01644513,0.04863751,0.37168120,0.53912516,0.74098235
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-10 00:00:00.000000,0.00349449,0.03046043,0.10273208,0,5,19,0,2,9,0.00166889,0.01590196,0.04949481,0.37168110,0.53910940,0.74098197
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-11 00:00:00.000000,0.00393842,0.03396868,0.11218863,0,6,20,0,3,9,0.00175113,0.01619210,0.05257764,0.37168079,0.53907808,0.74098090
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-12 00:00:00.000000,0.00437676,0.03785909,0.12225040,0,7,22,0,3,10,0.00187866,0.01692094,0.05659911,0.37167994,0.53901594,0.74097768
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-13 00:00:00.000000,0.00481902,0.04128133,0.13299492,0,7,24,0,3,11,0.00203542,0.01806502,0.06131193,0.37167749,0.53889294,0.74096752
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-14 00:00:00.000000,0.00527222,0.04468605,0.14450886,0,8,26,0,3,12,0.00222310,0.01949470,0.06658019,0.37167047,0.53865060,0.74093416
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-15 00:00:00.000000,0.00574186,0.04891190,0.15678190,1,9,29,0,3,13,0.00243262,0.02115179,0.07235485,0.37165028,0.53817750,0.74033669
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-16 00:00:00.000000,0.01696387,0.06585722,0.17462590,3,12,32,0,4,14,0.00265920,0.02299798,0.07860964,0.37159208,0.53214505,0.73644551
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-17 00:00:00.000000,0.02915566,0.08677716,0.20254070,5,16,37,0,5,16,0.00374871,0.02753417,0.08621922,0.37142431,0.52434064,0.73248370
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-18 00:00:00.000000,0.04067226,0.10347077,0.22252838,7,19,41,1,6,17,0.00807950,0.03406544,0.09458953,0.36915206,0.50109592,0.72520573
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-19 00:00:00.000000,0.05256382,0.12358399,0.24843774,9,23,46,2,7,19,0.01241446,0.04240572,0.10331584,0.35596968,0.48779883,0.71635844
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-20 00:00:00.000000,0.06364556,0.14531546,0.28417431,11,27,52,3,9,21,0.01664278,0.05180303,0.11582046,0.33055681,0.47627814,0.68265719
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-21 00:00:00.000000,0.07381805,0.16672278,0.31730652,13,31,59,3,11,24,0.02134680,0.06038083,0.13359085,0.30765378,0.45484350,0.68127599
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-22 00:00:00.000000,0.08335604,0.18475304,0.35305267,15,34,65,4,13,29,0.02647947,0.07060826,0.15682256,0.29160594,0.42967581,0.65863245
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-23 00:00:00.000000,0.09750157,0.20222987,0.36755294,18,37,68,5,14,32,0.03135611,0.08049379,0.17553810,0.27991657,0.39707969,0.64202615
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-24 00:00:00.000000,0.11059166,0.21825944,0.38494500,20,40,71,6,16,35,0.03685111,0.09067932,0.18955379,0.27679600,0.37606632,0.62094804
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-25 00:00:00.000000,0.12442080,0.23621194,0.42695168,23,43,79,7,18,37,0.04263500,0.10150650,0.20328273,0.26713547,0.36007444,0.61043412
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-26 00:00:00.000000,0.13673523,0.25573741,0.45830685,25,47,85,8,20,40,0.04673902,0.11105219,0.21888597,0.25267612,0.35101814,0.59798731
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-27 00:00:00.000000,0.14101773,0.27527027,0.50202201,26,51,93,9,22,45,0.05234845,0.12211863,0.24315399,0.23872505,0.33706061,0.57862434
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-28 00:00:00.000000,0.14554576,0.29512610,0.55009194,27,54,102,10,24,47,0.05830976,0.12998066,0.25533028,0.21972164,0.31904187,0.54854687
19031,0,USIowaCedar,Iowa,Cedar,2020-11-16 00:43:25.940346,2020-03-29 00:00:00.000000,0.16413069,0.31414056,0.59646530,30,58,111,11,25,52,0.06428685,0.13877100,0.27988459,0.18950735,0.29780144,0.50745301
