FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-09 00:00:00.000000,0.01363569,0.04700539,0.15567104,1,4,13,0,2,7,0.00779408,0.02422405,0.08830639,0.38590639,0.52777081,0.65220453
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-10 00:00:00.000000,0.01572710,0.05186702,0.16999773,1,4,14,0,2,7,0.00749584,0.02378550,0.08866804,0.38590626,0.52769863,0.65220405
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-11 00:00:00.000000,0.01759274,0.05608008,0.18472333,1,4,15,0,2,7,0.00776627,0.02446099,0.09122311,0.38590593,0.52757916,0.65220288
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-12 00:00:00.000000,0.01887941,0.05934965,0.19997471,1,5,17,0,2,8,0.00838171,0.02574955,0.09491620,0.38590513,0.52738083,0.65219981
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-13 00:00:00.000000,0.02025234,0.06246861,0.21582376,1,5,18,0,2,8,0.00919255,0.02771584,0.09919941,0.38590313,0.52616348,0.65219151
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-14 00:00:00.000000,0.02171450,0.06772394,0.22776194,1,5,19,0,2,9,0.00991956,0.03063085,0.10487024,0.38589816,0.52189428,0.65216834
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-15 00:00:00.000000,0.02327835,0.07410076,0.23903328,2,6,20,0,2,9,0.01089924,0.03302462,0.11292201,0.38588580,0.51828231,0.65210191
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-16 00:00:00.000000,0.03153953,0.09387741,0.25932358,2,8,22,1,3,10,0.01195372,0.03581986,0.12069803,0.37968586,0.50736656,0.65190683
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-17 00:00:00.000000,0.04000586,0.11357099,0.28489271,3,9,24,1,3,11,0.01448137,0.04122108,0.12902506,0.37130116,0.49686809,0.65132247
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-18 00:00:00.000000,0.04878007,0.13559180,0.33657767,4,11,28,1,4,12,0.01707309,0.04964366,0.14750156,0.33946309,0.49031962,0.63262801
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-19 00:00:00.000000,0.05791365,0.15877546,0.38089347,4,13,32,1,4,14,0.02017613,0.05796203,0.16341286,0.32086792,0.46736898,0.62591200
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-20 00:00:00.000000,0.06677549,0.17891140,0.41365068,5,15,35,2,6,15,0.02618423,0.07008544,0.17997571,0.30840131,0.45214626,0.62525360
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-21 00:00:00.000000,0.07410138,0.20137547,0.44479339,6,17,38,2,7,16,0.03277446,0.08129183,0.19679353,0.29301602,0.42754866,0.58653367
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-22 00:00:00.000000,0.08209749,0.22108038,0.47752214,7,19,41,3,8,18,0.03640109,0.09361859,0.21369611,0.29215007,0.40271601,0.58240739
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-23 00:00:00.000000,0.09931381,0.24961663,0.51335862,8,21,44,3,9,20,0.04038368,0.10531610,0.23301064,0.29139874,0.38578199,0.56640100
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-24 00:00:00.000000,0.11162934,0.28011145,0.56011912,9,24,48,3,10,21,0.04497502,0.11990725,0.24911150,0.28063069,0.37390072,0.55850952
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-25 00:00:00.000000,0.12434082,0.31090574,0.60544993,10,26,52,4,11,22,0.05620236,0.13297203,0.26383714,0.25937522,0.36287961,0.54540295
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-26 00:00:00.000000,0.13731589,0.34944959,0.64771600,11,30,55,5,13,23,0.06449913,0.15169539,0.27833191,0.24129080,0.35000507,0.52055254
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-27 00:00:00.000000,0.15038207,0.37695183,0.68378830,12,32,58,6,14,25,0.07194401,0.16846609,0.29479891,0.23642867,0.33533264,0.52203448
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-28 00:00:00.000000,0.16337907,0.40937244,0.71644551,14,35,61,6,16,26,0.07958167,0.18653452,0.31226629,0.21287128,0.31930924,0.50383753
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-29 00:00:00.000000,0.17621320,0.43338994,0.74782305,15,37,64,7,17,29,0.08731829,0.20347803,0.33975258,0.20569117,0.30692679,0.48648273
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-30 00:00:00.000000,0.18122650,0.43425883,0.75649057,15,37,65,8,18,31,0.09507477,0.21949004,0.36728369,0.20195316,0.29306558,0.47145636
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-03-31 00:00:00.000000,0.18611922,0.43365495,0.77458625,16,37,66,8,19,33,0.10053989,0.22793610,0.38657301,0.19607244,0.28344183,0.43688713
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-01 00:00:00.000000,0.19412538,0.44215754,0.77795142,16,38,67,8,20,33,0.10366105,0.23664420,0.39460378,0.19436568,0.27556739,0.42497257
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-02 00:00:00.000000,0.20311657,0.44576963,0.76267084,17,38,65,9,20,34,0.10623087,0.23702069,0.39803238,0.19387780,0.27076751,0.42325857
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-03 00:00:00.000000,0.21225673,0.44984161,0.75736026,18,38,65,9,20,34,0.10842161,0.23501766,0.39741977,0.18138877,0.26472032,0.42013017
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-04 00:00:00.000000,0.22161587,0.45758398,0.75294947,19,39,64,9,20,33,0.11274864,0.23901635,0.39361485,0.17901401,0.26179012,0.41317443
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-05 00:00:00.000000,0.22479786,0.45680173,0.74347260,19,39,64,10,20,35,0.11702053,0.24001567,0.40630734,0.17888351,0.25108047,0.39699101
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-06 00:00:00.000000,0.23773692,0.46338137,0.76205958,20,39,65,9,20,35,0.11559386,0.24186260,0.41787560,0.17371283,0.24365230,0.38524462
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-07 00:00:00.000000,0.25329924,0.46342994,0.78949513,21,39,68,9,21,37,0.11555673,0.24722179,0.43406316,0.16885727,0.23984389,0.38086712
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-08 00:00:00.000000,0.25717215,0.46934949,0.81357141,22,40,70,10,21,39,0.11899232,0.24985639,0.45332058,0.15319828,0.23388349,0.35551798
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-09 00:00:00.000000,0.26557372,0.47681487,0.83601765,22,41,72,10,21,40,0.12011268,0.25350721,0.47436445,0.14475143,0.23382787,0.34104387
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-10 00:00:00.000000,0.27559707,0.47969937,0.86754655,23,41,74,10,22,42,0.12680006,0.25630864,0.49677640,0.14183796,0.23334364,0.34005486
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-11 00:00:00.000000,0.28082024,0.48923814,0.90803907,24,42,78,11,22,44,0.13080944,0.26389248,0.52030958,0.14058435,0.23226059,0.34181287
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-12 00:00:00.000000,0.28471365,0.50525479,0.94510855,24,43,81,11,22,46,0.13482627,0.26668184,0.54482118,0.13913849,0.22549768,0.35181335
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-13 00:00:00.000000,0.28637723,0.51945210,0.97955939,24,44,84,11,23,49,0.13856699,0.27416548,0.57023164,0.13845640,0.22227644,0.35991224
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-14 00:00:00.000000,0.28687461,0.53905486,1.02501501,24,46,88,11,24,50,0.13757657,0.28067694,0.59143262,0.13846586,0.22134165,0.35668701
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-15 00:00:00.000000,0.28689956,0.55855292,1.07128219,24,48,92,11,24,53,0.13610839,0.28300284,0.61555857,0.13906798,0.21788546,0.34585787
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-16 00:00:00.000000,0.28656466,0.57731118,1.11803020,24,49,96,11,24,55,0.13438207,0.28918495,0.64204263,0.14070365,0.21704568,0.33891291
19133,0,USIowaMonona,Iowa,Monona,2020-11-16 00:12:45.957143,2020-04-17 00:00:00.000000,0.28605815,0.58616464,1.16870698,24,50,100,11,25,57,0.13246645,0.29889884,0.66990053,0.14357634,0.21545073,0.33883138
