FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-09 00:00:00.000000,0.00809351,0.05039971,0.16004058,0,2,7,0,1,3,0.00362356,0.02626858,0.08157591,0.43399932,0.57464586,0.76050051
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-10 00:00:00.000000,0.00900637,0.05487403,0.17573741,0,2,8,0,1,3,0.00369147,0.02534805,0.07688074,0.43399933,0.57454993,0.76049892
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-11 00:00:00.000000,0.00994195,0.05942965,0.19059477,0,2,9,0,1,3,0.00390605,0.02573851,0.07579604,0.43399933,0.57444591,0.76049586
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-12 00:00:00.000000,0.01092379,0.06388550,0.20754906,0,3,10,0,1,3,0.00429565,0.02733247,0.07736481,0.43399932,0.57433343,0.76048995
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-13 00:00:00.000000,0.01238207,0.06893261,0.23233843,0,3,11,0,1,4,0.00478720,0.02854852,0.08397544,0.43399925,0.57421213,0.76047853
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-14 00:00:00.000000,0.01396207,0.07380711,0.25829823,0,3,12,0,1,4,0.00531870,0.03063920,0.09177279,0.42441468,0.57408176,0.76045649
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-15 00:00:00.000000,0.01546107,0.07901844,0.27631434,0,3,13,0,1,4,0.00592803,0.03228104,0.10049063,0.41537292,0.57366531,0.76041392
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-16 00:00:00.000000,0.01644510,0.08598648,0.29134922,0,4,14,0,1,5,0.00643763,0.03389516,0.10998400,0.41485762,0.56714593,0.76033177
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-17 00:00:00.000000,0.01748588,0.09205323,0.30697580,0,4,15,0,1,5,0.00689485,0.03579827,0.11815791,0.41219936,0.56458744,0.76017336
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-18 00:00:00.000000,0.01859842,0.09784396,0.32321593,0,4,15,0,1,6,0.00737284,0.03784793,0.13060275,0.39942893,0.55889441,0.75986853
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-19 00:00:00.000000,0.01980256,0.10443873,0.34006573,0,5,16,0,1,6,0.00787122,0.04064608,0.14292865,0.38167033,0.55300801,0.75895845
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-20 00:00:00.000000,0.02138913,0.11109406,0.35743367,1,5,17,0,2,7,0.00838926,0.04473300,0.15520590,0.37088632,0.53157174,0.75730813
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-21 00:00:00.000000,0.02317866,0.11732038,0.37492186,1,5,18,0,2,7,0.00892059,0.04916694,0.16261743,0.36677176,0.51397378,0.75467265
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-22 00:00:00.000000,0.02504814,0.12213130,0.39159891,1,5,19,0,2,8,0.00944203,0.05313070,0.16979998,0.35448139,0.48465965,0.73589592
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-23 00:00:00.000000,0.02591977,0.12718032,0.40674155,1,6,19,0,2,8,0.00992616,0.05579511,0.17697500,0.33414121,0.46866470,0.72537118
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-24 00:00:00.000000,0.02770192,0.13177671,0.42076130,1,6,20,0,2,9,0.01037018,0.05762554,0.18421777,0.32574630,0.45063418,0.72437112
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-25 00:00:00.000000,0.02892075,0.13921077,0.43626302,1,6,21,0,2,9,0.01078386,0.06049812,0.19157279,0.30531671,0.44238292,0.72026994
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-26 00:00:00.000000,0.03004561,0.14595463,0.45104066,1,7,22,0,3,9,0.01117786,0.06444058,0.19904848,0.29820523,0.42763699,0.71824378
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-27 00:00:00.000000,0.03119596,0.15054532,0.46492098,1,7,22,0,3,10,0.01156060,0.06960472,0.20664850,0.28511593,0.41592910,0.68533082
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-28 00:00:00.000000,0.03236261,0.15528825,0.47845087,1,7,23,0,3,10,0.01202773,0.07377962,0.21432765,0.28039923,0.41183279,0.66824499
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-29 00:00:00.000000,0.03352747,0.16027771,0.49167174,1,7,24,0,3,10,0.01285899,0.07662341,0.22189031,0.25440506,0.39193508,0.67269452
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-30 00:00:00.000000,0.03467112,0.16514752,0.50454950,1,8,24,0,3,11,0.01371925,0.07879617,0.22908244,0.23738023,0.37700782,0.66615853
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-03-31 00:00:00.000000,0.03578783,0.17039908,0.52281036,1,8,25,0,3,11,0.01459631,0.08090587,0.23583959,0.23060019,0.36895743,0.65168527
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-01 00:00:00.000000,0.03688957,0.17775319,0.53386525,1,8,26,0,4,11,0.01548907,0.08458709,0.24217034,0.23070782,0.36600639,0.64159019
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-02 00:00:00.000000,0.03799506,0.18502225,0.54174895,1,9,26,0,4,12,0.01640474,0.08919216,0.24797229,0.23078927,0.35883528,0.64150482
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-03 00:00:00.000000,0.03912502,0.19485749,0.56479603,1,9,27,0,4,12,0.01735276,0.09516814,0.25912335,0.22917627,0.35374690,0.64168101
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-04 00:00:00.000000,0.04029498,0.20912241,0.58981711,1,10,28,0,4,13,0.01834293,0.09927432,0.27656151,0.21316060,0.35071907,0.63564365
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-05 00:00:00.000000,0.04149679,0.21782702,0.61461461,2,10,30,0,5,14,0.01938885,0.10354302,0.29315317,0.19653863,0.33607972,0.62193590
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-06 00:00:00.000000,0.04271843,0.22126292,0.63919107,2,10,31,1,5,15,0.02050023,0.10705668,0.30918537,0.18984717,0.32577655,0.59912167
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-07 00:00:00.000000,0.04394434,0.22328667,0.66363727,2,10,32,1,5,15,0.02167935,0.11004130,0.32493801,0.18871907,0.31165850,0.56873306
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-08 00:00:00.000000,0.04514652,0.22829284,0.68808169,2,11,33,1,5,16,0.02292732,0.11503417,0.33584902,0.18607718,0.30956107,0.56533544
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-09 00:00:00.000000,0.04627999,0.23062446,0.71261349,2,11,34,1,5,16,0.02424473,0.11825248,0.33626198,0.19031956,0.30559445,0.56052236
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-10 00:00:00.000000,0.04728782,0.22855099,0.73717672,2,11,36,1,5,16,0.02497222,0.12062559,0.33518005,0.19052983,0.30721889,0.55464310
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-11 00:00:00.000000,0.04812485,0.23004648,0.76141105,2,11,37,1,5,16,0.02559561,0.12016393,0.33278216,0.16563937,0.30495626,0.54878680
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-12 00:00:00.000000,0.04878406,0.23469907,0.78449732,2,11,38,1,6,16,0.02615829,0.12297895,0.33766754,0.15095131,0.30121820,0.54400503
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-13 00:00:00.000000,0.04929273,0.23319062,0.80537742,2,11,39,1,6,17,0.02647480,0.12367564,0.34953155,0.15019575,0.29847176,0.54056237
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-14 00:00:00.000000,0.04968341,0.23527061,0.82361988,2,11,40,1,6,17,0.02632390,0.12405208,0.36100512,0.14977573,0.28942503,0.53811339
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-15 00:00:00.000000,0.04996844,0.23808668,0.83980551,2,11,41,1,6,18,0.02615728,0.12567911,0.37186414,0.14944545,0.27582659,0.51639947
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-16 00:00:00.000000,0.05012977,0.24450150,0.85430442,2,11,41,1,6,18,0.02598943,0.12681631,0.38200899,0.14326186,0.27238579,0.50167053
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-17 00:00:00.000000,0.05013255,0.24354182,0.86798025,2,11,42,1,6,19,0.02583090,0.13108258,0.39124942,0.14327290,0.26863117,0.49016455
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-18 00:00:00.000000,0.04996585,0.24505859,0.88156407,2,11,43,1,6,19,0.02567670,0.13222838,0.39965236,0.14603078,0.26925222,0.47316039
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-19 00:00:00.000000,0.04966388,0.24432039,0.89520734,2,11,43,1,6,19,0.02552799,0.13221988,0.40762255,0.14621561,0.26396154,0.44473075
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-20 00:00:00.000000,0.04927784,0.24420978,0.90897009,2,11,44,1,6,20,0.02538468,0.13379386,0.41527525,0.14419440,0.25382064,0.44223923
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-21 00:00:00.000000,0.04969659,0.24391469,0.92282919,2,11,45,1,6,20,0.02524624,0.13440088,0.42270434,0.14215569,0.24770954,0.43490572
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-22 00:00:00.000000,0.05092424,0.24184812,0.93644451,2,11,45,1,6,21,0.02517426,0.13429437,0.42997755,0.14187497,0.24518511,0.38752322
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-23 00:00:00.000000,0.05229836,0.23735185,0.94805629,2,11,46,1,6,21,0.02605230,0.13452792,0.43710471,0.13916075,0.24289761,0.39390673
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-24 00:00:00.000000,0.05294323,0.23457949,0.94661339,2,11,46,1,6,21,0.02694126,0.13353944,0.44388102,0.13825859,0.24155256,0.38756002
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-25 00:00:00.000000,0.05334305,0.23497914,0.93773497,2,11,45,1,6,22,0.02702666,0.13291816,0.44984728,0.13651685,0.23919903,0.37436343
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-26 00:00:00.000000,0.05500670,0.23525900,0.92855745,2,11,45,1,6,22,0.02674413,0.13136950,0.45428958,0.13479211,0.23277191,0.37520864
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-27 00:00:00.000000,0.05639237,0.23482701,0.91898415,2,11,44,1,6,22,0.02644747,0.13023680,0.45020475,0.13443212,0.22559210,0.37218746
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-28 00:00:00.000000,0.05585695,0.23329342,0.90892592,2,11,44,1,6,21,0.02613574,0.12861568,0.44599661,0.13360663,0.22048598,0.36676096
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-29 00:00:00.000000,0.05531303,0.23188548,0.89807283,2,11,43,1,6,21,0.02579598,0.12739910,0.44163474,0.13280973,0.21692345,0.36333917
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-04-30 00:00:00.000000,0.05475576,0.22828430,0.88530839,2,11,43,1,6,21,0.02552157,0.12625882,0.43705630,0.13275596,0.21514689,0.35976109
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-01 00:00:00.000000,0.05409417,0.22367234,0.86871222,2,10,42,1,6,21,0.02529295,0.12503655,0.43206653,0.13256271,0.21312515,0.35726945
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-02 00:00:00.000000,0.05317951,0.22087042,0.84846799,2,10,41,1,5,20,0.02492233,0.12217052,0.42626754,0.12852337,0.21087248,0.36014777
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-03 00:00:00.000000,0.05215751,0.21751825,0.82657638,2,10,40,1,5,20,0.02457620,0.11899959,0.41939465,0.11964153,0.20829831,0.36512363
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-04 00:00:00.000000,0.08762475,0.25635903,0.84786018,4,12,41,1,5,20,0.02426379,0.11568771,0.41152753,0.11214022,0.20401878,0.37005553
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-05 00:00:00.000000,0.12097677,0.28024082,0.93225970,5,13,45,1,6,19,0.03199050,0.12348959,0.40823858,0.11082840,0.20496330,0.36148697
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-06 00:00:00.000000,0.13179608,0.32056679,0.92938841,6,15,45,2,6,19,0.04313587,0.13454481,0.40835507,0.11102321,0.20240540,0.36282965
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-07 00:00:00.000000,0.14255535,0.34391511,0.92416700,6,16,45,2,7,20,0.04928096,0.14910043,0.41099895,0.11157437,0.19706464,0.36442203
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-08 00:00:00.000000,0.15358536,0.37546483,0.96246448,7,18,47,2,7,20,0.05361276,0.16012294,0.41977237,0.11194468,0.19272084,0.35709478
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-09 00:00:00.000000,0.16550721,0.40338393,1.03313478,8,19,50,3,8,22,0.06143717,0.16904105,0.45233908,0.11192428,0.19034835,0.34837766
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-10 00:00:00.000000,0.18160439,0.43202796,1.10474000,8,21,54,3,9,22,0.06813335,0.18459711,0.45581068,0.11104734,0.19023532,0.33888106
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-11 00:00:00.000000,0.22506682,0.45807852,1.14018291,11,22,55,3,9,23,0.07518366,0.19287944,0.48894963,0.10588721,0.18588930,0.33159703
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-12 00:00:00.000000,0.26373901,0.51038734,1.20444642,12,24,58,4,10,26,0.08256485,0.21139264,0.53623615,0.10757292,0.18435047,0.33152978
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-13 00:00:00.000000,0.29399001,0.55473757,1.32675176,14,27,64,4,11,29,0.09272505,0.22803772,0.59798417,0.10587888,0.18150793,0.33071144
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-14 00:00:00.000000,0.31664453,0.58849298,1.44725911,15,28,70,5,12,31,0.11364002,0.24752536,0.63421418,0.10822710,0.17797902,0.30491462
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-15 00:00:00.000000,0.33878879,0.63360134,1.56636261,16,31,76,6,13,32,0.13740420,0.27043611,0.66953419,0.10496141,0.17574941,0.30462578
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-16 00:00:00.000000,0.35068366,0.67057078,1.60121298,17,32,78,7,14,34,0.15279453,0.28783748,0.70363220,0.10639545,0.17458389,0.30102753
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-17 00:00:00.000000,0.35387346,0.70659588,1.61812167,17,34,79,7,14,35,0.15860705,0.30050206,0.73496043,0.10705377,0.17343401,0.31606090
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-18 00:00:00.000000,0.37684052,0.73350760,1.69446638,18,35,82,8,15,37,0.16412214,0.31445672,0.76502740,0.10493236,0.17203548,0.31688964
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-19 00:00:00.000000,0.40018071,0.75632067,1.76447346,19,37,86,8,16,38,0.17508707,0.33457495,0.79297441,0.10199185,0.17070914,0.31772823
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-20 00:00:00.000000,0.42315643,0.78892983,1.82569628,20,38,89,9,17,40,0.19160340,0.35379624,0.81916998,0.10026823,0.16960448,0.31763247
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-21 00:00:00.000000,0.44511918,0.82864860,1.84652347,21,40,90,10,18,41,0.20444568,0.38164769,0.84392869,0.09771880,0.16861800,0.30905146
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-22 00:00:00.000000,0.46654752,0.87667669,1.90072234,22,42,93,10,19,42,0.21478569,0.40348247,0.86749962,0.09506776,0.16641021,0.30318216
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-23 00:00:00.000000,0.48729536,0.90560772,1.95250369,23,44,95,11,21,43,0.22520042,0.43703412,0.89003286,0.08993977,0.16336027,0.30296587
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-24 00:00:00.000000,0.50649247,0.92340903,2.00114145,24,45,97,11,22,44,0.23586821,0.46272455,0.91149843,0.08541641,0.16157956,0.30276595
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-25 00:00:00.000000,0.52159635,0.97429656,2.00151967,25,47,97,11,23,46,0.24475147,0.48121664,0.95117145,0.08431209,0.15940081,0.29332390
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-26 00:00:00.000000,0.54511348,1.00121589,1.99590846,26,48,97,12,24,49,0.25984545,0.49894450,1.00229123,0.08375997,0.15928755,0.28553225
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-27 00:00:00.000000,0.55118025,1.03613858,1.98063280,26,50,96,13,24,50,0.27813644,0.50960436,1.03526643,0.08303759,0.15759405,0.28063902
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-28 00:00:00.000000,0.56594432,1.05403950,1.95473139,27,51,95,14,25,51,0.29183630,0.51660929,1.04520555,0.08141346,0.15779058,0.27997588
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-29 00:00:00.000000,0.57959234,1.06694125,1.97475289,28,52,96,14,26,51,0.29867200,0.53634899,1.05151472,0.07849606,0.15675904,0.28263057
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-30 00:00:00.000000,0.57413824,1.09889143,1.98201050,28,53,96,14,26,51,0.29880398,0.54002443,1.05497905,0.07550718,0.15338658,0.28408452
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-05-31 00:00:00.000000,0.56788641,1.11704649,2.00091786,27,54,97,14,27,51,0.29240591,0.55327533,1.05621409,0.07379010,0.14931066,0.27770887
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-01 00:00:00.000000,0.58077764,1.14923948,2.01241337,28,56,98,13,27,51,0.28572931,0.56335687,1.05568840,0.07209775,0.14650082,0.27437931
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-02 00:00:00.000000,0.59361423,1.18702674,2.01272409,29,58,98,13,28,51,0.28225115,0.58232687,1.05396029,0.07127099,0.14712912,0.27337142
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-03 00:00:00.000000,0.60619024,1.20827760,2.01026550,29,59,98,13,29,51,0.28263157,0.60071719,1.05380796,0.07096728,0.14814181,0.26331719
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-04 00:00:00.000000,0.61896189,1.24618276,2.00581732,30,60,98,14,29,52,0.29760230,0.61162871,1.06715999,0.07082387,0.14926540,0.25185503
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-05 00:00:00.000000,0.63246051,1.27061777,2.01711111,30,62,98,15,30,52,0.31257646,0.62003008,1.07615006,0.07055698,0.14868848,0.24651928
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-06 00:00:00.000000,0.65285006,1.28381472,2.06735567,31,62,101,15,31,52,0.31828951,0.64618854,1.08191066,0.06933003,0.14889571,0.25034964
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-07 00:00:00.000000,0.66140240,1.28542615,2.15554045,32,62,105,15,32,53,0.32578228,0.66586787,1.08525936,0.06486814,0.14402733,0.25224747
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-08 00:00:00.000000,0.71673344,1.29612765,2.14960554,35,63,105,16,32,53,0.33753434,0.67399607,1.09549092,0.06632736,0.14285471,0.25363827
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-09 00:00:00.000000,0.73700212,1.32337102,2.20918625,36,64,108,16,32,54,0.34458716,0.67290301,1.11453393,0.06845892,0.14436153,0.25398627
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-10 00:00:00.000000,0.74578253,1.34976734,2.31924144,36,66,113,17,33,55,0.34825069,0.68325103,1.13309401,0.06900109,0.14806807,0.24909852
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-11 00:00:00.000000,0.75343334,1.35238146,2.42519222,36,66,118,17,33,56,0.35178429,0.68360398,1.15125549,0.06761999,0.14818506,0.24755134
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-12 00:00:00.000000,0.76014142,1.36305112,2.47824832,37,66,121,18,33,57,0.37920625,0.68622924,1.16922924,0.06846814,0.14378232,0.25120574
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-13 00:00:00.000000,0.76589378,1.35751440,2.48181336,37,66,121,18,33,58,0.37823939,0.68822211,1.18730318,0.06864063,0.14120516,0.25062829
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-14 00:00:00.000000,0.77040784,1.34057201,2.48217381,37,65,121,18,33,59,0.37458264,0.68670608,1.20573268,0.06868020,0.14225838,0.24653113
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-15 00:00:00.000000,0.78558855,1.32798265,2.47927879,38,64,121,18,33,59,0.37085923,0.67901513,1.22463752,0.06876090,0.14096221,0.23729699
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-16 00:00:00.000000,0.79961608,1.32596592,2.46321869,39,64,120,18,33,60,0.37568936,0.68775829,1.24070211,0.06900504,0.13945275,0.23688520
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-17 00:00:00.000000,0.81362229,1.32691800,2.44306112,39,64,119,18,33,61,0.38702663,0.69082022,1.25470644,0.06953890,0.13768329,0.23654221
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-18 00:00:00.000000,0.79836916,1.31677740,2.43460442,39,64,119,19,33,62,0.40321537,0.68774294,1.26717905,0.07016705,0.13780804,0.23628095
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-19 00:00:00.000000,0.81235233,1.31613420,2.41616224,39,64,118,20,33,62,0.42300041,0.68744780,1.27848722,0.07051842,0.13766857,0.23606130
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-20 00:00:00.000000,0.81083178,1.33076429,2.38386995,39,65,116,20,33,63,0.41565768,0.69463906,1.28889488,0.07065461,0.13793479,0.23536930
19159,0,USIowaRinggold,Iowa,Ringgold,2020-11-16 00:06:17.537240,2020-06-21 00:00:00.000000,0.80609582,1.34852882,2.36714221,39,65,115,20,34,63,0.41980874,0.70142356,1.29861027,0.06785141,0.14209196,0.23311771
