FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-09 00:00:00.000000,0.00129130,0.00729962,0.01893909,0,3,9,0,2,5,0.00058993,0.00390722,0.01121428,0.39763457,0.58099551,0.81652104
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-10 00:00:00.000000,0.00146533,0.00794373,0.02078589,0,4,10,0,2,5,0.00064211,0.00401120,0.01104580,0.39763366,0.58094409,0.81651840
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-11 00:00:00.000000,0.00165524,0.00877292,0.02271190,0,4,11,0,2,5,0.00072854,0.00424463,0.01150243,0.39763181,0.58081104,0.81650989
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-12 00:00:00.000000,0.00186650,0.00959188,0.02479004,0,4,12,0,2,6,0.00083429,0.00454507,0.01230355,0.39762807,0.58046747,0.81648110
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-13 00:00:00.000000,0.00210343,0.01036105,0.02756524,1,5,14,0,2,6,0.00095414,0.00488215,0.01325043,0.39762059,0.57958533,0.81638073
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-14 00:00:00.000000,0.00237014,0.01133204,0.03000345,1,5,15,0,2,7,0.00108759,0.00539768,0.01435773,0.39760589,0.57735454,0.81602503
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-15 00:00:00.000000,0.00267091,0.01231093,0.03225151,1,6,16,0,3,7,0.00123581,0.00597942,0.01551620,0.39757797,0.57697273,0.81475639
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-16 00:00:00.000000,0.00551297,0.01672447,0.03963398,2,8,20,0,3,8,0.00140083,0.00651221,0.01694937,0.39752832,0.57480839,0.81026115
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-17 00:00:00.000000,0.00759305,0.02073775,0.04586046,3,10,23,0,4,9,0.00192125,0.00790598,0.01927466,0.39747957,0.56615265,0.79493461
19181,0,USIowaWarren,Iowa,Warren,2020-10-17 00:14:01.221149,2020-03-18 00:00:00.000000,0.01080708,0.02558237,0.05249389,5,13,27,1,4,11,0.00288560,0.00965246,0.02207234,0.39744773,0.56230900,0.74922146
