FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-09 00:00:00.000000,0.00387999,0.02912650,0.10792532,0,1,6,0,1,4,0.00186260,0.01656916,0.06539975,0.36934119,0.53029771,0.75038836
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-10 00:00:00.000000,0.00450914,0.03141686,0.10879663,0,2,7,0,1,3,0.00206696,0.01640060,0.05598412,0.36921488,0.53029742,0.75038516
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-11 00:00:00.000000,0.00488239,0.03353393,0.11694111,0,2,7,0,1,3,0.00229883,0.01694031,0.05179666,0.36900093,0.53029667,0.75037754
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-12 00:00:00.000000,0.00527877,0.03683806,0.13173524,0,2,8,0,1,3,0.00242901,0.01818470,0.05316275,0.36863937,0.53029472,0.75035897
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-13 00:00:00.000000,0.00570139,0.04031260,0.14781096,0,2,9,0,1,3,0.00260663,0.01952399,0.06108357,0.36803089,0.53028942,0.75031290
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-14 00:00:00.000000,0.00615256,0.04327216,0.16164844,0,2,10,0,1,4,0.00281365,0.02030162,0.06951392,0.36701419,0.53027475,0.75019672
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-15 00:00:00.000000,0.00663262,0.04534852,0.17414640,0,2,11,0,1,5,0.00304194,0.02207943,0.07856970,0.36533597,0.53023192,0.74989972
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-16 00:00:00.000000,0.00713612,0.04902837,0.18714741,0,3,12,0,1,5,0.00328778,0.02400054,0.08837262,0.36262092,0.52657326,0.74913285
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-17 00:00:00.000000,0.00764331,0.05257399,0.19955908,0,3,12,0,1,6,0.00354821,0.02539693,0.09904468,0.35836813,0.51304514,0.74714408
19185,0,USIowaWayne,Iowa,Wayne,2020-10-27 22:40:49.429647,2020-03-18 00:00:00.000000,0.00811598,0.05555441,0.20903631,0,3,13,0,1,6,0.00381705,0.02740484,0.10797132,0.35203168,0.50078257,0.74608072
