FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-09 00:00:00.000000,0.00270113,0.02597330,0.06683093,0,6,17,0,3,9,0.00136050,0.01345753,0.03691146,0.41916159,0.55335210,0.84892530
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-10 00:00:00.000000,0.00316251,0.02675345,0.06888039,0,6,17,0,3,9,0.00124394,0.01250561,0.03500007,0.41916215,0.55333910,0.84892519
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-11 00:00:00.000000,0.00364206,0.02754804,0.07459368,0,7,19,0,3,8,0.00123016,0.01193018,0.03315596,0.41916373,0.55331114,0.84892460
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-12 00:00:00.000000,0.00410345,0.02875843,0.08033320,1,7,20,0,3,8,0.00130550,0.01198830,0.03221991,0.41916820,0.55325109,0.84892118
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-13 00:00:00.000000,0.00455917,0.02966446,0.08566269,1,7,22,0,3,8,0.00142010,0.01208754,0.03210721,0.41918086,0.55312230,0.84890126
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-14 00:00:00.000000,0.00501915,0.03092098,0.08865237,1,7,22,0,3,8,0.00155830,0.01223526,0.03269558,0.41921661,0.55284717,0.84878303
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-15 00:00:00.000000,0.00549149,0.03302403,0.09170560,1,8,23,0,3,8,0.00171227,0.01259428,0.03438729,0.41931716,0.55226498,0.84806476
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-16 00:00:00.000000,0.01267207,0.04132396,0.10053171,3,10,25,0,3,9,0.00187807,0.01310070,0.03635177,0.40390631,0.55105834,0.81793855
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-17 00:00:00.000000,0.01986469,0.04961333,0.11583511,5,12,29,0,3,10,0.00297504,0.01470194,0.04024510,0.39184526,0.54532407,0.78286795
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-18 00:00:00.000000,0.02453385,0.05878944,0.13173656,6,15,33,1,4,11,0.00468815,0.01704375,0.04491574,0.37147149,0.54017674,0.72406065
20009,0,USKansasBarton,Kansas,Barton,2020-10-17 03:37:44.880742,2020-03-19 00:00:00.000000,0.02788447,0.06659998,0.14819748,7,17,38,1,5,12,0.00688521,0.01970716,0.04933643,0.35212640,0.52531554,0.66861755
