FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-09 00:00:00.000000,0.00167470,0.01487279,0.07839286,0,1,5,0,0,3,0.00084717,0.00807748,0.04597502,0.38333371,0.53413819,0.72162014
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-10 00:00:00.000000,0.00186720,0.01708434,0.08518182,0,1,6,0,0,3,0.00087889,0.00805648,0.04430572,0.38333388,0.53353828,0.72160088
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-11 00:00:00.000000,0.00206592,0.01928151,0.09196454,0,1,6,0,0,3,0.00093296,0.00889351,0.04435055,0.38333417,0.53316020,0.72156981
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-12 00:00:00.000000,0.00227548,0.02155570,0.09890730,0,1,7,0,0,3,0.00100468,0.00982330,0.04538024,0.38333466,0.53276763,0.72151868
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-13 00:00:00.000000,0.00249957,0.02433886,0.10456705,0,1,7,0,0,3,0.00109122,0.01077009,0.04703620,0.38333550,0.53170669,0.72143227
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-14 00:00:00.000000,0.00274138,0.02731739,0.10986789,0,1,7,0,0,3,0.00119097,0.01184667,0.04994780,0.38333707,0.52757574,0.72128120
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-15 00:00:00.000000,0.00300375,0.03024567,0.11541658,0,2,8,0,0,3,0.00130324,0.01318894,0.05327950,0.38334053,0.51777668,0.72100638
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-16 00:00:00.000000,0.00328933,0.03318649,0.12121893,0,2,8,0,1,4,0.00142792,0.01471255,0.05695438,0.38314538,0.51128176,0.72048520
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-17 00:00:00.000000,0.00360034,0.03637200,0.12724716,0,2,9,0,1,4,0.00156534,0.01639174,0.06094017,0.36160544,0.50311266,0.71945940
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-18 00:00:00.000000,0.00393707,0.03981903,0.13330516,0,2,9,0,1,4,0.00171611,0.01813928,0.06522293,0.34278253,0.49195693,0.71739523
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-19 00:00:00.000000,0.00429314,0.04213336,0.13860477,0,3,9,0,1,4,0.00188074,0.01966695,0.06979518,0.32608524,0.47636884,0.71327754
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-20 00:00:00.000000,0.00465532,0.04418997,0.14216087,0,3,10,0,1,5,0.00205877,0.02107565,0.07463760,0.31197420,0.46508895,0.70557167
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-21 00:00:00.000000,0.00502703,0.04603551,0.14440373,0,3,10,0,1,5,0.00224799,0.02196260,0.07769988,0.28811039,0.44326989,0.69303135
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-22 00:00:00.000000,0.00536586,0.04778196,0.14605745,0,3,10,0,1,5,0.00244717,0.02288639,0.07991130,0.27544824,0.42406783,0.67798525
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-23 00:00:00.000000,0.00566900,0.04988958,0.14718356,0,3,10,0,1,5,0.00265740,0.02391558,0.08166128,0.26418370,0.40949625,0.66212664
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-24 00:00:00.000000,0.00599019,0.05271588,0.15341264,0,3,10,0,1,5,0.00288057,0.02476283,0.08297489,0.24871473,0.40110267,0.65055763
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-25 00:00:00.000000,0.00632923,0.05470537,0.15960830,0,3,11,0,1,5,0.00311852,0.02640589,0.08381470,0.22943370,0.38823790,0.64090805
20095,0,USKansasKingman,Kansas,Kingman,2020-12-05 14:24:22.518292,2020-03-26 00:00:00.000000,0.00667869,0.05845757,0.16519409,0,4,11,0,2,6,0.00337262,0.02797695,0.08418080,0.21092247,0.38680258,0.63215944
