FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-09 00:00:00.000000,0.00378492,0.06113757,0.24375453,0,1,7,0,0,4,0.00163050,0.03342940,0.14576743,0.39834063,0.54962448,0.78870443
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-10 00:00:00.000000,0.00439864,0.06903263,0.25404696,0,2,7,0,0,3,0.00182152,0.03288466,0.13401249,0.39833997,0.54948308,0.78870430
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-11 00:00:00.000000,0.00502668,0.07640887,0.26520200,0,2,7,0,0,3,0.00208686,0.03285043,0.12951090,0.39833890,0.54946897,0.78870401
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-12 00:00:00.000000,0.00568273,0.08360211,0.27707508,0,2,8,0,1,3,0.00239706,0.03382952,0.12755965,0.39833721,0.54943818,0.78870313
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-13 00:00:00.000000,0.00637760,0.08911693,0.28956973,0,2,8,0,1,3,0.00275583,0.03593406,0.12340340,0.39833452,0.54937095,0.78869937
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-14 00:00:00.000000,0.00712071,0.09657597,0.30263675,0,2,8,0,1,3,0.00317639,0.03859675,0.12528938,0.39833032,0.54866255,0.78867643
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-15 00:00:00.000000,0.00798337,0.10437702,0.30702842,0,3,9,0,1,3,0.00363469,0.04172477,0.13333951,0.39832397,0.54726165,0.78850216
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-16 00:00:00.000000,0.00897171,0.11264622,0.30863811,0,3,9,0,1,4,0.00413261,0.04474708,0.14155364,0.39831517,0.53973351,0.78705862
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-17 00:00:00.000000,0.01004929,0.12145918,0.30969330,0,3,9,0,1,4,0.00467378,0.04891052,0.14987892,0.39830762,0.53647397,0.77516042
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-18 00:00:00.000000,0.01122310,0.12985725,0.32461810,0,3,9,0,1,4,0.00526273,0.05311484,0.15829700,0.39080518,0.53128417,0.71609239
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-19 00:00:00.000000,0.01249524,0.13702686,0.33994876,0,4,10,0,1,4,0.00590391,0.05764115,0.16680962,0.36978097,0.52123203,0.71482188
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-20 00:00:00.000000,0.01386353,0.14753530,0.35552558,0,4,10,0,1,5,0.00660058,0.06117982,0.17542824,0.33988652,0.51036231,0.70334827
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-21 00:00:00.000000,0.01531977,0.15678841,0.37097306,0,4,10,0,1,5,0.00735423,0.06502841,0.18415830,0.31584233,0.48946135,0.66123105
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-22 00:00:00.000000,0.01684978,0.16503026,0.38438652,0,4,11,0,2,5,0.00816377,0.07100516,0.19293274,0.30277399,0.46850996,0.63253808
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-23 00:00:00.000000,0.01840980,0.17295657,0.41265354,0,5,12,0,2,5,0.00902514,0.07629307,0.20134361,0.28740844,0.44537419,0.60316562
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-24 00:00:00.000000,0.01987700,0.18312035,0.45196236,0,5,13,0,2,6,0.00950391,0.07946123,0.20853712,0.27242855,0.42888620,0.59923682
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-25 00:00:00.000000,0.02119739,0.19355629,0.47385397,0,5,14,0,2,6,0.00991922,0.08246188,0.21426830,0.25748418,0.42096128,0.60105499
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-26 00:00:00.000000,0.02248375,0.20027787,0.48746337,0,5,14,0,2,6,0.01031545,0.08740075,0.21977589,0.24519097,0.40650522,0.56659603
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-27 00:00:00.000000,0.02380835,0.20546499,0.49714573,0,6,14,0,2,6,0.01069325,0.09347840,0.23525548,0.21982125,0.39361561,0.55636901
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-28 00:00:00.000000,0.02518610,0.21035036,0.50441070,0,6,14,0,2,7,0.01106303,0.09795074,0.24198802,0.21378339,0.38395823,0.55535985
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-29 00:00:00.000000,0.02660505,0.21667980,0.51070916,0,6,15,0,2,7,0.01186782,0.10058964,0.24752378,0.20785526,0.37474277,0.55274023
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-30 00:00:00.000000,0.02802750,0.22356667,0.52837553,0,6,15,0,3,7,0.01267604,0.10391227,0.25343989,0.20814707,0.35031364,0.54528679
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-03-31 00:00:00.000000,0.02920497,0.23028190,0.56094110,0,6,16,0,3,8,0.01346555,0.10846267,0.27073538,0.20668606,0.34401482,0.52514946
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-04-01 00:00:00.000000,0.02991278,0.23659848,0.58939092,0,7,17,0,3,8,0.01423262,0.11293056,0.28835821,0.20615501,0.33976313,0.48052267
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-04-02 00:00:00.000000,0.03063270,0.24258053,0.60919945,0,7,18,0,3,9,0.01498716,0.11739897,0.30511791,0.20602460,0.33089354,0.44933672
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-04-03 00:00:00.000000,0.03135917,0.24499296,0.61980888,0,7,18,0,3,9,0.01574115,0.11999929,0.31921065,0.19869623,0.32044727,0.43764585
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-04-04 00:00:00.000000,0.03208560,0.24551153,0.62529252,0,7,18,0,3,9,0.01649948,0.12117503,0.32948584,0.19833881,0.30824018,0.43309059
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-04-05 00:00:00.000000,0.03271725,0.25178798,0.62799425,0,7,18,0,3,9,0.01724603,0.12362598,0.33635444,0.19779569,0.29878319,0.41807508
20105,0,USKansasLincoln,Kansas,Lincoln,2020-11-15 23:41:34.173595,2020-04-06 00:00:00.000000,0.03330498,0.25639663,0.62877230,0,7,18,0,3,10,0.01792047,0.12599691,0.34059173,0.19044636,0.29021655,0.41649736
