FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-09 00:00:00.000000,0.01781927,0.06189578,0.17679560,1,3,10,0,1,5,0.00283749,0.02804407,0.09927687,0.30350615,0.44922983,0.63885141
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-10 00:00:00.000000,0.02703144,0.07896204,0.19927138,1,4,11,0,1,6,0.00646055,0.02979699,0.10067243,0.30350018,0.44922648,0.63880256
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-11 00:00:00.000000,0.03510914,0.09609744,0.22304402,2,5,13,0,2,6,0.00948748,0.03411133,0.10253399,0.30347927,0.44921734,0.63867094
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-12 00:00:00.000000,0.04338525,0.11411375,0.24821815,2,6,14,0,2,6,0.01336495,0.03958599,0.11237539,0.30340617,0.44918932,0.63831677
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-13 00:00:00.000000,0.05411186,0.13290989,0.28481598,3,7,17,0,2,7,0.01563264,0.04850372,0.12421028,0.30315092,0.44909561,0.63736683
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-14 00:00:00.000000,0.06556405,0.15382964,0.32661481,3,9,19,1,3,8,0.01822884,0.05848395,0.13750321,0.30226601,0.44876566,0.63484153
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-15 00:00:00.000000,0.07780198,0.17598705,0.36614649,4,10,21,1,4,9,0.02272592,0.06890045,0.15193234,0.29927225,0.44366417,0.62828426
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-16 00:00:00.000000,0.10023490,0.20405246,0.40768767,5,12,24,1,4,10,0.02786046,0.07757119,0.16931279,0.28992561,0.43600106,0.61224938
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-17 00:00:00.000000,0.11747237,0.22954641,0.44988814,7,13,26,2,5,11,0.03660646,0.08883651,0.19201821,0.26746956,0.42855125,0.60880615
20123,0,USKansasMitchell,Kansas,Mitchell,2020-10-16 23:59:40.895805,2020-03-18 00:00:00.000000,0.13782946,0.25695170,0.49330819,8,15,29,2,6,12,0.04789719,0.10237929,0.21662153,0.23225985,0.40802817,0.60825952
