FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-09 00:00:00.000000,0.00338166,0.02441811,0.07228564,0,3,11,0,2,6,0.00188483,0.01373492,0.04055038,0.38895110,0.51574519,0.70901553
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-10 00:00:00.000000,0.00413249,0.02711140,0.07645047,0,4,12,0,2,6,0.00198617,0.01344777,0.04137949,0.38895075,0.51562492,0.70901553
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-11 00:00:00.000000,0.00489569,0.02995626,0.08062023,0,4,12,0,2,6,0.00224695,0.01399379,0.04293131,0.38894997,0.51557706,0.70901550
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-12 00:00:00.000000,0.00570494,0.03252293,0.08541092,0,5,13,0,2,7,0.00261017,0.01500453,0.04501823,0.38894827,0.51557698,0.70901525
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-13 00:00:00.000000,0.00658414,0.03489803,0.09028709,1,5,14,0,2,7,0.00304874,0.01587920,0.04759259,0.38894452,0.51080211,0.70901320
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-14 00:00:00.000000,0.00755258,0.03726524,0.09529144,1,5,15,0,2,8,0.00336491,0.01664086,0.05047274,0.38893633,0.50844629,0.70899702
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-15 00:00:00.000000,0.00862740,0.03972242,0.10027657,1,6,15,0,2,8,0.00366895,0.01759186,0.05366129,0.38771303,0.50054401,0.70886958
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-16 00:00:00.000000,0.01564504,0.04882834,0.11964011,2,7,19,0,3,9,0.00399448,0.01890359,0.05662308,0.37032747,0.49814655,0.70787125
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-17 00:00:00.000000,0.02134053,0.05866349,0.14001384,3,9,22,0,3,9,0.00540407,0.02172291,0.06175631,0.35103731,0.49654373,0.70033828
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-18 00:00:00.000000,0.02721224,0.07155675,0.15727054,4,11,25,1,3,11,0.00757001,0.02501157,0.06939085,0.33126395,0.48102162,0.65746824
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-19 00:00:00.000000,0.02997744,0.08552421,0.18359513,4,13,29,1,4,12,0.00992631,0.02970923,0.08090275,0.31256384,0.46394657,0.65375560
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-20 00:00:00.000000,0.03610007,0.09567496,0.21294529,5,15,33,2,5,14,0.01262444,0.03724170,0.09130129,0.29554049,0.43875966,0.64488924
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-21 00:00:00.000000,0.04339517,0.10739291,0.23447016,6,17,37,2,6,16,0.01538990,0.04371959,0.10208808,0.26888292,0.40949543,0.63707444
20139,0,USKansasOsage,Kansas,Osage,2020-11-15 23:24:47.617583,2020-03-22 00:00:00.000000,0.05117952,0.11881192,0.25436608,8,18,40,2,7,18,0.01837066,0.04786725,0.11299960,0.24463965,0.38584530,0.62967029
