FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-09 00:00:00.000000,0.00818437,0.04763671,0.23061060,0,2,10,0,1,6,0.00475301,0.02590221,0.14697603,0.34526922,0.52144784,0.70670230
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-10 00:00:00.000000,0.01000232,0.05265459,0.24548074,0,2,11,0,1,6,0.00495616,0.02586202,0.13979000,0.34526724,0.52142528,0.70669763
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-11 00:00:00.000000,0.01188427,0.05744663,0.26078040,0,2,12,0,1,6,0.00557551,0.02702343,0.13999565,0.34526381,0.52138419,0.70668290
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-12 00:00:00.000000,0.01391420,0.06243191,0.27562319,0,2,12,0,1,6,0.00645213,0.02893945,0.13848610,0.34525783,0.52130939,0.70663632
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-13 00:00:00.000000,0.01614867,0.06761723,0.28196166,0,3,13,0,1,6,0.00751941,0.03101299,0.13859643,0.34524727,0.51856271,0.70648915
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-14 00:00:00.000000,0.01809746,0.07302767,0.28859082,0,3,13,0,1,6,0.00875361,0.03293489,0.14001306,0.34522802,0.51853373,0.70602542
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-15 00:00:00.000000,0.01893944,0.07869374,0.29533771,0,3,13,0,1,6,0.00974808,0.03506961,0.14224758,0.32736354,0.51846160,0.70420880
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-16 00:00:00.000000,0.02037008,0.08508321,0.30193003,0,3,13,0,1,6,0.01028712,0.03738332,0.14498164,0.31230454,0.51828905,0.67507949
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-17 00:00:00.000000,0.02301060,0.09283396,0.30792789,1,4,14,0,1,6,0.01083721,0.04052469,0.14797484,0.30873561,0.50028147,0.66800336
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-18 00:00:00.000000,0.02595582,0.10032321,0.31282921,1,4,14,0,2,7,0.01178161,0.04401794,0.15162525,0.30516469,0.48506247,0.65946242
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-19 00:00:00.000000,0.02923039,0.10598193,0.31941848,1,4,14,0,2,7,0.01300943,0.04694860,0.16317229,0.27393047,0.47760727,0.64235631
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-20 00:00:00.000000,0.03285265,0.11296818,0.33762570,1,5,15,0,2,8,0.01394322,0.05029937,0.17441453,0.26969732,0.46099970,0.63923681
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-21 00:00:00.000000,0.03477534,0.12132145,0.35630177,1,5,16,0,2,8,0.01493840,0.05364292,0.18549400,0.26911587,0.43504003,0.63494714
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-22 00:00:00.000000,0.03523687,0.12950898,0.37564369,1,6,17,0,2,9,0.01598772,0.05696059,0.19659309,0.26899885,0.40634284,0.60807112
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-23 00:00:00.000000,0.05432477,0.16090416,0.41064573,2,7,19,0,2,9,0.01706846,0.06054889,0.20786883,0.25568891,0.38679998,0.58533907
20157,0,USKansasRepublic,Kansas,Republic,2020-11-16 00:15:47.243751,2020-03-24 00:00:00.000000,0.06747893,0.19705775,0.44606760,3,9,20,1,3,10,0.02208591,0.07188536,0.22295896,0.23367881,0.37261955,0.57439001
