FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-09 00:00:00.000000,0.00784644,0.06263466,0.26490099,0,2,11,0,1,5,0.00446795,0.03454282,0.14236195,0.36504540,0.53385346,0.72483964
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-10 00:00:00.000000,0.00913155,0.06882957,0.28530815,0,2,11,0,1,6,0.00430215,0.03538822,0.14912278,0.36504840,0.53375244,0.72483293
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-11 00:00:00.000000,0.01036339,0.07449226,0.29887775,0,3,12,0,1,6,0.00446822,0.03729554,0.14981561,0.36505349,0.53358880,0.72481708
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-12 00:00:00.000000,0.01156829,0.07941693,0.31390210,0,3,13,0,1,6,0.00483298,0.03964160,0.16131834,0.36506211,0.53332387,0.72477896
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-13 00:00:00.000000,0.01276589,0.08556063,0.33809270,0,3,14,0,1,7,0.00530555,0.04189518,0.17441936,0.36507669,0.53289540,0.72468603
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-14 00:00:00.000000,0.01397116,0.09081064,0.36294076,0,3,15,0,1,7,0.00584175,0.04393628,0.18246154,0.36510130,0.53222886,0.72445763
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-15 00:00:00.000000,0.01546914,0.09555649,0.38860934,0,3,16,0,1,7,0.00673717,0.04608731,0.19064863,0.36514271,0.52929152,0.72389361
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-16 00:00:00.000000,0.03519537,0.12351768,0.44601951,1,5,18,0,2,8,0.00724657,0.04895435,0.19906123,0.36521197,0.52866814,0.72249986
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-17 00:00:00.000000,0.05033731,0.16021490,0.50452827,2,6,20,0,2,8,0.01322747,0.05859558,0.21271707,0.34977767,0.51293485,0.71907594
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-18 00:00:00.000000,0.07095042,0.20263624,0.56625237,2,8,23,0,2,9,0.01874035,0.06954792,0.23722847,0.33645940,0.49696924,0.71082890
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-19 00:00:00.000000,0.08806925,0.23970690,0.63119064,3,9,26,1,3,11,0.02527406,0.08448491,0.26617709,0.33607267,0.47144208,0.69187411
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-20 00:00:00.000000,0.10134401,0.27811320,0.69871516,4,11,29,1,4,12,0.03257162,0.10231303,0.29771730,0.31984891,0.44852128,0.65110755
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-21 00:00:00.000000,0.11442992,0.32079681,0.76548805,4,13,31,1,5,13,0.04030904,0.12360511,0.33129370,0.30118407,0.41128856,0.62530628
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-22 00:00:00.000000,0.13055768,0.35703541,0.83912539,5,14,34,2,5,15,0.04828692,0.14100846,0.36583008,0.27425422,0.39506667,0.61819911
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-23 00:00:00.000000,0.15373821,0.37877110,0.89192228,6,15,37,2,6,16,0.05639703,0.16218330,0.39853514,0.26351321,0.38013284,0.59213048
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-24 00:00:00.000000,0.17463473,0.41942459,0.92822577,7,17,38,2,7,18,0.06560700,0.18388001,0.43451321,0.25479404,0.36569552,0.55664809
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-25 00:00:00.000000,0.20038662,0.45863229,0.95636291,8,19,39,3,8,19,0.07485249,0.20408804,0.46338236,0.24313281,0.35060064,0.53985975
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-26 00:00:00.000000,0.22649196,0.48210200,1.01273964,9,20,42,3,9,20,0.08434710,0.22086587,0.48231350,0.22315496,0.33534937,0.51614759
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-27 00:00:00.000000,0.24536953,0.52184218,1.09258130,10,21,45,4,9,20,0.09640077,0.23577518,0.50493292,0.22398616,0.32495062,0.50034201
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-28 00:00:00.000000,0.25493990,0.55676083,1.17528309,10,23,48,4,10,23,0.10954580,0.25355838,0.55781066,0.20911472,0.30779253,0.48204160
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-29 00:00:00.000000,0.26766091,0.59291625,1.22320955,11,24,50,5,11,25,0.12157070,0.27000261,0.60547645,0.20015837,0.30071807,0.46496041
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-30 00:00:00.000000,0.26261216,0.59994812,1.23437566,10,24,51,5,12,26,0.12653793,0.29454420,0.63535816,0.19662674,0.28634395,0.45168740
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-03-31 00:00:00.000000,0.25977856,0.61333001,1.21162511,10,25,50,5,12,26,0.12878079,0.31167562,0.64717441,0.19610748,0.28438624,0.44179959
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-01 00:00:00.000000,0.25765394,0.62222054,1.20349145,10,25,50,5,13,27,0.13020492,0.32023350,0.65326952,0.19398044,0.28017249,0.42899049
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-02 00:00:00.000000,0.25470882,0.62728643,1.24657356,10,26,51,5,13,27,0.13119425,0.32531197,0.66759626,0.18886137,0.27511803,0.41412321
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-03 00:00:00.000000,0.25100779,0.62404412,1.26354059,10,25,52,5,13,28,0.13107936,0.32898401,0.67761944,0.17700035,0.27095781,0.39633746
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-04 00:00:00.000000,0.24684919,0.61963909,1.26622765,10,25,52,5,13,28,0.13017858,0.33312855,0.68104310,0.16116917,0.26983676,0.38244281
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-05 00:00:00.000000,0.24253979,0.61242684,1.26565644,10,25,52,5,13,28,0.12873303,0.33666642,0.67864945,0.15555117,0.25636129,0.38054652
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-06 00:00:00.000000,0.23830994,0.59614358,1.26204008,9,24,52,5,14,27,0.12694639,0.33869203,0.67298252,0.15370467,0.25267246,0.36485797
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-07 00:00:00.000000,0.23444615,0.58059283,1.25363694,9,24,52,5,14,27,0.12498566,0.33979316,0.66518940,0.14193372,0.24971853,0.34942130
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-08 00:00:00.000000,0.23137003,0.57010345,1.23797287,9,23,51,5,14,27,0.12300833,0.33701156,0.65603273,0.13251178,0.24751045,0.33700073
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-09 00:00:00.000000,0.22218479,0.56184767,1.21321860,9,23,50,4,13,27,0.11997264,0.33222999,0.65778439,0.12778003,0.24589656,0.33684219
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-10 00:00:00.000000,0.21313950,0.54554857,1.18388756,8,22,49,4,13,27,0.11518503,0.32501870,0.66667816,0.12338260,0.23682659,0.33613126
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-11 00:00:00.000000,0.20434442,0.53100411,1.19960287,8,22,49,4,13,28,0.11054664,0.31383712,0.67570423,0.12017230,0.22582702,0.33448388
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-12 00:00:00.000000,0.19816510,0.52149590,1.17721086,8,21,48,4,12,28,0.10604551,0.30343484,0.67613431,0.11830883,0.21720145,0.33035894
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-13 00:00:00.000000,0.19257154,0.49905331,1.15004072,8,20,47,4,12,27,0.10193484,0.29462646,0.65603393,0.11754335,0.21030993,0.32035425
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-14 00:00:00.000000,0.18713417,0.47510657,1.12207470,7,19,46,4,11,27,0.09907162,0.28402252,0.66111552,0.11784294,0.20454441,0.32064101
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-15 00:00:00.000000,0.18185657,0.45450294,1.12600867,7,18,46,4,11,27,0.09628291,0.27184424,0.66543128,0.11836718,0.20140751,0.32078152
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-16 00:00:00.000000,0.17674216,0.43529440,1.12903360,7,18,46,3,10,27,0.09357124,0.25943515,0.66910754,0.11793359,0.19957442,0.33152382
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-17 00:00:00.000000,0.16926132,0.42592139,1.13033652,7,17,46,3,10,27,0.09093870,0.24935399,0.67217787,0.11781498,0.19904503,0.32065776
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-18 00:00:00.000000,0.16177168,0.41829278,1.12745626,6,17,46,3,9,28,0.08838629,0.23789464,0.67449028,0.10937678,0.19786156,0.32063107
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-19 00:00:00.000000,0.15575769,0.41062205,1.11709684,6,17,46,3,9,28,0.08591282,0.23421172,0.67542862,0.10792381,0.19536927,0.32035468
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-20 00:00:00.000000,0.15064621,0.40059647,1.10028299,6,16,45,3,9,28,0.08350822,0.22462996,0.67389611,0.10791650,0.19237939,0.30691224
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-21 00:00:00.000000,0.14605748,0.38840312,1.08019302,6,16,44,3,9,27,0.08108781,0.21881880,0.66938234,0.10760206,0.19166370,0.29991557
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-22 00:00:00.000000,0.13961282,0.37296188,1.05835711,5,15,43,3,8,27,0.07859521,0.21157484,0.66223079,0.10136032,0.18531169,0.29981514
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-23 00:00:00.000000,0.12867536,0.35800466,1.03535132,5,14,43,3,8,27,0.07608505,0.20432543,0.65300255,0.09968864,0.18644240,0.28830373
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-24 00:00:00.000000,0.11862302,0.34310130,1.01150298,4,14,42,3,8,26,0.07359622,0.19786845,0.64218628,0.10183937,0.18628765,0.29029228
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-25 00:00:00.000000,0.11099265,0.33047431,0.98708666,4,13,41,2,7,26,0.07114915,0.19148081,0.63016559,0.10623927,0.18862855,0.29209220
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-26 00:00:00.000000,0.10664824,0.31812794,0.96236253,4,13,39,2,7,25,0.06875301,0.18530835,0.61724464,0.11087981,0.18672519,0.29115300
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-27 00:00:00.000000,0.10203466,0.30611540,0.93757340,4,12,38,2,7,25,0.06414868,0.17948600,0.60349549,0.12203928,0.18189325,0.29331052
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-28 00:00:00.000000,0.09809630,0.28982869,0.91294017,4,12,37,2,7,24,0.05933399,0.17214741,0.58939583,0.12414385,0.18127852,0.29254951
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-29 00:00:00.000000,0.09507228,0.27344086,0.88502488,3,11,36,2,6,23,0.05496480,0.16582011,0.57526230,0.12542215,0.18217336,0.29066307
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-04-30 00:00:00.000000,0.09218827,0.26217428,0.84656936,3,10,35,2,6,23,0.05104528,0.15998369,0.56105730,0.12637911,0.18392040,0.28903932
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-05-01 00:00:00.000000,0.08941669,0.25525009,0.80939375,3,10,33,1,6,22,0.04766576,0.15449504,0.54683535,0.12482547,0.18893682,0.28589130
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-05-02 00:00:00.000000,0.08517673,0.25026599,0.77361825,3,10,32,1,6,22,0.04491653,0.14934538,0.53307051,0.12291956,0.19222424,0.27991411
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-05-03 00:00:00.000000,0.08039915,0.24486801,0.75124187,3,10,31,1,6,21,0.04344234,0.14491144,0.51971351,0.12140999,0.18912343,0.27597641
20185,0,USKansasStafford,Kansas,Stafford,2020-10-27 22:00:00.340304,2020-05-04 00:00:00.000000,0.07582959,0.23904287,0.73128908,3,9,30,1,5,20,0.04217646,0.13924252,0.50052821,0.11574426,0.18876363,0.27612685
