FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-09 00:00:00.000000,0.00648227,0.02758458,0.06976778,1,6,15,0,2,8,0.00116753,0.01176597,0.03908483,0.37158223,0.49820719,0.68616530
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-10 00:00:00.000000,0.01111110,0.03432104,0.07860956,2,7,17,0,2,8,0.00216947,0.01265639,0.03831435,0.37158199,0.49820660,0.68609065
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-11 00:00:00.000000,0.01605080,0.04249545,0.08891710,3,9,20,0,3,8,0.00371290,0.01435736,0.03924441,0.37158142,0.49820512,0.68588201
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-12 00:00:00.000000,0.01992839,0.05069813,0.09950466,4,11,22,1,3,9,0.00592491,0.01721637,0.04128250,0.37158004,0.49820145,0.68530011
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-13 00:00:00.000000,0.02349884,0.05847078,0.11047043,5,13,25,1,4,10,0.00780110,0.02017992,0.04407995,0.37157660,0.49819228,0.68368634
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-14 00:00:00.000000,0.02725659,0.06592977,0.12635175,6,14,28,2,5,11,0.00943625,0.02314856,0.04882598,0.37156759,0.49816939,0.68112891
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-15 00:00:00.000000,0.03120096,0.07612928,0.13843123,7,17,31,2,6,11,0.01121001,0.02643179,0.05173625,0.37154257,0.49811207,0.68094912
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-16 00:00:00.000000,0.03838872,0.08655282,0.14739351,8,19,33,2,6,13,0.01310931,0.03008815,0.05841118,0.37146788,0.49351375,0.65537897
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-17 00:00:00.000000,0.04258208,0.09852537,0.16652297,9,22,37,3,7,15,0.01581794,0.03439776,0.06703939,0.37028958,0.48746914,0.64087151
21005,0,USKentuckyAnderson,Kentucky,Anderson,2020-11-26 16:41:30.671948,2020-03-18 00:00:00.000000,0.04711130,0.10995614,0.19013482,10,25,43,4,9,17,0.01910875,0.03994510,0.07723467,0.35588550,0.47701526,0.64081912
