FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-09 00:00:00.000000,0.00645809,0.01735205,0.04270043,2,6,16,0,2,8,0.00153069,0.00768533,0.02165455,0.39671828,0.56538962,0.73515441
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-10 00:00:00.000000,0.00863541,0.02142369,0.05023070,3,8,19,0,3,8,0.00222744,0.00826614,0.02254419,0.39664743,0.56356436,0.73515439
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-11 00:00:00.000000,0.01029560,0.02600477,0.06428790,4,10,25,1,3,9,0.00310816,0.00962975,0.02460880,0.39648938,0.56355910,0.73515433
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-12 00:00:00.000000,0.01202739,0.03178477,0.07474714,4,12,29,1,4,10,0.00410434,0.01114580,0.02754630,0.39613947,0.56354456,0.73515403
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-13 00:00:00.000000,0.01384240,0.03697735,0.08479533,5,14,33,1,5,12,0.00485280,0.01286951,0.03201931,0.39539741,0.56266142,0.73515259
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-14 00:00:00.000000,0.01661339,0.04224485,0.09557582,6,16,37,2,5,14,0.00578604,0.01475211,0.03816405,0.39384139,0.55913399,0.73514561
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-15 00:00:00.000000,0.01920178,0.04818879,0.10883696,7,18,42,2,6,17,0.00667134,0.01725245,0.04607792,0.39083408,0.55882660,0.73511191
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-16 00:00:00.000000,0.02219315,0.05639913,0.12104572,8,21,47,3,8,20,0.00774150,0.02072928,0.05276315,0.38584107,0.55168992,0.73494928
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-17 00:00:00.000000,0.02659640,0.06506808,0.13395208,10,25,52,3,9,23,0.00893305,0.02389570,0.05948765,0.37930158,0.54493116,0.73416595
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-18 00:00:00.000000,0.02988215,0.07548882,0.14769291,11,29,57,4,10,25,0.01058781,0.02793183,0.06662456,0.37251683,0.53615400,0.73043270
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-19 00:00:00.000000,0.03343474,0.08504001,0.17509518,13,33,68,4,12,28,0.01235805,0.03218784,0.07401225,0.34315219,0.52460265,0.72666961
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-20 00:00:00.000000,0.03724657,0.09737053,0.20312913,14,37,79,5,14,31,0.01423870,0.03718760,0.08170375,0.31302279,0.50407169,0.71775729
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-21 00:00:00.000000,0.04128669,0.10686331,0.23118947,16,41,90,6,16,35,0.01621792,0.04154353,0.08983952,0.29329447,0.47508525,0.70697458
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-22 00:00:00.000000,0.04550253,0.11477064,0.25063833,17,44,97,7,17,38,0.01828710,0.04606570,0.09895575,0.29093567,0.44961723,0.68486817
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-23 00:00:00.000000,0.05237392,0.12503319,0.26978935,20,48,105,7,20,42,0.02044066,0.05144496,0.10859439,0.29034191,0.42381687,0.63346920
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-24 00:00:00.000000,0.05936352,0.13743997,0.28072417,23,53,109,9,22,46,0.02336073,0.05798010,0.11888272,0.28978542,0.41658057,0.60989175
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-25 00:00:00.000000,0.06698141,0.14868082,0.29172271,26,57,113,10,24,50,0.02688043,0.06353786,0.12917486,0.28846474,0.40431865,0.59046073
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-26 00:00:00.000000,0.07518533,0.15983832,0.30223150,29,62,117,11,26,54,0.02973812,0.06922351,0.13864214,0.26354097,0.39164059,0.57512361
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-27 00:00:00.000000,0.08194825,0.17298926,0.31161462,31,67,121,12,29,57,0.03264945,0.07579748,0.14683473,0.24399679,0.38295440,0.56060875
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-28 00:00:00.000000,0.08939380,0.18957785,0.32020723,34,73,124,13,32,60,0.03556416,0.08223822,0.15388124,0.23547513,0.37307976,0.53240851
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-29 00:00:00.000000,0.09532835,0.19882909,0.33524128,37,77,130,15,33,62,0.03860510,0.08566869,0.16010330,0.23334302,0.35155820,0.51028711
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-30 00:00:00.000000,0.10325911,0.20928075,0.35046974,40,81,136,16,36,64,0.04238297,0.09292563,0.16578258,0.23246349,0.33638416,0.46505567
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-03-31 00:00:00.000000,0.11285309,0.22039902,0.36641002,44,85,142,17,39,67,0.04610243,0.10158339,0.17200165,0.23124486,0.32321342,0.46191346
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-01 00:00:00.000000,0.12279318,0.22983603,0.38221317,47,89,149,19,42,71,0.05023113,0.10827065,0.18230982,0.21969319,0.31181712,0.46136852
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-02 00:00:00.000000,0.13308599,0.23860929,0.39543944,51,93,154,21,43,74,0.05470266,0.11256058,0.19219888,0.20985659,0.29996659,0.45850453
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-03 00:00:00.000000,0.13874695,0.25105849,0.41486815,54,97,161,22,46,78,0.05877102,0.11794953,0.20136864,0.20751777,0.28523175,0.44600317
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-04 00:00:00.000000,0.14412700,0.25820474,0.43419622,56,100,169,24,48,81,0.06211288,0.12439477,0.20924408,0.19888393,0.27927102,0.42547031
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-05 00:00:00.000000,0.14911371,0.26597801,0.45864870,58,103,178,25,50,84,0.06555229,0.13076183,0.21579029,0.19011456,0.26791739,0.41299167
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-06 00:00:00.000000,0.15674234,0.27144293,0.46950996,61,105,183,26,52,86,0.06904234,0.13493742,0.22128419,0.18781820,0.25865592,0.40133717
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-07 00:00:00.000000,0.15824632,0.27796309,0.48605732,61,108,189,28,54,88,0.07217003,0.13859109,0.22642216,0.18011173,0.25143783,0.38658616
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-08 00:00:00.000000,0.16123793,0.28685844,0.50110809,62,111,195,29,55,91,0.07493136,0.14117295,0.23342076,0.17504759,0.24709093,0.36601637
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-09 00:00:00.000000,0.16656627,0.29380829,0.51382153,64,114,200,30,56,94,0.07733959,0.14371334,0.24189841,0.16627697,0.24062252,0.35987829
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-10 00:00:00.000000,0.16866941,0.30532781,0.52352752,65,119,204,30,57,97,0.07944260,0.14817177,0.24960709,0.16213169,0.22799584,0.34567151
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-11 00:00:00.000000,0.17044376,0.30556728,0.52646841,66,119,205,31,59,99,0.08173861,0.15269336,0.25627870,0.15267501,0.21806425,0.31385431
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-12 00:00:00.000000,0.17171037,0.30642512,0.53081210,66,119,207,33,61,102,0.08486680,0.15807779,0.26171795,0.14906093,0.20539192,0.30185077
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-13 00:00:00.000000,0.16916211,0.30474390,0.53205391,65,118,207,33,62,103,0.08578562,0.16134063,0.26587010,0.14587337,0.19940137,0.29719729
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-14 00:00:00.000000,0.17067644,0.30148156,0.53608489,66,117,209,33,62,104,0.08646373,0.16142764,0.26870919,0.14231080,0.19381088,0.28768946
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-15 00:00:00.000000,0.17284821,0.29848922,0.53683302,67,116,209,33,63,106,0.08698948,0.16312647,0.27274509,0.14005445,0.18874727,0.27655674
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-16 00:00:00.000000,0.17066686,0.29480781,0.53425180,66,114,208,34,63,107,0.08739360,0.16279959,0.27655319,0.13951190,0.18530028,0.26645958
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-17 00:00:00.000000,0.16842267,0.29250463,0.52971952,65,114,206,34,63,108,0.08788496,0.16257512,0.27863250,0.13391542,0.18252946,0.25763518
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-18 00:00:00.000000,0.16617339,0.29048481,0.52387699,64,113,204,34,63,108,0.08820913,0.16186930,0.27945112,0.13201437,0.18080469,0.25804024
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-19 00:00:00.000000,0.16395501,0.29021600,0.51719039,63,113,201,34,63,108,0.08833176,0.16155927,0.27935539,0.12609090,0.17731931,0.24680253
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-20 00:00:00.000000,0.16201932,0.29305496,0.51604552,63,114,201,34,62,108,0.08829016,0.16142752,0.27860014,0.12435786,0.17551775,0.24515357
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-21 00:00:00.000000,0.16042485,0.29266841,0.51481061,62,114,200,34,62,108,0.08819241,0.16101571,0.27803710,0.12373221,0.17319476,0.24443489
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-22 00:00:00.000000,0.15883632,0.28783168,0.51370431,61,112,200,34,62,108,0.08805235,0.15973011,0.27754093,0.12361262,0.17020026,0.24408339
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-23 00:00:00.000000,0.15479984,0.28497807,0.51269414,60,111,199,34,61,108,0.08788117,0.15702957,0.27703979,0.11680239,0.16708879,0.24390435
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-24 00:00:00.000000,0.15147953,0.28372371,0.51176349,59,110,199,34,60,107,0.08767198,0.15502910,0.27656179,0.10770704,0.16268799,0.24366900
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-25 00:00:00.000000,0.14914095,0.28058565,0.51090585,58,109,199,33,60,107,0.08635474,0.15397873,0.27607068,0.10630430,0.16040658,0.24292023
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-26 00:00:00.000000,0.14688477,0.27951034,0.51009896,57,109,198,32,59,107,0.08343838,0.15141874,0.27556058,0.10437180,0.15836684,0.24811315
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-27 00:00:00.000000,0.14430506,0.27558122,0.50323193,56,107,196,31,57,107,0.08188532,0.14847335,0.27503617,0.10305701,0.15360663,0.25502283
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-28 00:00:00.000000,0.14149556,0.27292350,0.49778312,55,106,194,31,57,106,0.08111949,0.14720749,0.27371498,0.09972831,0.15214627,0.22998787
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-29 00:00:00.000000,0.13811324,0.27540139,0.49057054,53,107,191,30,57,106,0.07891825,0.14695517,0.27179967,0.09172610,0.15068767,0.21536313
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-04-30 00:00:00.000000,0.13450430,0.27260681,0.48055920,52,106,187,29,57,104,0.07674668,0.14621479,0.26919860,0.09175643,0.14957374,0.23581436
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-05-01 00:00:00.000000,0.13081618,0.26961530,0.46979368,51,105,183,29,57,103,0.07463042,0.14847097,0.26567299,0.09231796,0.15048849,0.22835315
21035,0,USKentuckyCalloway,Kentucky,Calloway,2020-11-16 00:01:53.114978,2020-05-02 00:00:00.000000,0.12713753,0.26576485,0.46295070,49,103,180,28,57,101,0.07259570,0.14835050,0.25992119,0.09077327,0.14768664,0.21121796
