FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-09 00:00:00.000000,0.00048646,0.00896725,0.05577106,0,0,4,0,0,2,0.00028066,0.00501441,0.03625269,0.38308315,0.53529941,0.83122169
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-10 00:00:00.000000,0.00054771,0.00993011,0.06237791,0,0,4,0,0,2,0.00030105,0.00563949,0.03883836,0.38298962,0.53520892,0.83071157
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-11 00:00:00.000000,0.00061387,0.01102934,0.06960723,0,0,5,0,0,3,0.00033277,0.00630632,0.04268352,0.38280831,0.53504185,0.82986901
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-12 00:00:00.000000,0.00068617,0.01230008,0.07757328,0,0,5,0,0,3,0.00037165,0.00713856,0.04735020,0.38245854,0.53473465,0.82848042
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-13 00:00:00.000000,0.00076566,0.01394536,0.08636506,0,1,6,0,0,3,0.00041609,0.00817950,0.05268730,0.38178993,0.53417412,0.82620022
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-14 00:00:00.000000,0.00085334,0.01599369,0.09598010,0,1,7,0,0,4,0.00046566,0.00944169,0.05866260,0.38053395,0.53316548,0.82200893
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-15 00:00:00.000000,0.00095025,0.01847961,0.10642950,0,1,8,0,0,4,0.00052054,0.01081519,0.06528550,0.37662727,0.53252879,0.78052299
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-16 00:00:00.000000,0.00105749,0.02127252,0.11751602,0,1,8,0,0,5,0.00058116,0.01226052,0.07255340,0.37408005,0.53188120,0.72321904
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-17 00:00:00.000000,0.00117628,0.02373488,0.12860131,0,1,9,0,1,6,0.00064812,0.01382082,0.08037744,0.35264071,0.50771601,0.65659395
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-18 00:00:00.000000,0.00130794,0.02638665,0.13866701,0,1,10,0,1,6,0.00072215,0.01561601,0.08845899,0.35057829,0.49707167,0.64115808
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-19 00:00:00.000000,0.00145391,0.02922052,0.14709005,0,2,11,0,1,7,0.00080407,0.01755621,0.09623560,0.30167883,0.48433117,0.63666585
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-20 00:00:00.000000,0.00161565,0.03220069,0.15419161,0,2,11,0,1,7,0.00089478,0.01939209,0.10323950,0.28384680,0.45944681,0.62451403
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-21 00:00:00.000000,0.00179378,0.03511793,0.16061856,0,2,12,0,1,8,0.00099523,0.02125152,0.10934373,0.27482248,0.44673976,0.61024707
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-22 00:00:00.000000,0.00198730,0.03816424,0.16681542,0,2,12,0,1,8,0.00110608,0.02316305,0.11474464,0.26999862,0.42054958,0.59729292
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-23 00:00:00.000000,0.00219131,0.04079944,0.17295038,0,3,13,0,1,8,0.00122735,0.02549048,0.11970546,0.26750880,0.39757518,0.55302337
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-24 00:00:00.000000,0.00239837,0.04359194,0.17906911,0,3,13,0,2,9,0.00135754,0.02785432,0.12440107,0.25483489,0.38186739,0.53337089
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-25 00:00:00.000000,0.00261219,0.04686041,0.18526828,0,3,13,0,2,9,0.00149346,0.03017368,0.12902346,0.24821617,0.37448635,0.50582412
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-26 00:00:00.000000,0.00283872,0.04972996,0.19155801,0,3,14,0,2,10,0.00164383,0.03222230,0.13366277,0.22204233,0.36468597,0.47977271
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-27 00:00:00.000000,0.00307518,0.05232104,0.20584391,0,3,15,0,2,10,0.00181123,0.03425815,0.13836061,0.19107607,0.34948648,0.47549673
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-28 00:00:00.000000,0.00331301,0.05468993,0.21824156,0,4,16,0,2,10,0.00197735,0.03583841,0.14310231,0.17286018,0.33307261,0.48272150
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-29 00:00:00.000000,0.00355642,0.05729759,0.22615437,0,4,17,0,2,11,0.00213200,0.03776950,0.14775511,0.16492317,0.30926622,0.44738715
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-30 00:00:00.000000,0.00381380,0.06045007,0.23102385,0,4,17,0,3,11,0.00227034,0.04017136,0.15199848,0.16187872,0.28860409,0.44678348
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-03-31 00:00:00.000000,0.00408880,0.06407739,0.23349721,0,4,17,0,3,11,0.00242672,0.04215502,0.15558301,0.16076643,0.27736025,0.44650980
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-01 00:00:00.000000,0.00438365,0.06491239,0.23351744,0,4,17,0,3,11,0.00260477,0.04471122,0.15865215,0.16038222,0.25906260,0.44567487
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-02 00:00:00.000000,0.00470106,0.06680950,0.23131388,0,5,17,0,3,12,0.00279414,0.04600486,0.16140666,0.15017398,0.24914730,0.44077704
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-03 00:00:00.000000,0.00504603,0.06797483,0.23285231,0,5,17,0,3,12,0.00299681,0.04760845,0.16399430,0.14959249,0.23100051,0.41300656
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-04 00:00:00.000000,0.00542987,0.06836358,0.24045534,0,5,18,0,3,12,0.00321542,0.04882602,0.16646418,0.14633417,0.22379636,0.38998353
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-05 00:00:00.000000,0.00587723,0.06873905,0.24800548,0,5,18,0,3,12,0.00345498,0.04953152,0.16885978,0.13387220,0.22256498,0.36002602
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-06 00:00:00.000000,0.00641643,0.07012987,0.25551931,0,5,19,0,3,12,0.00372574,0.04955980,0.17115206,0.12606383,0.21561514,0.35363975
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-07 00:00:00.000000,0.00705156,0.07074301,0.26287206,0,5,19,0,3,13,0.00404434,0.04949866,0.17317265,0.12300728,0.20930335,0.35244943
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-08 00:00:00.000000,0.00775953,0.07214938,0.26942684,0,5,20,0,3,13,0.00441815,0.05128619,0.17640859,0.12108304,0.20268086,0.35203429
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-09 00:00:00.000000,0.00850677,0.07343797,0.27406997,0,5,20,0,3,13,0.00484491,0.05216459,0.18175702,0.10709451,0.19704188,0.35182098
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-10 00:00:00.000000,0.00926024,0.07390769,0.27646217,0,5,20,0,3,14,0.00531233,0.05221268,0.18703870,0.10036978,0.18791552,0.35156762
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-11 00:00:00.000000,0.01000555,0.07456524,0.27732569,0,5,20,0,3,14,0.00580306,0.05262965,0.19219930,0.09934957,0.18104896,0.35099020
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-12 00:00:00.000000,0.01075418,0.07529411,0.27699951,0,5,20,0,4,14,0.00630307,0.05335734,0.19695923,0.09899364,0.17900408,0.34954889
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-13 00:00:00.000000,0.01120326,0.07411777,0.27417900,0,5,20,0,4,15,0.00680871,0.05360292,0.20125201,0.09791639,0.17413709,0.32854354
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-14 00:00:00.000000,0.01109753,0.07395252,0.26477339,0,5,19,0,4,15,0.00732477,0.05397828,0.20460336,0.08773663,0.16579079,0.30173372
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-15 00:00:00.000000,0.01069957,0.07435208,0.26728944,0,5,20,0,4,14,0.00785890,0.05363037,0.19708780,0.07842840,0.16392478,0.30234632
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-16 00:00:00.000000,0.01030816,0.07352294,0.26185234,0,5,19,0,4,14,0.00774379,0.05351551,0.18957162,0.07571678,0.15925926,0.30192668
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-17 00:00:00.000000,0.00992636,0.07305441,0.25447857,0,5,19,0,4,13,0.00747202,0.05336983,0.18215606,0.07168933,0.15495606,0.30033378
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-18 00:00:00.000000,0.00955354,0.07234080,0.24616551,0,5,18,0,4,13,0.00720343,0.05329599,0.17491357,0.06665771,0.14391131,0.29637988
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-19 00:00:00.000000,0.00918564,0.07169359,0.23730048,0,5,17,0,3,12,0.00693963,0.05317159,0.16798880,0.06457434,0.13950265,0.27133386
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-20 00:00:00.000000,0.00881863,0.07037063,0.23584345,0,5,17,0,3,12,0.00667985,0.05294205,0.16190765,0.06415863,0.13784667,0.27048376
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-21 00:00:00.000000,0.00845050,0.06940429,0.24347021,0,5,18,0,3,12,0.00642161,0.05199626,0.16607275,0.06390960,0.13867480,0.27174900
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-22 00:00:00.000000,0.00807809,0.06743174,0.24023719,0,5,18,0,3,12,0.00616297,0.05043939,0.17117509,0.06357205,0.13119363,0.29086278
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-23 00:00:00.000000,0.00770579,0.06559772,0.23540226,0,4,17,0,3,13,0.00590437,0.04908361,0.17678488,0.06300963,0.12847737,0.28757802
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-24 00:00:00.000000,0.00788720,0.06437796,0.23056190,0,4,17,0,3,13,0.00564298,0.04811376,0.18259943,0.06048014,0.12667889,0.27512467
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-25 00:00:00.000000,0.00754141,0.06324019,0.22569093,0,4,16,0,3,13,0.00569782,0.04656885,0.18368223,0.05410848,0.12374792,0.26318703
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-26 00:00:00.000000,0.00764228,0.06067221,0.22093671,0,4,16,0,3,13,0.00561424,0.04523393,0.17984138,0.05207309,0.12011303,0.26384797
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-27 00:00:00.000000,0.00775844,0.05784184,0.21628366,0,4,16,0,3,13,0.00563662,0.04334281,0.17609041,0.05211036,0.11695232,0.26913499
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-28 00:00:00.000000,0.00789276,0.05604294,0.21172490,0,4,15,0,3,12,0.00571700,0.04271943,0.17241797,0.05256909,0.11307100,0.27202280
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-29 00:00:00.000000,0.00803356,0.05435053,0.20726115,0,4,15,0,3,12,0.00580841,0.04191625,0.16881803,0.05146551,0.11134247,0.27297678
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-04-30 00:00:00.000000,0.00815101,0.05300582,0.20289045,0,3,15,0,3,12,0.00590654,0.04161008,0.16528848,0.04994274,0.11063652,0.27249972
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-01 00:00:00.000000,0.00822136,0.05423245,0.19853815,0,4,14,0,3,12,0.00599964,0.04035528,0.16182767,0.04889609,0.10988356,0.27073663
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-02 00:00:00.000000,0.00823630,0.05288809,0.19271537,0,3,14,0,2,11,0.00607098,0.03878147,0.15839197,0.04838470,0.10952614,0.26744662
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-03 00:00:00.000000,0.00820327,0.05073449,0.18560291,0,3,13,0,2,11,0.00610895,0.03886935,0.15409439,0.04758928,0.10504413,0.26198131
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-04 00:00:00.000000,0.01950580,0.06427755,0.20761539,1,4,15,0,2,11,0.00611194,0.03830546,0.14877073,0.04675295,0.10346461,0.24822249
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-05 00:00:00.000000,0.02830775,0.07935574,0.24588068,2,5,18,0,3,11,0.00907406,0.04184513,0.15314906,0.04576847,0.10233990,0.23920576
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-06 00:00:00.000000,0.03716925,0.09185965,0.30794309,2,6,23,1,3,12,0.01674950,0.04797066,0.16344430,0.04123682,0.09956776,0.22136895
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-07 00:00:00.000000,0.04503755,0.10297444,0.36423855,3,7,27,1,4,14,0.02433924,0.05834754,0.19616628,0.03770241,0.09658227,0.20597668
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-08 00:00:00.000000,0.05120462,0.11799344,0.39161845,3,8,29,2,5,16,0.02927578,0.06737691,0.22606353,0.03664116,0.09448293,0.19896459
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-09 00:00:00.000000,0.05624659,0.13132313,0.41778890,4,9,31,2,5,20,0.03331172,0.07316872,0.26656818,0.03639572,0.09372846,0.19115223
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-10 00:00:00.000000,0.06094962,0.14032250,0.44236633,4,10,33,2,6,21,0.03672152,0.08366957,0.28571949,0.03535935,0.09091274,0.18343028
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-11 00:00:00.000000,0.07447851,0.16603232,0.44218714,5,12,33,3,7,22,0.04021889,0.09430786,0.30408556,0.03297723,0.09019410,0.17943992
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-12 00:00:00.000000,0.08724429,0.18345660,0.44012843,6,13,33,3,7,23,0.04665080,0.10575169,0.31209344,0.03205572,0.08943032,0.17718431
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-13 00:00:00.000000,0.09337702,0.19377893,0.43611396,7,14,32,4,9,23,0.05565299,0.11992594,0.31437813,0.03175449,0.08866752,0.17530823
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-14 00:00:00.000000,0.10564996,0.22017149,0.43751370,7,16,32,4,9,23,0.06528727,0.12836602,0.31370165,0.03167929,0.08797939,0.16933000
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-15 00:00:00.000000,0.11733929,0.23019084,0.45732192,8,17,34,5,10,23,0.07373525,0.14001303,0.31160261,0.03173467,0.08656841,0.16002884
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-16 00:00:00.000000,0.12744727,0.24440142,0.44255394,9,18,33,6,11,23,0.08111431,0.15172366,0.30896549,0.03201775,0.08495052,0.15983811
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-17 00:00:00.000000,0.13297290,0.25818897,0.45322719,9,19,34,6,12,24,0.08584878,0.16596718,0.31983314,0.03287396,0.08360748,0.15624403
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-18 00:00:00.000000,0.12695332,0.24949639,0.43410268,9,18,32,6,13,25,0.08912553,0.17656073,0.33803106,0.03369423,0.08268303,0.14981068
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-19 00:00:00.000000,0.12074485,0.24036430,0.41331533,9,18,31,6,13,24,0.09010707,0.17901752,0.32261200,0.03310749,0.08213610,0.14449093
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-20 00:00:00.000000,0.11291955,0.22663510,0.39024962,8,17,29,6,13,22,0.08961078,0.17624880,0.30532268,0.03209004,0.08184516,0.14295037
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-21 00:00:00.000000,0.10455478,0.21483369,0.38538390,7,16,28,6,12,21,0.08601400,0.16819831,0.28870178,0.03327397,0.08121016,0.14291196
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-22 00:00:00.000000,0.09648638,0.20622081,0.38193541,7,15,28,6,11,21,0.08038699,0.15785729,0.28855947,0.03028905,0.07870271,0.14289391
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-23 00:00:00.000000,0.08890248,0.19697333,0.37764995,6,14,28,5,11,21,0.07463372,0.15222018,0.28733495,0.03027193,0.07489609,0.14283632
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-24 00:00:00.000000,0.08186137,0.18625626,0.36439907,6,14,27,5,11,21,0.06902315,0.14657301,0.28524090,0.03031037,0.07561707,0.13174978
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-25 00:00:00.000000,0.07533912,0.17875829,0.34405074,5,13,25,4,10,20,0.06368857,0.13992832,0.27793401,0.03035277,0.07448756,0.12869616
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-26 00:00:00.000000,0.06932251,0.17195517,0.32449757,5,12,24,4,10,19,0.05872643,0.13432035,0.26355997,0.03040799,0.07346604,0.12762772
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-27 00:00:00.000000,0.06378605,0.16442719,0.31564747,4,12,23,4,9,18,0.05411944,0.12896444,0.24956787,0.03048139,0.07348703,0.12759754
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-28 00:00:00.000000,0.05870143,0.15755488,0.31207345,4,11,23,3,9,17,0.04985611,0.12357754,0.23582850,0.03057506,0.07116960,0.12846279
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-29 00:00:00.000000,0.05404591,0.14944541,0.30194547,4,11,22,3,8,17,0.04592375,0.11747685,0.22933017,0.03082005,0.07114813,0.12506242
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-30 00:00:00.000000,0.04980815,0.13866380,0.28612429,3,10,21,3,8,17,0.04230795,0.11057630,0.22674725,0.03108440,0.06747219,0.12364661
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-05-31 00:00:00.000000,0.04597618,0.13000789,0.27123271,3,9,20,2,7,16,0.03899841,0.10377704,0.22366883,0.03088130,0.06599107,0.12300826
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-01 00:00:00.000000,0.05887002,0.14369806,0.28007186,4,10,21,2,7,16,0.03598649,0.09778137,0.21309405,0.03042687,0.06510998,0.11948446
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-02 00:00:00.000000,0.07194841,0.15053373,0.30103528,5,11,22,2,7,15,0.03985958,0.10065068,0.20891286,0.02897162,0.06409432,0.11878915
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-03 00:00:00.000000,0.07781955,0.17174920,0.32303509,5,12,24,3,8,16,0.04720788,0.10805052,0.21835379,0.02776731,0.06349184,0.11993977
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-04 00:00:00.000000,0.08108393,0.18281423,0.37126577,6,13,27,4,8,18,0.05353792,0.11495199,0.24461123,0.02736394,0.06262419,0.12786340
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-05 00:00:00.000000,0.08175505,0.19845098,0.41664823,6,14,31,4,9,21,0.05911990,0.12329106,0.28272660,0.02750929,0.06382730,0.12646876
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-06 00:00:00.000000,0.08448055,0.21275280,0.45889270,6,15,34,4,9,23,0.06081145,0.12845059,0.31885707,0.02840595,0.06302657,0.12205211
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-07 00:00:00.000000,0.08864331,0.21735710,0.48566896,6,16,36,4,10,25,0.06182921,0.14234457,0.33668817,0.02920941,0.06460115,0.12044717
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-08 00:00:00.000000,0.10146460,0.23920185,0.48820136,7,17,36,4,11,26,0.06238302,0.15053704,0.35045551,0.02977690,0.06358160,0.12406277
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-09 00:00:00.000000,0.10786282,0.24794053,0.49171034,8,18,36,5,12,26,0.06826078,0.16073353,0.35846632,0.03028957,0.06333423,0.12446471
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-10 00:00:00.000000,0.11682864,0.25452494,0.49588869,8,19,37,5,12,27,0.07184551,0.17264763,0.36362413,0.03054589,0.06149846,0.12269519
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-11 00:00:00.000000,0.12432944,0.26381264,0.52789820,9,19,39,5,13,27,0.07575063,0.18212782,0.36754358,0.03047197,0.06144231,0.12440988
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-12 00:00:00.000000,0.12853809,0.27592850,0.54682743,9,20,41,6,14,27,0.08101922,0.18756016,0.37088360,0.02881625,0.06174721,0.12438976
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-13 00:00:00.000000,0.13371107,0.28834369,0.57984746,10,21,43,6,14,28,0.08382949,0.19044978,0.37588179,0.02610302,0.06238822,0.12311829
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-14 00:00:00.000000,0.13779128,0.29545903,0.61661140,10,22,46,6,14,29,0.08762925,0.19462052,0.38849918,0.02672349,0.06209408,0.12039409
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-15 00:00:00.000000,0.15057021,0.29900813,0.62655350,11,22,47,6,15,30,0.09133289,0.20110180,0.40179460,0.02428919,0.06231359,0.11553899
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-16 00:00:00.000000,0.15596724,0.30185917,0.63061489,11,22,47,7,15,30,0.09821555,0.21095079,0.41213147,0.02389067,0.06217242,0.11544634
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-17 00:00:00.000000,0.15995590,0.30752654,0.63027258,12,23,47,7,16,31,0.09891365,0.21466285,0.42557809,0.02391174,0.06254656,0.11675147
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-18 00:00:00.000000,0.15858644,0.30768212,0.62889862,11,23,47,7,16,31,0.10252911,0.21688321,0.42464416,0.02490325,0.06172320,0.11563209
21063,0,USKentuckyElliott,Kentucky,Elliott,2020-11-01 02:35:22.979123,2020-06-19 00:00:00.000000,0.17080446,0.30355753,0.63028688,12,22,47,7,16,31,0.10636557,0.21449612,0.42092160,0.02536819,0.06189305,0.11085006
