FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-09 00:00:00.000000,0.00052008,0.01423660,0.07694773,0,2,10,0,1,6,0.00024186,0.00801886,0.04315676,0.39287119,0.55617766,0.78138263
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-10 00:00:00.000000,0.00061567,0.01602046,0.08400564,0,2,11,0,1,5,0.00025880,0.00804827,0.04042386,0.39286866,0.55617748,0.78136773
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-11 00:00:00.000000,0.00071615,0.01774651,0.09080336,0,2,12,0,1,5,0.00026662,0.00815174,0.04076708,0.39285969,0.55617703,0.78133056
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-12 00:00:00.000000,0.00082505,0.01957726,0.09768803,0,2,13,0,1,5,0.00028388,0.00879997,0.04246057,0.39282743,0.55617585,0.78123780
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-13 00:00:00.000000,0.00094517,0.02178485,0.10475781,0,3,14,0,1,6,0.00030882,0.00965980,0.04475309,0.39271074,0.55617281,0.78100660
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-14 00:00:00.000000,0.00107903,0.02416963,0.11207720,0,3,15,0,1,6,0.00033991,0.01062886,0.04748660,0.39228929,0.55616493,0.78043181
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-15 00:00:00.000000,0.00122463,0.02644797,0.11965012,0,3,16,0,1,7,0.00037628,0.01155725,0.05056219,0.39195634,0.55614454,0.77901262
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-16 00:00:00.000000,0.00135389,0.02866639,0.12729148,0,4,17,0,1,7,0.00041746,0.01249989,0.05391260,0.39175329,0.55609158,0.77556724
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-17 00:00:00.000000,0.00149435,0.03099705,0.13432017,0,4,18,0,1,8,0.00046332,0.01311844,0.05746328,0.39097318,0.55527250,0.76951970
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-18 00:00:00.000000,0.00164779,0.03340188,0.13984053,0,4,19,0,1,8,0.00051392,0.01376100,0.06105801,0.38724530,0.55066561,0.77017916
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-19 00:00:00.000000,0.00181703,0.03450564,0.14415094,0,4,20,0,2,9,0.00056950,0.01464038,0.06444869,0.34928932,0.54486743,0.77495329
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-20 00:00:00.000000,0.00201090,0.03607172,0.14801384,0,5,20,0,2,9,0.00063054,0.01577945,0.06750449,0.32667606,0.53028374,0.78667393
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-21 00:00:00.000000,0.00224388,0.03815994,0.15171325,0,5,21,0,2,9,0.00069830,0.01658995,0.07025197,0.30972107,0.49516695,0.77814314
21065,0,USKentuckyEstill,Kentucky,Estill,2020-10-17 00:12:49.201330,2020-03-22 00:00:00.000000,0.00251129,0.04012625,0.15520721,0,5,21,0,2,10,0.00077523,0.01715445,0.07275610,0.30336621,0.47595730,0.75424343
