FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-09 00:00:00.000000,0.00422731,0.03391530,0.10172550,0,3,10,0,1,5,0.00189729,0.01852309,0.05895329,0.38022944,0.53442432,0.74949231
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-10 00:00:00.000000,0.00489166,0.03622602,0.10896746,0,3,10,0,1,5,0.00195494,0.01858400,0.05251206,0.38018800,0.53436353,0.74943800
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-11 00:00:00.000000,0.00534983,0.03908106,0.11836278,0,3,11,0,1,4,0.00211858,0.01804534,0.05001088,0.38011195,0.53415804,0.74931282
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-12 00:00:00.000000,0.00584146,0.04138852,0.12930046,0,4,12,0,1,5,0.00234436,0.01847653,0.05419072,0.37997244,0.53349934,0.74902443
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-13 00:00:00.000000,0.00650258,0.04365319,0.13380329,0,4,13,0,1,5,0.00260808,0.02014599,0.06063806,0.37971689,0.53249081,0.74836111
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-14 00:00:00.000000,0.00717625,0.04665581,0.14011857,0,4,13,0,2,6,0.00289698,0.02132056,0.06302001,0.37925009,0.53096747,0.74684198
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-15 00:00:00.000000,0.00787026,0.05041368,0.15410109,0,4,15,0,2,6,0.00320494,0.02263282,0.06553456,0.37840192,0.52906383,0.74339789
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-16 00:00:00.000000,0.00859133,0.05411286,0.16915400,0,5,16,0,2,7,0.00352959,0.02443303,0.07198796,0.37687558,0.52781247,0.73576484
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-17 00:00:00.000000,0.00934502,0.05785442,0.18541088,0,5,18,0,2,7,0.00387064,0.02583584,0.07907679,0.37428637,0.51879604,0.71450482
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-18 00:00:00.000000,0.01013396,0.06168091,0.20299048,1,6,20,0,2,8,0.00422864,0.02752831,0.08680825,0.36985331,0.50697486,0.68799730
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-19 00:00:00.000000,0.01094812,0.06440568,0.22050728,1,6,21,0,2,9,0.00460349,0.02963941,0.09520951,0.36916245,0.49459754,0.65472092
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-20 00:00:00.000000,0.01172501,0.06752164,0.23155057,1,6,22,0,3,10,0.00497798,0.03201567,0.10273805,0.35800462,0.46638472,0.63179017
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-21 00:00:00.000000,0.01229270,0.07101599,0.24080151,1,7,23,0,3,10,0.00537116,0.03437290,0.10889951,0.33536238,0.44885836,0.58322246
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-22 00:00:00.000000,0.01257545,0.07593052,0.24801609,1,7,24,0,3,11,0.00574471,0.03688917,0.11446230,0.31801507,0.41598385,0.57884391
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-23 00:00:00.000000,0.01873838,0.09674265,0.27308344,1,9,26,0,3,11,0.00611300,0.03819345,0.11931624,0.30122026,0.39247427,0.56980668
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-24 00:00:00.000000,0.02513296,0.10723022,0.29803731,2,10,29,0,4,12,0.00761170,0.04188531,0.12930960,0.28485909,0.38439475,0.56351521
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-25 00:00:00.000000,0.03207817,0.12409898,0.32363614,3,12,31,0,4,13,0.00984038,0.04864961,0.14054867,0.25702322,0.37727934,0.55701806
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-26 00:00:00.000000,0.03922259,0.14487116,0.34985061,3,14,34,1,5,15,0.01265346,0.05557169,0.15271980,0.25602020,0.36608296,0.53406936
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-27 00:00:00.000000,0.04658480,0.16372460,0.37923986,4,16,37,1,6,16,0.01591792,0.06383208,0.16561634,0.24670184,0.34683042,0.52306231
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-28 00:00:00.000000,0.05417639,0.17842016,0.43521877,5,17,42,1,7,17,0.01954273,0.07329768,0.17905117,0.22748639,0.33076224,0.47742956
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-29 00:00:00.000000,0.06200018,0.18801579,0.46693134,6,18,46,2,8,19,0.02346539,0.08246230,0.20145137,0.21435092,0.31181522,0.45015023
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-30 00:00:00.000000,0.07828980,0.20013666,0.48627874,7,19,48,2,8,22,0.02764198,0.09014135,0.22913346,0.20587833,0.29535147,0.43631733
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-03-31 00:00:00.000000,0.09381923,0.22296884,0.50077735,9,22,49,3,9,23,0.03462291,0.09755838,0.24271043,0.20082092,0.28536258,0.43154139
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-04-01 00:00:00.000000,0.10966201,0.23926560,0.51111413,10,23,50,4,10,25,0.04306787,0.10449013,0.25444864,0.19444681,0.27779857,0.42235999
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-04-02 00:00:00.000000,0.12575275,0.25642214,0.51818525,12,25,51,4,11,26,0.05047576,0.11568353,0.26401094,0.17506721,0.27338833,0.41819609
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-10-16 23:33:02.122605,2020-04-03 00:00:00.000000,0.14208132,0.27072295,0.52176851,14,26,51,5,12,26,0.05433842,0.12270865,0.27160304,0.15556741,0.26154249,0.40168387
