FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-09 00:00:00.000000,0.00207464,0.02213056,0.10221637,0,2,10,0,1,5,0.00097645,0.01221957,0.05928133,0.40251857,0.54700834,0.74194186
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-10 00:00:00.000000,0.00248700,0.02441612,0.11242144,0,2,11,0,1,5,0.00108872,0.01180459,0.05844199,0.40251856,0.54676111,0.74192692
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-11 00:00:00.000000,0.00294254,0.02655247,0.12328998,0,2,12,0,1,6,0.00122364,0.01202695,0.06124071,0.40251853,0.54634349,0.74190593
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-12 00:00:00.000000,0.00345825,0.02873085,0.13478298,0,2,13,0,1,6,0.00136522,0.01238803,0.06589435,0.40251847,0.54564126,0.74187629
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-13 00:00:00.000000,0.00404885,0.03138547,0.14686364,0,3,14,0,1,7,0.00152768,0.01330251,0.07158413,0.40251834,0.54446935,0.74183409
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-14 00:00:00.000000,0.00456532,0.03422714,0.15946753,0,3,16,0,1,7,0.00170621,0.01445096,0.07613176,0.40251808,0.54253823,0.74177314
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-15 00:00:00.000000,0.00503607,0.03723074,0.17248248,0,3,17,0,1,7,0.00189852,0.01576546,0.07941148,0.39924793,0.54235832,0.74168189
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-16 00:00:00.000000,0.00553007,0.04029244,0.18573690,0,4,18,0,1,8,0.00210351,0.01716214,0.08293080,0.39008815,0.53946552,0.74153128
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-17 00:00:00.000000,0.00604722,0.04352854,0.19829663,0,4,19,0,1,8,0.00232067,0.01851220,0.08653044,0.38532501,0.53047462,0.74121358
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-18 00:00:00.000000,0.00658705,0.04688519,0.20333322,0,4,20,0,2,9,0.00254965,0.02043751,0.08999906,0.38477215,0.52613429,0.74020028
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-19 00:00:00.000000,0.00678622,0.05023938,0.20609090,0,5,20,0,2,9,0.00279015,0.02235976,0.09306092,0.34793795,0.51416115,0.72258166
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-20 00:00:00.000000,0.00698335,0.05477557,0.21078525,0,5,21,0,2,9,0.00304188,0.02441932,0.09818787,0.32729664,0.50535140,0.71275190
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-21 00:00:00.000000,0.00718911,0.05772558,0.22321704,0,5,22,0,2,10,0.00330456,0.02622772,0.10526204,0.32248599,0.48670096,0.68172537
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-22 00:00:00.000000,0.00738549,0.06097436,0.23528130,0,6,23,0,2,11,0.00357779,0.02807882,0.11225458,0.31360361,0.45926113,0.65589612
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-23 00:00:00.000000,0.00746215,0.06367032,0.24728695,0,6,24,0,2,11,0.00386052,0.02957493,0.11911410,0.28527168,0.44266799,0.62060831
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-24 00:00:00.000000,0.00751249,0.06619067,0.25943509,0,6,26,0,3,12,0.00410975,0.03137998,0.12587644,0.26308582,0.42152200,0.60486829
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-25 00:00:00.000000,0.00755655,0.06873055,0.27142944,0,6,27,0,3,13,0.00418853,0.03315370,0.13260847,0.24399591,0.40805559,0.60310709
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-26 00:00:00.000000,0.00759686,0.07048331,0.28069830,0,7,28,0,3,14,0.00425027,0.03469262,0.13928942,0.24406843,0.40004231,0.60158979
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-27 00:00:00.000000,0.00763250,0.07223597,0.28347632,0,7,28,0,3,14,0.00430023,0.03591766,0.14536294,0.23806162,0.38478829,0.59760449
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-28 00:00:00.000000,0.00765953,0.07405125,0.28317931,0,7,28,0,3,15,0.00434148,0.03705327,0.14967957,0.22491974,0.37270299,0.57438901
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-29 00:00:00.000000,0.00767056,0.07553893,0.28205144,0,7,28,0,3,15,0.00437515,0.03834417,0.15222986,0.21949333,0.35282754,0.55301182
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-30 00:00:00.000000,0.00765856,0.07701819,0.28052940,0,7,28,0,4,15,0.00440041,0.03982477,0.15351427,0.21771650,0.33823465,0.51532322
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-03-31 00:00:00.000000,0.00762390,0.07846289,0.27517969,0,7,27,0,4,15,0.00441528,0.04112440,0.15394926,0.20931868,0.33411684,0.50424662
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-04-01 00:00:00.000000,0.00757194,0.07974380,0.26520999,0,8,26,0,4,15,0.00441864,0.04223043,0.15381435,0.19953170,0.33246359,0.50107141
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-04-02 00:00:00.000000,0.00750793,0.08245394,0.25562842,0,8,25,0,4,15,0.00441091,0.04320863,0.15319670,0.18042253,0.32503520,0.49605439
21169,0,USKentuckyMetcalfe,Kentucky,Metcalfe,2020-10-16 23:20:49.999009,2020-04-03 00:00:00.000000,0.00743600,0.08677604,0.25675426,0,8,25,0,4,15,0.00439352,0.04434539,0.14994718,0.17525874,0.31880482,0.48814329
