FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-09 00:00:00.000000,0.00270834,0.01464138,0.05009274,0,3,12,0,2,7,0.00159666,0.00806020,0.02888950,0.39881956,0.54674593,0.72639258
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-10 00:00:00.000000,0.00307456,0.01593039,0.05412831,0,4,13,0,2,6,0.00156294,0.00813634,0.02680852,0.39881955,0.54673938,0.72635945
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-11 00:00:00.000000,0.00344430,0.01738916,0.05842082,0,4,15,0,2,7,0.00162849,0.00829293,0.02770988,0.39881953,0.54672097,0.72620974
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-12 00:00:00.000000,0.00379118,0.01887786,0.06301573,0,4,16,0,2,7,0.00176901,0.00887087,0.02953401,0.39881947,0.54666928,0.72553461
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-13 00:00:00.000000,0.00404199,0.02039990,0.06795153,1,5,17,0,2,8,0.00193360,0.00934104,0.03162257,0.39881935,0.54652421,0.72251709
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-14 00:00:00.000000,0.00443138,0.02197212,0.07326293,1,5,18,0,2,8,0.00212105,0.00982327,0.03395045,0.39881904,0.54611820,0.71847450
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-15 00:00:00.000000,0.00488795,0.02360857,0.07898125,1,6,20,0,2,9,0.00233259,0.01049678,0.03650816,0.39881827,0.54283186,0.71847294
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-16 00:00:00.000000,0.00981854,0.03101393,0.08678300,2,7,22,0,2,10,0.00256995,0.01139451,0.03929566,0.39881634,0.54017908,0.71832187
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-17 00:00:00.000000,0.01380667,0.03931885,0.09661159,3,10,24,0,3,10,0.00329905,0.01340697,0.04262979,0.37863111,0.53039069,0.71783764
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-18 00:00:00.000000,0.01696102,0.04704278,0.11129198,4,12,28,1,4,11,0.00563162,0.01627361,0.04641070,0.34504469,0.52265256,0.71717941
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-19 00:00:00.000000,0.02039278,0.05482031,0.12625651,5,14,32,1,5,13,0.00742951,0.02006778,0.05053711,0.31359967,0.50535914,0.69822024
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-20 00:00:00.000000,0.02385562,0.06301523,0.14165734,6,16,36,2,6,14,0.00905675,0.02365081,0.05481297,0.29912047,0.47803528,0.68908851
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-21 00:00:00.000000,0.02618633,0.07144832,0.15857582,6,18,40,2,7,16,0.01030213,0.02718258,0.06359635,0.28856836,0.44640222,0.67434376
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-22 00:00:00.000000,0.02863906,0.08098118,0.18018012,7,20,46,2,7,18,0.01148163,0.03062957,0.07360819,0.28508816,0.42622782,0.63031007
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-23 00:00:00.000000,0.03277862,0.09145681,0.22045553,8,23,56,3,9,21,0.01270957,0.03520111,0.08446070,0.27429071,0.40724773,0.57256720
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-24 00:00:00.000000,0.03705109,0.10097695,0.26748161,9,26,68,3,10,24,0.01424540,0.04044670,0.09547150,0.26496235,0.40272820,0.55712031
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-25 00:00:00.000000,0.04238513,0.11341945,0.28730607,10,29,74,4,11,28,0.01602441,0.04628192,0.10968552,0.25550446,0.39603164,0.53753738
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-26 00:00:00.000000,0.05199046,0.12374191,0.29923074,13,31,77,4,13,33,0.01818645,0.05228495,0.13069309,0.25388310,0.38876562,0.51885711
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-27 00:00:00.000000,0.05988504,0.13556369,0.31015799,15,34,79,5,15,39,0.02296524,0.05873374,0.15390875,0.23700556,0.38384615,0.50509922
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-28 00:00:00.000000,0.06725963,0.14943223,0.32060390,17,38,82,7,16,43,0.02833428,0.06463489,0.16990622,0.20595511,0.35344675,0.49250915
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-29 00:00:00.000000,0.07502349,0.15898677,0.33086769,19,40,85,8,18,45,0.03271669,0.07020192,0.17746490,0.20077013,0.34172869,0.48788832
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-30 00:00:00.000000,0.08481058,0.16557021,0.35136462,21,42,90,9,19,47,0.03612950,0.07463164,0.18456235,0.18599931,0.33184634,0.47927499
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-03-31 00:00:00.000000,0.09411589,0.17403927,0.38381124,24,44,98,10,20,49,0.03980134,0.07961183,0.19300237,0.18511386,0.32777356,0.47510047
21193,0,USKentuckyPerry,Kentucky,Perry,2020-10-27 21:14:41.625248,2020-04-01 00:00:00.000000,0.10349384,0.18202562,0.41524773,26,46,106,11,21,52,0.04509487,0.08388084,0.20432907,0.18501960,0.31290106,0.46849864
