FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-09 00:00:00.000000,0.00417647,0.03671669,0.10848299,0,4,14,0,2,7,0.00230196,0.01963493,0.05586209,0.39083239,0.54348192,0.70740499
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-10 00:00:00.000000,0.00475960,0.04143055,0.11533475,0,5,14,0,2,7,0.00218431,0.01938661,0.05716253,0.39083232,0.54304078,0.70730589
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-11 00:00:00.000000,0.00531654,0.04574861,0.12240057,0,5,15,0,2,7,0.00219689,0.02040855,0.05953551,0.39083215,0.54230619,0.70708467
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-12 00:00:00.000000,0.00586138,0.04923629,0.12972549,0,6,16,0,2,7,0.00229582,0.02189650,0.06141690,0.39083167,0.54109964,0.70659082
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-13 00:00:00.000000,0.00623716,0.05287672,0.13734939,0,6,17,0,3,8,0.00254404,0.02458065,0.06335260,0.39083024,0.53916203,0.70549030
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-14 00:00:00.000000,0.00659848,0.05757322,0.14656600,0,7,18,0,3,8,0.00282052,0.02667556,0.06746595,0.39082570,0.53858695,0.70405050
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-15 00:00:00.000000,0.00696377,0.06378658,0.16207565,0,8,20,0,3,9,0.00306330,0.02911875,0.07198001,0.39081032,0.53856911,0.70400689
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-16 00:00:00.000000,0.01786420,0.08075067,0.18818788,2,10,24,0,4,10,0.00326682,0.03242329,0.07830156,0.39075483,0.53685749,0.70393429
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-17 00:00:00.000000,0.02812006,0.09725096,0.21587505,3,12,27,0,4,11,0.00595231,0.03761928,0.08822888,0.39054452,0.52569673,0.70381834
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-18 00:00:00.000000,0.03901634,0.11698718,0.24643865,5,15,31,1,5,12,0.00931351,0.04361722,0.10029709,0.38972277,0.51868353,0.70060055
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-19 00:00:00.000000,0.05069650,0.13998675,0.27838548,6,18,36,1,6,14,0.01353326,0.05049277,0.11518487,0.36086617,0.50493710,0.69143223
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-20 00:00:00.000000,0.06324950,0.15969509,0.31323629,8,20,40,2,7,17,0.01837982,0.06047637,0.13176083,0.34260857,0.48213410,0.68044201
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-21 00:00:00.000000,0.07269535,0.18147400,0.35239907,9,23,45,3,8,19,0.02367426,0.06882692,0.14968257,0.33080240,0.45437372,0.65020669
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-22 00:00:00.000000,0.08145889,0.20366689,0.39119727,10,26,50,3,10,21,0.02978687,0.08109803,0.16866603,0.29329468,0.43896190,0.61608610
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-23 00:00:00.000000,0.08881267,0.22856021,0.41794396,11,29,54,4,12,24,0.03636820,0.09418630,0.19117465,0.27047144,0.40557264,0.58531893
21233,0,USKentuckyWebster,Kentucky,Webster,2020-11-26 16:11:21.828878,2020-03-24 00:00:00.000000,0.09713722,0.25278660,0.44671157,12,32,57,5,14,28,0.04087771,0.10845262,0.21735080,0.24955182,0.38553645,0.58522704
